smiles,group,Pgp-inh
O(C)c1c(OC)cc2c(c1)CNCC2,training,0.0
N1Cc2c(cccc2)CC1,training,0.0
O(C)c1cc(CN(C)C)ccc1,training,0.0
Clc1ccc([C@@H](N2CCNCC2)c2ccccc2)cc1,training,0.0
C(N1CC=CC1)c1ccccc1,training,0.0
C(Cc1ccccc1)N1CCCCC1,training,0.0
NCC(c1ccccc1)c1ccccc1,training,0.0
N1(c2nc(N3CCOCC3)c3nc(N4CCOCC4)nc(N4CCOCC4)c3n2)CCOCC1,training,0.0
N1(c2nc(N3CCOCC3)c3nc(N4CCOCC4)ncc3n2)CCOCC1,training,0.0
N1(c2nc(N3CCOCC3)c3ncnc(N4CCOCC4)c3n2)CCOCC1,training,0.0
OC=1OCCN=1,training,0.0
Clc1c(O)cc2Sc3c(N(CCCN(C)C)c2c1)cc(O)cc3,training,0.0
N(CCN1CCOCC1)(C)C,training,0.0
Clc1c(N2CCCCCC2)nc(N)c(C(O)=NC(=N)N)n1,training,0.0
Clc1c(N(C(C)(C)C)C)nc(N)c(C(O)=NC(=N)N)n1,training,0.0
Clc1cc2N(CCCN(C)C)c3c(Sc2cc1)cc(O)c(O)c3,training,0.0
Clc1cc2N(CCCN(C)C)c3c(Sc2cc1)cc(O)cc3,training,0.0
O=C(C)c1c(OC[C@H](O)CNC(C)C)ccc(N=C(O)CCC)c1,training,0.0
Oc1c(C)c(C)c2O[C@@](CCC[C@@H](CCC[C@@H](CCCC(C)C)C)C)(C)CCc2c1C,training,0.0
NC12CC3CC(C1)CC(C2)C3,training,0.0
Brc1ccc([C@H](OCCN(C)C)C2CCCC2)cc1,training,0.0
O(C(O)=NC)c1cc(C)c(N(C)C)cc1,training,0.0
O=C(OCCN(CCN(CC)CC)CC)c1ccc(N)cc1,training,0.0
O(C[C@H](O)CNC(C)C)c1ccc(CC(O)=N)cc1,training,0.0
O=C1C(O)=C(O)[C@@H]([C@@H](O)CO)O1,training,0.0
ClC1=NC(=NCC)NC(=NC(C)C)N1,training,0.0
O=C(OC1C[C@@H]2N(C)[C@@H](C1)CC2)[C@H](CO)c1ccccc1,training,0.0
Fc1ccc(C(=O)CCCN2CCN(c3ncccc3)CC2)cc1,training,0.0
N(Cc1ccccc1)(c1ccccc1)C1CCN(C)CC1,training,0.0
O=C(OCCN(CC)CC)C(O)(c1ccccc1)c1ccccc1,training,0.0
O(CCCN(C)C)C1(Cc2ccccc2)CCCCCC1,training,0.0
Clc1ccc([C@@H]([C@@H](N=C(O)/C=C/C(=O)O)C)Cc2ccc(Cl)cc2)cc1,training,0.0
O=C(O[C@@H]1[C@@H](C(=O)N(CC)CC)CN2[C@H](c3c(cc(OC)c(OC)c3)CC2)C1)C,training,0.0
O(C)c1c(OC)ccc2c1c[n+]1c(-c3c(cc4OCOc4c3)CC1)c2,training,0.0
O(C)c1c(OC)cc2c([C@@H](CCCC[C@@H]3NCCc4c3cc(OC)c(OC)c4)NCC2)c1,training,0.0
O(C)c1c(O)cc2c3[C@@H](N(C)CC2)Cc2c(-c13)cc(OC)c(O)c2,training,0.0
FC(F)(F)c1ccc(-c2ccc(OCCN3CCCC3)cc2)cc1,training,0.0
Brc1ccc([C@H](CCN(C)C)c2ncccc2)cc1,training,0.0
O=C(CCCN1CCCC1)c1c(OC)cc(OC)cc1OC,training,0.0
O=C(OCCN(CC)CC)[C@@H](CC)c1ccccc1,training,0.0
O=C(O)c1c(NC)ccc2oc(C[C@H]3[C@@H](C)CC[C@]4([C@H](C)C[C@@H](C)[C@@H]([C@H](C(=O)c5[nH]ccc5)C)O4)O3)nc12,training,0.0
OC(=N)N1c2c(cccc2)C=Cc2c1cccc2,training,0.0
O(C(O)=NC)c1c2c(ccc1)cccc2,training,0.0
O(CCNC[C@H](O)COc1c2c([nH]c3c2cccc3)ccc1)c1c(O)cccc1,training,0.0
O(CCNC[C@@H](O)COc1c2c([nH]c3c2cccc3)ccc1)c1c(OC)cc(O)cc1,training,0.0
O(CCNC[C@H](O)COc1c2c([nH]c3c2cccc3)ccc1)c1c(OC)ccc(O)c1,training,0.0
O=C(C)c1c(OC[C@H](O)CNC(C)(C)C)ccc(N=C(O)N(CC)CC)c1,training,0.0
Clc1ccc([C@H](N2CCN(CCOCC(=O)O)CC2)c2ccccc2)cc1,training,0.0
O(C)c1c(OC)ccc2c1c[n+](C)c1c3c(cc4OCOc4c3)ccc21,training,0.0
Clc1c([C@@](O)(CCN(C)C)c2ccccc2)cccc1,training,0.0
Clc1ccc([C@H](N2CCN(C)CC2)c2ccccc2)cc1,training,0.0
O=C(O[C@H]1[C@H](O)[C@H](O)C[C@@](O)(C(=O)O)C1)/C=C/c1cc(O)c(O)cc1,training,0.0
Clc1ccc(CN(CCN(C)C)c2ncccc2)cc1,training,0.0
Clc1cc2nccc(N[C@H](CCCN(CC)CC)C)c2cc1,training,0.0
Clc1ccc([C@@H](CCN(C)C)c2ncccc2)cc1,training,0.0
Clc1cc2nc(O)oc2cc1,training,0.0
O=C(O)CN1CCN(C(=O)/C=C\c2cc(OC)c(OC)c(OC)c2)CC1,training,0.0
O=C(/C=C/c1cc(OC)c(OC)c(OC)c1)N1CCN(CC(=O)N2CCCC2)CC1,training,0.0
O=C(/C=C/c1cc(OC)c(OC)c(OC)c1)N1CCN(CC(O)=NC(C)C)CC1,training,0.0
Fc1c(N2CCNCC2)cc2N(C3CC3)C=C(C(=O)O)C(=O)c2c1,training,0.0
Fc1ccc([C@]2(CCCN(C)C)OCc3c2ccc(C#N)c3)cc1,training,0.0
OC(=N)C1c2c(cccc2)C=Cc2c1cccc2,training,0.0
Clc1c2c(c(O)c(CNCCCN(CC)CC)c1)nccc2,training,0.0
Clc1c(N)cc(OC)c(C(O)=NC2CCN(Cc3ccccc3)CC2)c1,training,0.0
Clc1ccc(C[C@@](O)([C@@H](CN(C)C)C)C)cc1,training,0.0
Cl[C@H]1C(=O)[C@]2(C)[C@H]([C@@H]3[C@H](c4c(cc(OC)cc4)CC3)CC2)C1,training,0.0
Cl/C(=C(/c1ccc(OCCN(CC)CC)cc1)\c1ccccc1)/c1ccccc1,training,0.0
O(C)c1c(OC)c2c(cc1OC)CC[C@H](N=C(O)C)C=1C2=CC=C(OC)C(=O)C=1,training,0.0
O(C)c1c(OC)cc2c(c(C)[n+]3c(c4c(cc(OC)c(OC)c4)cc3)c2)c1,training,0.0
O=C(CO)[C@]1(O)[C@]2(C)[C@H]([C@H]3[C@@H](C(=O)C2)[C@]2(C)C(=CC(=O)CC2)CC3)CC1,training,0.0
O=C\1O[C@@]23C(O)=N[C@@H](Cc4ccccc4)[C@@H]2[C@H](C)C(=C)[C@@H](O)[C@H]3/C=C/C[C@H](C)CCCC(=O)/C=C/1,training,0.0
O=C(O[C@H]\1[C@@]23C(O)=N[C@@H](Cc4ccccc4)[C@H]2[C@H](C)C(=C)[C@@H](O)[C@H]3/C=C/C[C@H](C)C[C@](O)(C)/C=C/1)C,training,0.0
O(C)c1c(OC)ccc([C@@](N)(C(C)C)CCCN(CCc2cc(OC)c(OC)cc2)C)c1,training,0.0
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,training,0.0
ClC(Cl)(Cl)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,training,0.0
N=C(N)N1Cc2c(cccc2)CC1,training,0.0
O(C)c1c(OC)cc2c([C@H](CC3=C(CC)CN4[C@@H](c5c(cc(OC)c(OC)c5)CC4)C3)NCC2)c1,training,0.0
Clc1cc2N(CCCNC)c3c(Sc2cc1)cccc3,training,0.0
F[C@@]12[C@@H](O)C[C@]3(C)[C@@](O)(C(=O)CO)[C@H](C)C[C@H]3[C@H]1CCC=1[C@]2(C)C=CC(=O)C=1,training,0.0
ClC[C@H](SP(=S)(OCC)OCC)N1C(=O)c2c(C1=O)cccc2,training,0.0
N(Cc1ccccc1)Cc1ccccc1,training,0.0
C(N1CCN(C[C@H]2Oc3c(OC2)cccc3)CC1)[C@H]1Oc2c(OC1)cccc2,training,0.0
Clc1cc2N(CCCN)c3c(Sc2cc1)cccc3,training,0.0
ClC1(Cl)[C@]2(Cl)C(Cl)=C(Cl)[C@@]1(Cl)[C@H]1[C@@H]2[C@H]2[C@@H]3O[C@@H]3[C@@H]1C2,training,0.0
N(CC)(CC)c1ccccc1,training,0.0
Fc1c(N2CCN(C)CC2)cc2N(c3ccc(F)cc3)C=C(C(=O)O)C(=O)c2c1,training,0.0
O([C@@H]1[C@@H](C)O[C@@H](O[C@@H]2C[C@H]3[C@@](C)([C@H]4[C@H]([C@]5(O)[C@](C)([C@H](O)C4)[C@@H](C4=CC(=O)OC4)CC5)CC3)CC2)C[C@@H]1O)[C@@H]1O[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@@H](O)C2)[C@@H](O)C1,training,0.0
O=C1[C@H](Cc2ccccc2)N2C(=O)[C@](N=C(O)[C@H]3CN(C)[C@@H]4[C@H](c5c6c([nH]cc6C4)ccc5)C3)(C)O[C@@]2(O)[C@H]2N1CCC2,training,0.0
O(C)c1c(O)cc(C=2Oc3c(c(O)cc(O)c3)C(=O)C=2)cc1,training,0.0
O(C[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)[C@H](Oc2cc(O)c3C(=O)C=C(c4cc(O)c(OC)cc4)Oc3c2)O1)[C@H]1[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O1,training,0.0
O=C(N(C)C)C(c1ccccc1)c1ccccc1,training,0.0
OC(=N)[C@](CCN(C(C)C)C(C)C)(c1ncccc1)c1ccccc1,training,0.0
Clc1cc2nc(O)n(C3CCN(CCCn4c(O)nc5c4cccc5)CC3)c2cc1,training,0.0
O=C(CO)[C@@]1(O)C[C@H](O[C@H]2O[C@@H](C)[C@@H](O)[C@@H](N)C2)c2c(O)c3C(=O)c4c(OC)cccc4C(=O)c3c(O)c2C1,training,0.0
O([C@](C)(c1ncccc1)c1ccccc1)CCN(C)C,training,0.0
O=C(OCCN(CC)CC)[C@H](c1ccccc1)C1CCCCC1,training,0.0
O(CCN(C)C)c1ccc(/C(=C(/CC)\c2ccccc2)/c2cc(O)ccc2)cc1,training,0.0
Clc1c([C@H](OCc2ccc(Cl)cc2)Cn2cncc2)ccc(Cl)c1,training,0.0
N1(c2c3OCCOc3ccc2)CCNCC1,training,0.0
Fc1c(N2CCNCC2)nc2N(CC)C=C(C(=O)O)C(=O)c2c1,training,0.0
N(CC)(Cc1ccccc1)c1ccccc1,training,0.0
NCC(=C(c1ccccc1)c1ccccc1)CC,training,0.0
O([C@H]1[C@H](O)[C@@H](O)[C@@H]2O[C@H](C)OC[C@H]2O1)[C@H]1[C@@H]2[C@@H]([C@H](c3cc(OC)c(O)c(OC)c3)c3c1cc1OCOc1c3)C(=O)OC2,training,0.0
O(C)c1c(OC)ccc(CCN(CCCN2C(=O)c3c(cc(OC)c(OC)c3)C2)C)c1,training,0.0
N(=C\N1CCC(C(c2ccccc2)c2ccccc2)CC1)\CCCCCCCC,training,0.0
OC(=N)C(CCN1CCCCC1)(c1ccccc1)c1ccccc1,training,0.0
OC(=N)C(CC[N+]1(C)CCCCC1)(c1ccccc1)c1ccccc1,training,0.0
Clc1ccc([C@@H](C(O[C@H](C#N)c2cc(Oc3ccccc3)ccc2)=O)C(C)C)cc1,training,0.0
O=C1[C@H]([C@@H](O)CCCCC)[C@@H](O)C[C@@H](O)C[C@@H](O)C[C@@H](O)C[C@@H](O)C[C@H](O)C[C@@H](O)/C(/C)=C/C=C/C=C/C=C/C=C/[C@H](O)[C@@H](C)O1,training,0.0
O=C1C(O)=C(c2cc(O)c(O)cc2)Oc2c1ccc(O)c2,training,0.0
O=C(COc1c2C(=O)C=C(c3cc(O)c(OC)cc3)Oc2cc(O)c1)N1CCN(Cc2c(OC)c(OC)c(OC)cc2)CC1,training,0.0
O=C(COc1c(OC)ccc(C=2Oc3c(c(O)cc(O[C@H]4[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO[C@H]5[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O5)O4)c3)C(=O)C=2)c1)N1CCN(Cc2c(OC)c(OC)c(OC)cc2)CC1,training,0.0
O=C(COc1c(OC)ccc(C=2Oc3c(c(O)cc(O[C@H]4[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O4)c3)C(=O)C=2)c1)N1CCN(Cc2c(OC)c(OC)c(OC)cc2)CC1,training,0.0
O=C(COc1c(OC)ccc(C=2Oc3c(c(O)cc(O)c3)C(=O)C=2)c1)N1CCN(Cc2c(OC)c(OC)c(OC)cc2)CC1,training,0.0
O=C(COc1cc(O)c2C(=O)C[C@@H](c3cc(O)c(OC)cc3)Oc2c1)N1CC[N+](Cc2c(OC)c(OC)c(OC)cc2)(C)CC1,training,0.0
FCCN1c2c(F)c(N3CCN(C)CC3)c(F)cc2C(=O)C(C(=O)O)=C1,training,0.0
Fc1ccc(C(=O)NCCN2CCN(c3c4OC[C@H](CO)Oc4ccc3)CC2)cc1,training,0.0
Fc1c(C(O)(Cn2ncnc2)Cn2ncnc2)ccc(F)c1,training,0.0
Fc1cc2C(=O)N(C)Cc3c(C(=O)OCC)ncn3-c2cc1,training,0.0
N(CC[C@@H](c1ccccc1)C1CCCCC1)(C)C,training,0.0
O=C1N(CCCCN2CCN(c3ncccn3)CC2)C(=O)CC(C)(C)C1,training,0.0
Clc1c(/C=N/NC(=N)N)c(Cl)ccc1,training,0.0
C(=C[C@H]1NCCCC1)(C1CCCCC1)C1CCCCC1,training,0.0
O(C)c1c(OC)ccc(CCN)c1,training,0.0
O=C(OCC(O)(C)C)N1CCN(c2ncnc3c2cc(OC)c(OC)c3)CC1,training,0.0
O(C)c1c(OC)ccc2[C@@H]([C@H]3N(C)CCc4c3cc3OCOc3c4)OC(=O)c12,training,0.0
O(C)c1c2OCOc2cc2c1CN(C)CC2,training,0.0
O=C1[C@@H]2Oc3c(O)ccc4c3[C@@]32[C@H]([C@H](N(C)CC3)C4)CC1,training,0.0
Clc1cc2N(CCCN3CCN(CCN4C(=O)N(C)CC4)CC3)c3c(Sc2cc1)cccc3,training,0.0
O=C(NN)c1ccncc1,training,0.0
O(C[C@H](N[C@H]([C@H](O)c1ccc(O)cc1)C)C)c1ccccc1,training,0.0
Clc1c([C@]2(NC)C(=O)CCCC2)cccc1,training,0.0
