smiles,group,BBB
Clc1cc2C(c3ccccc3)=NCC(=O)N(C)c2cc1,training,1.0
Brc1c(C[N+](CC)(C)C)cccc1,training,0.0
F[C@]12[C@@H](O)C[C@]3(C)[C@@](O)(C(=O)CO)CC[C@H]3[C@@H]1CCC=1[C@]2(C)CCC(=O)C=1,training,1.0
Fc1cc2onc(C3CCN(CCC=4C(=O)N5C(=NC=4C)CCC(O)C5)CC3)c2cc1,training,1.0
O=C(N)C(CCC)(CCC)CCC,training,1.0
O=C(O)C(C)(C)c1ccc(CCN2CCC(c3n(CCOCC)c4c(n3)cccc4)CC2)cc1,training,0.0
N(=C(N)N)CCN1CCCCCCC1,training,0.0
[N+](=C(N)N)CCN1CCCCCCC1,training,0.0
O(C)c1c(OC)cc2c(C(=O)C(CC3CCN(Cc4ccccc4)CC3)C2)c1,training,1.0
Clc1cc2C(c3ccccc3)=NC(O)C(=O)Nc2cc1,training,1.0
O=C1N(Cc2ccc(-c3c(-c4[nH]nnn4)cccc3)cc2)c2nc(C)nc(C)c2CC1,training,1.0
Clc1c(Cl)ccc(CC(=O)N([C@@H](CN2CCCC2)c2ccccc2)C)c1,training,1.0
NC1C(c2ccccc2)C1,training,1.0
S=C(N)c1cc(CC)ncc1,training,1.0
N(C)C1c2c3N(c4c(cccc4)CCc3ccc2)CC1,training,1.0
C(CCC)(C)C,training,1.0
N(CCCN1c2c(cccc2)C=Cc2c1cccc2)(C)C,training,1.0
Clc1c([C@H](SCc2ccc(Cl)cc2)Cn2cncc2)ccc(Cl)c1,training,0.0
O=C(OCOC(=O)C1=C(/C=C\c2c(C)ncs2)CS[C@@H]2[C@H](NC(=O)/C(=N\OC)/c3nc(N)sc3)C(=O)N12)C(C)(C)C,training,0.0
O=C(OCOC(=O)C1=C(/C=C/c2c(C)ncs2)CS[C@@H]2[C@H](NC(=O)/C(=N\OC)/c3nc(N)sc3)C(=O)N12)C(C)(C)C,training,0.0
N#Cc1cc2c(Sc3c(cccc3)C3=C2CCN(C)CC3)cc1,training,1.0
Clc1c(S(=O)(=O)N)cc2C(=O)N[C@@H](CC)Nc2c1,training,0.0
O([C@@H]1[C@@H](C)[C@@H](O[C@@H]2O[C@@H](C)[C@H](O)[C@@](OC)(C)C2)[C@@H](C)C(=O)O[C@@H](CC)[C@](O)(C)[C@H](O)[C@H](C)C(=O)[C@H](C)C[C@@]1(OC)C)[C@H]1[C@H](O)[C@@H](N(C)C)C[C@@H](C)O1,training,0.0
Clc1cn(CCCCN2CCN(c3ncccn3)CC2)nc1,training,1.0
Clc1cc(N2C(=O)N(CCN3CC(C)(C)C3)CC2)ccc1,training,1.0
O([C@H](CCCCCCCCCCC)C[C@H]1[C@@H](CCCCCC)C(=O)O1)C(=O)[C@@H](NC=O)CC(C)C,training,0.0
Fc1ccc(C2C(COc3cc4OCOc4cc3)CNCC2)cc1,training,1.0
O(C)c1c(O)cc([C@H]2Oc3c(c(O)cc(O)c3)C(=O)C2)cc1,training,0.0
Clc1cc2N(CCCN3CCN(CCOC(=O)C)CC3)c3c(Sc2cc1)cccc3,training,1.0
N(CCC(c1ccccc1)C1CCCCC1)(C)C,training,1.0
O=S1(=O)NCN(CN2CNS(=O)(=O)CC2)CC1,training,0.0
O=C(O[C@@H]1[C@@H]2[C@@H](CC[C@H]3OC(=O)C[C@H](O)C3)[C@@H](C)C=CC2=CCC1)[C@H](CC)C,training,1.0
O=C(NC(=O)C(CC)c1ccccc1)N,training,1.0
O=C1N(C)C(=O)CC1(C)c1ccccc1,training,1.0
O(C)c1c(OC)ccc2[C@@H]([C@@H]3N(C)CCc4c3c(OC)c3OCOc3c4)OC(=O)c12,training,1.0
F[C@]12[C@@H](O)C[C@]3(C)[C@@](O)(C(=O)COC(=O)C)[C@@H](C)C[C@H]3[C@@H]1CCC=1[C@]2(C)C=CC(=O)C=1,training,1.0
N(CC(CC1c2c(cccc2)CCc2c1cccc2)C)(C)C,training,1.0
O=C(OCC(=O)[C@]1(O)[C@]2(C)[C@H]([C@H]3[C@H]([C@@H](O)C2)[C@]2(C)C(=CC(=O)CC2)CC3)CC1)C,training,1.0
O=C(CC)C1(c2cc(O)ccc2)CCN(C)CC1,training,1.0
S(=O)(=O)(Nc1ccc(C(O)CCCN(CCCCCCC)CC)cc1)C,training,0.0
Ic1c(N(C(=O)CO)CCO)c(I)c(C(=O)NC[C@H](O)CO)c(I)c1C(=O)NC[C@H](O)CO,training,0.0
C(CC1CCNCC1)c1c2c(nc(-c3ccccc3)c1)cccc2,training,1.0
N(CCC1(C)OCCC=2c3c(cccc3)CC1=2)(C)C,training,1.0
S(=O)(=O)(NC)CCc1cc2c(C3CCN(C)CC3)c[nH]c2cc1,training,1.0
S(CC1=C(C(=O)OCC2=C(C)OC(=O)O2)N2C(=O)[C@@H](NC(=O)[C@H](OC(=O)[C@@H](N)C)c3ccccc3)[C@H]2SC1)c1sc(C)nn1,training,0.0
O=C1C(CC)(c2ccccc2)NCC(=O)N1,training,1.0
Clc1cc2C(=[N+]([O-])CC(NC)=Nc2cc1)c1ccccc1,training,1.0
Clc1c(C23OCC(C)N2CC(=O)Nc2c3cc(Cl)cc2)cccc1,training,1.0
O=C(Oc1cc(OC(=O)N(C)C)cc([C@H](O)CNC(C)(C)C)c1)N(C)C,training,0.0
O=C(CO)[C@@]1(O)C[C@H](O[C@@H]2O[C@@H](C)[C@@H](O)[C@@H](N)C2)c2c(O)c3C(=O)c4c(OC)cccc4C(=O)c3c(O)c2C1,training,0.0
OC1(CC)C2(C)[C@@H]([C@H]3[C@H]([C@@H]4C(=CCCC4)CC3)CC2)CC1,training,0.0
O=C(N)C1c2c(cccc2)CCc2c1cccc2,training,1.0
O=C(OCC(=O)[C@]1(O)[C@]2(C)[C@H]([C@H]3[C@H]([C@@H](O)C2)[C@]2(C)C(=CC(=O)C=C2)CC3)CC1)CCC(=O)O,training,1.0
Clc1c(S(=O)(=O)N)cc2C(=O)N(c3c(C)cccc3)C(C)Nc2c1,training,0.0
O=C(NC(=O)c1ccccc1)NC1CCN(Cc2cc3c(cc2)cccc3)CC1,training,1.0
O(CC(O)CNC(C)C)c1c2c(ccc1)cccc2,training,0.0
S(CC/N=C(/NC#N)\NC)Cc1c(C)[nH]cn1,training,0.0
S(C)c1cc2N(CC(CN(C)C)C)c3c(Sc2cc1)cccc3,training,1.0
O=C(N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1N=C(N)N)C,training,0.0
O=N[C@H](C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(C=C)CS[C@@H]12)c1nc(N)sc1,training,0.0
O=C([O-])[C@@H]([N+])CCCC[N+]CNC(=O)C1C(=O)[C@H](N(C)C)[C@H]2C(O)(C1=O)C([O-])=C1C(=O)c3c(O)cccc3C(O)(C)[C@H]1C2,training,0.0
O=C(O[C@H]1C2CC[N+](CCCOc3ccccc3)(C1)CC2)C(O)(c1sccc1)c1sccc1,training,0.0
O(C)c1c2O[C@@H]3[C@]4(c2c(cc1)CN(C)CC4)C=C[C@H](O)C3,training,1.0
S(=O)(=O)(/N=C\1/N=C(C)C=C(C)N/1)c1ccc(N)cc1,training,0.0
O([C@H]1[C@H](O)[C@@H](O)[C@H](NC(=N)N)[C@@H](O)[C@@H]1NC(=N)N)[C@H]1[C@H](O[C@H]2[C@@H](NC)[C@H](O)[C@@H](O)[C@H](CO)O2)[C@@](O)(CO)[C@H](C)O1,training,0.0
FC(F)(F)c1cc([C@@H](O[C@H]2[C@H](N(CC3=NNC(=O)N3)CCO2)c2ccc(F)cc2)C)cc(C(F)(F)F)c1,training,1.0
O=C(O[C@H]1[C@H](C)[C@H](O)[C@H](C)[C@@H](O)[C@@H](C)/C=C/C=C(/C)\C(=O)NC=2C(=O)c3c(O)c(C)c4O[C@@](C)(C(=O)c4c3C3=NC4(NC=23)CCN(CC(C)C)CC4)O/C=C/[C@H](OC)[C@H]1C)C,training,0.0
Clc1c(Cl)ccc(CC(=O)N2[C@H](CN3CCCC3)c3c(cccc3)CC2)c1,training,1.0
C(C)C,training,1.0
OC1(CC=C)C2(C)[C@H]([C@@H]3[C@@H]([C@@H]4C(=CCCC4)CC3)CC2)CC1,training,0.0
O=C(NCCC)N1C(=O)OC(c2ccccc2)C1,training,1.0
O(C)c1c(OC)cc2c([C@@H](C[C@@H]3[C@@H](CC)CN4[C@H](c5c(cc(OC)c(OC)c5)CC4)C3)NCC2)c1,training,0.0
Ic1c(Oc2cc(I)c(O)cc2)c(I)cc(C[C@H](N)C(=O)O)c1,training,0.0
N(CCC=C1c2c(C(C)(C)c3c1cccc3)cccc2)C,training,1.0
S(SC(=S)N(CC)CC)C(=S)N(CC)CC,training,1.0
O=C(N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12)[C@H](N)c1ccccc1,training,0.0
Clc1c(Cl)c(C(=O)C(=C)CC)ccc1OCC(=O)O,training,0.0
Clc1c2C(O)(C)[C@@H]3C(C(=O)c2c(O)cc1)=C([O-])C1(O)C(=O)C(C(=O)NCO)=C[C@H]([N+](C)C)[C@@H]1C3,training,0.0
O=C1N(C)C(=O)c2n(CCN(CC)CC)cnc2N1C,training,1.0
Fc1ccc(C(=O)CCCN2CCC(C(=O)N)(N3CCCCC3)CC2)cc1,training,1.0
