,smiles,dataset,value,cano_smiles,dataset_generate,matched_smiles,matched_value,matched_cano_smiles
0,O(C)c1c(OC)cc2c(c1)CNCC2,training,0.0,COc1cc2c(cc1OC)CNCC2,training,,,
1,N1Cc2c(cccc2)CC1,training,0.0,c1ccc2c(c1)CCNC2,training,,,
2,O(C)c1cc(CN(C)C)ccc1,training,0.0,COc1cccc(CN(C)C)c1,training,,,
3,Clc1ccc([C@@H](N2CCNCC2)c2ccccc2)cc1,training,0.0,Clc1ccc([C@H](c2ccccc2)N2CCNCC2)cc1,training,,,
4,C(N1CC=CC1)c1ccccc1,training,0.0,C1=CCN(Cc2ccccc2)C1,training,,,
5,C(Cc1ccccc1)N1CCCCC1,training,0.0,c1ccc(CCN2CCCCC2)cc1,training,,,
6,NCC(c1ccccc1)c1ccccc1,training,0.0,NCC(c1ccccc1)c1ccccc1,training,,,
7,N1(c2nc(N3CCOCC3)c3nc(N4CCOCC4)nc(N4CCOCC4)c3n2)CCOCC1,training,0.0,C1CN(c2nc(N3CCOCC3)c3nc(N4CCOCC4)nc(N4CCOCC4)c3n2)CCO1,training,,,
8,N1(c2nc(N3CCOCC3)c3nc(N4CCOCC4)ncc3n2)CCOCC1,training,0.0,c1nc(N2CCOCC2)nc2c(N3CCOCC3)nc(N3CCOCC3)nc12,training,,,
9,N1(c2nc(N3CCOCC3)c3ncnc(N4CCOCC4)c3n2)CCOCC1,training,0.0,c1nc(N2CCOCC2)c2nc(N3CCOCC3)nc(N3CCOCC3)c2n1,training,,,
10,OC=1OCCN=1,training,0.0,OC1=NCCO1,training,,,
11,Clc1c(O)cc2Sc3c(N(CCCN(C)C)c2c1)cc(O)cc3,training,0.0,CN(C)CCCN1c2cc(O)ccc2Sc2cc(O)c(Cl)cc21,training,,,
12,N(CCN1CCOCC1)(C)C,training,0.0,CN(C)CCN1CCOCC1,training,,,
13,Clc1c(N2CCCCCC2)nc(N)c(C(O)=NC(=N)N)n1,training,0.0,N=C(N)N=C(O)c1nc(Cl)c(N2CCCCCC2)nc1N,training,,,
14,Clc1c(N(C(C)(C)C)C)nc(N)c(C(O)=NC(=N)N)n1,training,0.0,CN(c1nc(N)c(C(O)=NC(=N)N)nc1Cl)C(C)(C)C,training,,,
15,Clc1cc2N(CCCN(C)C)c3c(Sc2cc1)cc(O)c(O)c3,training,0.0,CN(C)CCCN1c2cc(Cl)ccc2Sc2cc(O)c(O)cc21,training,,,
16,Clc1cc2N(CCCN(C)C)c3c(Sc2cc1)cc(O)cc3,training,0.0,CN(C)CCCN1c2ccc(O)cc2Sc2ccc(Cl)cc21,training,,,
17,O=C(C)c1c(OC[C@H](O)CNC(C)C)ccc(N=C(O)CCC)c1,training,0.0,CCCC(O)=Nc1ccc(OC[C@H](O)CNC(C)C)c(C(C)=O)c1,training,,,
18,Oc1c(C)c(C)c2O[C@@](CCC[C@@H](CCC[C@@H](CCCC(C)C)C)C)(C)CCc2c1C,training,0.0,Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2,training,,,
19,NC12CC3CC(C1)CC(C2)C3,training,0.0,NC12CC3CC(CC(C3)C1)C2,training,,,
20,Brc1ccc([C@H](OCCN(C)C)C2CCCC2)cc1,training,0.0,CN(C)CCO[C@@H](c1ccc(Br)cc1)C1CCCC1,training,,,
21,O(C(O)=NC)c1cc(C)c(N(C)C)cc1,training,0.0,CN=C(O)Oc1ccc(N(C)C)c(C)c1,training,,,
22,O=C(OCCN(CCN(CC)CC)CC)c1ccc(N)cc1,training,0.0,CCN(CC)CCN(CC)CCOC(=O)c1ccc(N)cc1,training,,,
23,O(C[C@H](O)CNC(C)C)c1ccc(CC(O)=N)cc1,training,0.0,CC(C)NC[C@@H](O)COc1ccc(CC(=N)O)cc1,training,,,
24,O=C1C(O)=C(O)[C@@H]([C@@H](O)CO)O1,training,0.0,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,training,,,
25,ClC1=NC(=NCC)NC(=NC(C)C)N1,training,0.0,CCN=c1nc(Cl)[nH]c(=NC(C)C)[nH]1,training,,,
26,O=C(OC1C[C@@H]2N(C)[C@@H](C1)CC2)[C@H](CO)c1ccccc1,training,0.0,CN1[C@@H]2CC[C@@H]1CC(OC(=O)[C@H](CO)c1ccccc1)C2,training,,,
27,Fc1ccc(C(=O)CCCN2CCN(c3ncccc3)CC2)cc1,training,0.0,O=C(CCCN1CCN(c2ccccn2)CC1)c1ccc(F)cc1,training,,,
28,N(Cc1ccccc1)(c1ccccc1)C1CCN(C)CC1,training,0.0,CN1CCC(N(Cc2ccccc2)c2ccccc2)CC1,training,,,
29,O=C(OCCN(CC)CC)C(O)(c1ccccc1)c1ccccc1,training,0.0,CCN(CC)CCOC(=O)C(O)(c1ccccc1)c1ccccc1,training,,,
30,O(CCCN(C)C)C1(Cc2ccccc2)CCCCCC1,training,0.0,CN(C)CCCOC1(Cc2ccccc2)CCCCCC1,training,,,
31,Clc1ccc([C@@H]([C@@H](N=C(O)/C=C/C(=O)O)C)Cc2ccc(Cl)cc2)cc1,training,0.0,C[C@H](N=C(O)/C=C/C(=O)O)[C@@H](Cc1ccc(Cl)cc1)c1ccc(Cl)cc1,training,,,
32,O=C(O[C@@H]1[C@@H](C(=O)N(CC)CC)CN2[C@H](c3c(cc(OC)c(OC)c3)CC2)C1)C,training,0.0,CCN(CC)C(=O)[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1OC(C)=O,training,,,
33,O(C)c1c(OC)ccc2c1c[n+]1c(-c3c(cc4OCOc4c3)CC1)c2,training,0.0,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,training,,,
34,O(C)c1c(OC)cc2c([C@@H](CCCC[C@@H]3NCCc4c3cc(OC)c(OC)c4)NCC2)c1,training,0.0,COc1cc2c(cc1OC)[C@H](CCCC[C@H]1NCCc3cc(OC)c(OC)cc31)NCC2,training,,,
35,O(C)c1c(O)cc2c3[C@@H](N(C)CC2)Cc2c(-c13)cc(OC)c(O)c2,training,0.0,COc1cc2c(cc1O)C[C@H]1c3c(cc(O)c(OC)c3-2)CCN1C,training,,,
36,FC(F)(F)c1ccc(-c2ccc(OCCN3CCCC3)cc2)cc1,training,0.0,FC(F)(F)c1ccc(-c2ccc(OCCN3CCCC3)cc2)cc1,training,,,
37,Brc1ccc([C@H](CCN(C)C)c2ncccc2)cc1,training,0.0,CN(C)CC[C@@H](c1ccc(Br)cc1)c1ccccn1,training,,,
38,O=C(CCCN1CCCC1)c1c(OC)cc(OC)cc1OC,training,0.0,COc1cc(OC)c(C(=O)CCCN2CCCC2)c(OC)c1,training,,,
39,O=C(OCCN(CC)CC)[C@@H](CC)c1ccccc1,training,0.0,CC[C@H](C(=O)OCCN(CC)CC)c1ccccc1,training,,,
40,O=C(O)c1c(NC)ccc2oc(C[C@H]3[C@@H](C)CC[C@]4([C@H](C)C[C@@H](C)[C@@H]([C@H](C(=O)c5[nH]ccc5)C)O4)O3)nc12,training,0.0,CNc1ccc2oc(C[C@@H]3O[C@@]4(CC[C@@H]3C)O[C@H]([C@@H](C)C(=O)c3ccc[nH]3)[C@H](C)C[C@H]4C)nc2c1C(=O)O,training,,,
41,OC(=N)N1c2c(cccc2)C=Cc2c1cccc2,training,0.0,N=C(O)N1c2ccccc2C=Cc2ccccc21,training,,,
42,O(C(O)=NC)c1c2c(ccc1)cccc2,training,0.0,CN=C(O)Oc1cccc2ccccc12,training,,,
43,O(CCNC[C@H](O)COc1c2c([nH]c3c2cccc3)ccc1)c1c(O)cccc1,training,0.0,Oc1ccccc1OCCNC[C@H](O)COc1cccc2[nH]c3ccccc3c12,training,,,
44,O(CCNC[C@@H](O)COc1c2c([nH]c3c2cccc3)ccc1)c1c(OC)cc(O)cc1,training,0.0,COc1cc(O)ccc1OCCNC[C@@H](O)COc1cccc2[nH]c3ccccc3c12,training,,,
