,smiles,dataset,value,cano_smiles,dataset_generate,matched_smiles,matched_value,matched_cano_smiles
0,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,training,0.0,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,training,,,
1,S(C(/C=N/OC(O)=NC)(C)C)C,training,0.0,CN=C(O)O/N=C/C(C)(C)SC,training,,,
2,NC12CC3CC(C1)CC(C2)C3,training,0.0,NC12CC3CC(CC(C3)C1)C2,training,,,
3,Fc1c(O)nc(O)nc1,training,0.0,Oc1ncc(F)c(O)n1,training,,,
4,O=C(O)CC[C@@H](N)C=C,training,0.0,C=C[C@H](N)CCC(=O)O,training,,,
5,Clc1c([C@@]2(Cn3ncnc3)O[C@@H](CCC)CO2)ccc(Cl)c1,training,0.0,CCC[C@H]1CO[C@@](Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,training,,,
6,ClC1(Cl)[C@@]2(Cl)C(Cl)=C(Cl)[C@@]1(Cl)[C@@H]1[C@@H]2[C@@H]2[C@H]3O[C@@H]3[C@@H]1C2,training,0.0,ClC1=C(Cl)[C@@]2(Cl)[C@@H]3[C@H]([C@H]4C[C@H]3[C@H]3O[C@H]43)[C@@]1(Cl)C2(Cl)Cl,training,,,
7,P(=O)(O/C(=C/C(=O)OC)/C)(OC)OC,training,0.0,COC(=O)/C=C(\C)OP(=O)(OC)OC,training,,,
8,ClCCN(N=O)C(O)=NCCCl,training,0.0,O=NN(CCCl)C(O)=NCCCl,training,,,
9,O(CCN(C)C)c1ccc(/C(=C(\CC)/c2ccccc2)/c2ccccc2)cc1,training,0.0,CC/C(=C(/c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,training,,,
10,O(C)c1c(OC)cc([C@H]2[C@H]3C(=O)OC[C@@H]3[C@@H](N)c3c2cc2OCOc2c3)cc1OC,training,0.0,COc1cc([C@@H]2c3cc4c(cc3[C@H](N)[C@H]3COC(=O)[C@@H]32)OCO4)cc(OC)c1OC,training,,,
11,ClC1=NC(=NCC)NC(=NC(C)C)N1,training,0.0,CCN=c1nc(Cl)[nH]c(=NC(C)C)[nH]1,training,,,
12,S(C)c1nc(O)c(C#N)c(-c2ccc(C)cc2)n1,training,0.0,CSc1nc(O)c(C#N)c(-c2ccc(C)cc2)n1,training,,,
13,O=C([O-])C1(C(=O)[O-])CCC1,training,0.0,O=C([O-])C1(C(=O)[O-])CCC1,training,,,
14,O[C@@H](CNC)c1cc(O)c(O)cc1,training,0.0,CNC[C@H](O)c1ccc(O)c(O)c1,training,,,
15,S(=O)(=O)(NC)Cc1cc2c(CCN(C)C)c[nH]c2cc1,training,0.0,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,training,,,
16,C(N1[C@H](C)[C@H](C)C=C(C)c2c1cccc2)C1=NCCN1,training,0.0,CC1=C[C@@H](C)[C@@H](C)N(CC2=NCCN2)c2ccccc21,training,,,
17,S=C1N([C@@H]2[C@H](O)[C@H](O)[C@H](O)[C@H](CO)O2)C(c2sccc2)=C2C(=C1C#N)c1c(cccc1)CC2,training,0.0,N#Cc1c2c(c(-c3cccs3)n([C@H]3O[C@@H](CO)[C@@H](O)[C@@H](O)[C@H]3O)c1=S)CCc1ccccc1-2,training,,,
18,FC(F)(F)c1cnc(Oc2ccc(O[C@@H](C(=O)OCCCC)C)cc2)cc1,training,0.0,CCCCOC(=O)[C@@H](C)Oc1ccc(Oc2ccc(C(F)(F)F)cn2)cc1,training,,,
19,Clc1cc(Cl)cc(N2C(=O)[C@](C=C)(C)OC2=O)c1,training,0.0,C=C[C@@]1(C)OC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O,training,,,
20,O(C(O)=NC)c1cc(C)c(N(C)C)cc1,training,0.0,CN=C(O)Oc1ccc(N(C)C)c(C)c1,training,,,
21,S=P(SCN1C(=O)c2c(C1=O)cccc2)(OC)OC,training,0.0,COP(=S)(OC)SCN1C(=O)c2ccccc2C1=O,training,,,
22,O=C(c1cc2[nH]c(N=C(OC)O)nc2cc1)c1ccccc1,training,0.0,COC(O)=Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1,training,,,
