,smiles,dataset,value,cano_smiles,dataset_generate,matched_smiles,matched_value,matched_cano_smiles
0,Clc1cc2C(c3ccccc3)=NCC(=O)N(C)c2cc1,training,1.0,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,training,,,
1,Brc1c(C[N+](CC)(C)C)cccc1,training,0.0,CC[N+](C)(C)Cc1ccccc1Br,training,,,
2,F[C@]12[C@@H](O)C[C@]3(C)[C@@](O)(C(=O)CO)CC[C@H]3[C@@H]1CCC=1[C@]2(C)CCC(=O)C=1,training,1.0,C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,training,,,
3,Fc1cc2onc(C3CCN(CCC=4C(=O)N5C(=NC=4C)CCC(O)C5)CC3)c2cc1,training,1.0,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CC(O)CC2,training,,,
4,O=C(N)C(CCC)(CCC)CCC,training,1.0,CCCC(CCC)(CCC)C(N)=O,training,,,
5,O=C(O)C(C)(C)c1ccc(CCN2CCC(c3n(CCOCC)c4c(n3)cccc4)CC2)cc1,training,0.0,CCOCCn1c(C2CCN(CCc3ccc(C(C)(C)C(=O)O)cc3)CC2)nc2ccccc21,training,,,
6,N(=C(N)N)CCN1CCCCCCC1,training,0.0,NC(N)=NCCN1CCCCCCC1,training,,,
7,[N+](=C(N)N)CCN1CCCCCCC1,training,0.0,NC(N)=[N+]CCN1CCCCCCC1,training,,,
8,O(C)c1c(OC)cc2c(C(=O)C(CC3CCN(Cc4ccccc4)CC3)C2)c1,training,1.0,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,training,,,
9,Clc1cc2C(c3ccccc3)=NC(O)C(=O)Nc2cc1,training,1.0,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,training,,,
10,O=C1N(Cc2ccc(-c3c(-c4[nH]nnn4)cccc3)cc2)c2nc(C)nc(C)c2CC1,training,1.0,Cc1nc(C)c2c(n1)N(Cc1ccc(-c3ccccc3-c3nnn[nH]3)cc1)C(=O)CC2,training,,,
11,Clc1c(Cl)ccc(CC(=O)N([C@@H](CN2CCCC2)c2ccccc2)C)c1,training,1.0,CN(C(=O)Cc1ccc(Cl)c(Cl)c1)[C@@H](CN1CCCC1)c1ccccc1,training,,,
12,NC1C(c2ccccc2)C1,training,1.0,NC1CC1c1ccccc1,training,,,
13,S=C(N)c1cc(CC)ncc1,training,1.0,CCc1cc(C(N)=S)ccn1,training,,,
14,N(C)C1c2c3N(c4c(cccc4)CCc3ccc2)CC1,training,1.0,CNC1CCN2c3ccccc3CCc3cccc1c32,training,,,
15,C(CCC)(C)C,training,1.0,CCCC(C)C,training,,,
16,N(CCCN1c2c(cccc2)C=Cc2c1cccc2)(C)C,training,1.0,CN(C)CCCN1c2ccccc2C=Cc2ccccc21,training,,,
