,smiles,dataset,value,cano_smiles,dataset_generate,matched_smiles,matched_value,matched_cano_smiles
0,Clc1c(COc2c(C(=O)OC)sc3ncccc23)c(Cl)ccc1,training,1.0,COC(=O)c1sc2ncccc2c1OCc1c(Cl)cccc1Cl,training,,,
1,N#Cc1cc(-c2cc3c(NCc4cnccc4)ncnc3cc2)ccc1,training,1.0,N#Cc1cccc(-c2ccc3ncnc(NCc4cccnc4)c3c2)c1,training,,,
2,O(Cc1ccccc1)c1nc2N(Cc3cc(OC)ccc3)C(=O)C=Nc2cn1,training,1.0,COc1cccc(Cn2c(=O)cnc3cnc(OCc4ccccc4)nc32)c1,training,,,
3,S(CC(=O)OCC)c1nc(NC(=O)c2cc(C)ccc2)[nH]n1,training,1.0,CCOC(=O)CSc1n[nH]c(NC(=O)c2cccc(C)c2)n1,training,,,
4,Brc1ccc(C2Nc3c(NC4=C2C(=O)NC4)cccc3)cc1,training,1.0,O=C1NCC2=C1C(c1ccc(Br)cc1)Nc1ccccc1N2,training,,,
5,FC(F)(F)c1cc(N2N=C(c3nn(-c4c(F)cccc4)cc3)C(=O)C=C2)ccc1,training,1.0,O=c1ccn(-c2cccc(C(F)(F)F)c2)nc1-c1ccn(-c2ccccc2F)n1,training,,,
6,Clc1cc(CNCCc2ccc(F)cc2)ccc1,training,1.0,Fc1ccc(CCNCc2cccc(Cl)c2)cc1,training,,,
7,O=C1N(CCCNc2ncnc3n(-c4cc(C)ccc4)ncc23)CCC1,training,1.0,Cc1cccc(-n2ncc3c(NCCCN4CCCC4=O)ncnc32)c1,training,,,
8,O=C(NC(C)(C)C)COc1c(OC)cc(CNCc2sccc2)cc1,training,1.0,COc1cc(CNCc2cccs2)ccc1OCC(=O)NC(C)(C)C,training,,,
9,OC1(CC)c2c(nccc2)-c2c1cccc2,training,1.0,CCC1(O)c2ccccc2-c2ncccc21,training,,,
10,S=C1SC(=Cc2c(C)n(C)c(C)c2)C(=O)N1,training,1.0,Cc1cc(C=C2SC(=S)NC2=O)c(C)n1C,training,,,
