,smiles,dataset,value,cano_smiles,dataset_generate,matched_smiles,matched_value,matched_cano_smiles
0,O=C(OC(C)C)c1c(COC)c2c([nH]c3c2cc(OCc2ccccc2)cc3)cn1,training,0.0,COCc1c(C(=O)OC(C)C)ncc2[nH]c3ccc(OCc4ccccc4)cc3c12,training,,,
1,O=C(Nc1cc(C(=O)C)c(OC[C@@H](O)CNC(C)C)cc1)CCC,training,0.0,CCCC(=O)Nc1ccc(OC[C@@H](O)CNC(C)C)c(C(C)=O)c1,training,,,
2,O=C(Nc1ccccc1)C,training,0.0,CC(=O)Nc1ccccc1,training,,,
3,S(=O)(=O)(N)c1sc(NC(=O)C)nn1,training,0.0,CC(=O)Nc1nnc(S(N)(=O)=O)s1,training,,,
4,O=C(C)C,training,0.0,CC(C)=O,training,,,
5,O[C@@H]1[C@H](CC)[C@H]2[C@@H]3[C@@H](O)[C@@]45[C@@H](N(C)c6c4cccc6)[C@@H](N1[C@H]3C5)C2,training,0.0,CC[C@@H]1[C@@H]2C[C@H]3[C@@H]4N(C)c5ccccc5[C@]45C[C@@H]([C@H]2[C@H]5O)N3[C@@H]1O,training,,,
6,O[C@H](CNC(C)(C)C)c1cc(CO)c(O)cc1,training,0.0,CC(C)(C)NC[C@@H](O)c1ccc(O)c(CO)c1,training,,,
7,O=C(N(c1ccccc1)C1(COC)CCN(CCN2C(=O)N(CC)N=N2)CC1)CC,training,0.0,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,training,,,
8,S(=O)(=O)(Cc1cc2c(CCN(C)C)c[nH]c2cc1)N1CCCC1,training,0.0,CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12,training,,,
9,Clc1ccc(-c2c(CC(=O)N(CCC)CCC)n3c(n2)C=CC(Cl)=C3)cc1,training,0.0,CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2ccc(Cl)cn12,training,,,
10,Clc1cc2C(c3ccccc3)=NCc3n(c(C)nn3)-c2cc1,training,0.0,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,training,,,
11,O(C[C@@H](O)CNC(C)C)c1c(CC=C)cccc1,training,0.0,C=CCc1ccccc1OC[C@@H](O)CNC(C)C,training,,,
12,Brc1c(N)c(CNC2CCC(O)CC2)cc(Br)c1,training,0.0,Nc1c(Br)cc(Br)cc1CNC1CCC(O)CC1,training,,,
13,O=C1[C@@](CC)(c2ccc(N)cc2)CCC(=O)N1,training,0.0,CC[C@]1(c2ccc(N)cc2)CCC(=O)NC1=O,training,,,
14,N(C)(C)c1cc(C)c(C[C@@H](N)C)cc1,training,0.0,Cc1cc(N(C)C)ccc1C[C@H](C)N,training,,,
15,Fc1c(N2CCN(C)CC2)cc2N(NC)C=C(C(=O)O)C(=O)c2c1,training,0.0,CNn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,training,,,
16,Clc1cc2nccc(Nc3cc(CN(CC)CC)c(O)cc3)c2cc1,training,0.0,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,training,,,
17,N[C@H](Cc1ccccc1)C,training,0.0,C[C@H](N)Cc1ccccc1,training,,,
18,Nc1ccccc1,training,0.0,Nc1ccccc1,training,,,
19,O=C1c2c(C(=O)c3c1cccc3)cccc2,training,0.0,O=C1c2ccccc2C(=O)c2ccccc21,training,,,
20,O=C1[C@H](CCC)C(=O)N2N1C(N(C)C)=Nc1c2cc(C)cc1,training,0.0,CCC[C@H]1C(=O)N2C(N(C)C)=Nc3ccc(C)cc3N2C1=O,training,,,
