,smiles,dataset,value,cano_smiles,dataset_generate,matched_smiles,matched_value,matched_cano_smiles
0,Ic1c(O)c(C(=O)Nc2cc(Cl)c(C(=N)N)cc2)cc(C)c1,training,0.0,Cc1cc(I)c(O)c(C(=O)Nc2ccc(C(=N)N)c(Cl)c2)c1,training,,,
1,Clc1cc(Nc2nc(OCC3CCCCC3)c3[nH]cnc3n2)ccc1,training,0.0,Clc1cccc(Nc2nc(OCC3CCCCC3)c3[nH]cnc3n2)c1,training,,,
2,O=C(O)C1NC[C@@H](O)C1,training,0.0,O=C(O)C1C[C@H](O)CN1,training,,,
3,P(=O)(OC[C@H]1[C@H](O)[C@@H](O)[C@H](n2c3ncnc(N)c3nc2)O1)(O)C,training,0.0,CP(=O)(O)OC[C@@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@H]1O,training,,,
4,ClCCN(CCCl)C,training,0.0,CN(CCCl)CCCl,training,,,
5,O(CCCC)c1ccc(OCCCN2CCOCC2)cc1,training,0.0,CCCCOc1ccc(OCCCN2CCOCC2)cc1,training,,,
6,Clc1ccc(C(OCCN2CCCCC2)c2ccccc2)cc1,training,0.0,Clc1ccc(C(OCCN2CCCCC2)c2ccccc2)cc1,training,,,
7,O=Cc1n2c(C(=C3CCN(C)CC3)c3c(cccc3)CC2)nc1,training,0.0,CN1CCC(=C2c3ccccc3CCn3c(C=O)cnc32)CC1,training,,,
8,O=C(OCC1=C(C)OC(=O)O1)c1c2n(Cc3ccc(-c4c(C5=NOC(=O)N5)cccc4)cc3)c(OCC)nc2ccc1,training,0.0,CCOc1nc2cccc(C(=O)OCc3oc(=O)oc3C)c2n1Cc1ccc(-c2ccccc2-c2noc(=O)[nH]2)cc1,training,,,
9,SC[C@H](C(=O)O)Cc1ccccc1,training,0.0,O=C(O)[C@@H](CS)Cc1ccccc1,training,,,
10,Fc1ccc(/N=N/C=2C(=N)N=NC=2N)cc1,training,0.0,N=C1N=NC(N)=C1/N=N/c1ccc(F)cc1,training,,,
11,S(=O)(=O)(C[C@](O)(C(=O)Nc1cc(C(F)(F)F)c(C#N)cc1)C)c1ccc(F)cc1,training,0.0,C[C@](O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,training,,,
12,O=C(OC[C@H]1[C@]2(OC)N(C=3C(=O)C(C)=C(N)C(=O)C1=3)C[C@@H]1N[C@H]21)N,training,0.0,CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12,training,,,
13,FC(F)(F)c1ccc(N(C(=O)C=2C(=O)N(C)c3c(c(OC)ccc3)C=2O)C)cc1,training,0.0,COc1cccc2c1c(O)c(C(=O)N(C)c1ccc(C(F)(F)F)cc1)c(=O)n2C,training,,,
