,smiles,dataset,value,cano_smiles,dataset_generate,matched_smiles,matched_value,matched_cano_smiles
0,[O-][N+](=O)c1ccc2ccc3ccc(c4c5ccccc5c1c2c34)[N+](=O)[O-],training,1,O=[N+]([O-])c1ccc2ccc3ccc([N+](=O)[O-])c4c5ccccc5c1c2c34,training,,,
1,[O-][N+](=O)c1c2CCCCc2c3ccc4cccc5ccc1c3c45,training,1,O=[N+]([O-])c1c2c(c3ccc4cccc5ccc1c3c45)CCCC2,training,,,
2,O=C1c2ccccc2C(=O)c3c1ccc4c3[nH]c5c6C(=O)c7ccccc7C(=O)c6c8[nH]c9c%10C(=O)c%11ccccc%11C(=O)c%10ccc9c8c45,training,0,O=c1c2ccccc2c(=O)c2c1ccc1c2[nH]c2c3c(=O)c4ccccc4c(=O)c3c3[nH]c4c(ccc5c(=O)c6ccccc6c(=O)c54)c3c12,training,,,
3,NNC(=O)CNC(=O)C=N#N,training,1,[N-]=[N+]=CC(=O)NCC(=O)NN,training,,,
4,O=C1NC(=O)C(C=N1)=N#N,training,1,[N-]=[N+]=C1C=NC(=O)NC1=O,training,,,
5,NC(=O)CNC(=O)C=N#N,training,1,[N-]=[N+]=CC(=O)NCC(N)=O,training,,,
6,CCCCN(CC(O)C1=CC(=N#N)C(=O)C=C1)N=O,training,1,CCCCN(CC(O)C1=CC(=[N+]=[N-])C(=O)C=C1)N=O,training,,,
7,NC(COC(=O)C=N#N)C(O)=O,training,1,[N-]=[N+]=CC(=O)OCC(N)C(=O)O,training,,,
8,CCN(CC(O)C1=CC(=O)C(C=C1)=N#N)N=O,training,1,CCN(CC(O)C1=CC(=O)C(=[N+]=[N-])C=C1)N=O,training,,,
9,CC(=O)OC1(CCC2C3C=C(Cl)C4=CC(=O)OCC4(C)C3CCC12C)C(=O)C,training,0,CC(=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)OCC4(C)C3CCC21C,training,,,
10,Nc1nc(N)nc(N)n1,training,0,Nc1nc(N)nc(N)n1,training,,,
11,Cc1ccc(N=Nc2c(O)ccc3ccccc23)c(c1)[N+](=O)[O-],training,1,Cc1ccc(N=Nc2c(O)ccc3ccccc23)c([N+](=O)[O-])c1,training,,,
12,CC(C)CC(=O)Nc1snc2ccccc12,training,0,CC(C)CC(=O)Nc1snc2ccccc12,training,,,
