,smiles,dataset,value,cano_smiles,dataset_generate,matched_smiles,matched_value,matched_cano_smiles
0,NCC#C,training,1.0,C#CCN,training,,,
1,NCCC,training,1.0,CCCN,training,,,
2,N(CCN)C,training,1.0,CNCCN,training,,,
3,OCCNC,training,1.0,CNCCO,training,,,
4,ClCC=O,training,1.0,O=CCCl,training,,,
5,O=C(O)CC=C,training,1.0,C=CCC(=O)O,training,,,
6,NC(CC)CC,training,1.0,CCC(N)CC,training,,,
7,N(CCC)CC,training,1.0,CCCNCC,training,,,
8,O(CCCN)C,training,1.0,COCCCN,training,,,
9,S(=O)(=O)(O)C,training,1.0,CS(=O)(=O)O,training,,,
10,N(CC=C)CC=C,training,1.0,C=CCNCC=C,training,,,
11,O=C=NCCCC,training,1.0,CCCCN=C=O,training,,,
12,O=C(O)C=C(C)C,training,1.0,CC(C)=CC(=O)O,training,,,
13,OCCCCCN,training,1.0,NCCCCCO,training,,,
14,ClC(=O)C(=C)C,training,1.0,C=C(C)C(=O)Cl,training,,,
15,NCc1cnccc1,training,1.0,NCc1cccnc1,training,,,
16,ClCCC(=O)O,training,1.0,O=C(O)CCCl,training,,,
17,ClC(Cl)C#N,training,1.0,N#CC(Cl)Cl,training,,,
18,NCC1CCCCC1,training,1.0,NCC1CCCCC1,training,,,
19,O=C(O)CCCCC,training,1.0,CCCCCC(=O)O,training,,,
20,OCCNC(C)(C)C,training,1.0,CC(C)(C)NCCO,training,,,
21,NC(C)c1ccccc1,training,1.0,CC(N)c1ccccc1,training,,,
22,N(Cc1ccccc1)C,training,1.0,CNCc1ccccc1,training,,,
23,Oc1cc(C)cc(C)c1,training,1.0,Cc1cc(C)cc(O)c1,training,,,
24,FC(=O)c1ccccc1,training,1.0,O=C(F)c1ccccc1,training,,,
25,ClCCSCC,training,1.0,CCSCCCl,training,,,
26,O=C1N(CC)C(=O)C=C1,training,1.0,CCN1C(=O)C=CC1=O,training,,,
27,Sc1ccc(N)cc1,training,1.0,Nc1ccc(S)cc1,training,,,
28,NC(CCCCCC)C,training,1.0,CCCCCCC(C)N,training,,,
