,smiles,dataset,value,cano_smiles,dataset_generate,matched_smiles,matched_value,matched_cano_smiles
0,Clc1ccc(C(=O)n2c(C)c(CC(=O)OCC(=O)O)c3c2ccc(OC)c3)cc1,training,1.0,COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,training,,,
1,S(=O)([O-])(=NC(=O)C)c1c(S(=O)(=O)c2ccc(N)cc2)ccc(N)c1,training,0.0,CC(=O)N=S(=O)([O-])c1cc(N)ccc1S(=O)(=O)c1ccc(N)cc1,training,,,
2,SC[C@H](NC(=O)C)C(=O)O,training,0.0,CC(=O)N[C@@H](CS)C(=O)O,training,,,
3,O=C(CO)[C@@H]1[C@]2(C=O)[C@H]([C@H]3[C@H]([C@@H](O)C2)[C@]2(C)C(=CC(=O)CC2)CC3)CC1,training,1.0,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@]2(C=O)[C@@H](C(=O)CO)CC[C@@H]12,training,,,
4,O=C(N(c1ccccc1)C1(COC)CCN(CCN2C(=O)N(CC)N=N2)CC1)CC,training,1.0,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,training,,,
5,S(P(=O)(O)O)CCNCCCN,training,0.0,NCCCNCCSP(=O)(O)O,training,,,
6,O=C1C(CC)(c2ccc(N)cc2)CCC(=O)N1,training,0.0,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,training,,,
7,S=C(N/N=C/c1ccc(NC(=O)C)cc1)N,training,1.0,CC(=O)Nc1ccc(/C=N/NC(N)=S)cc1,training,,,
8,O=C(O)c1c(N)nc2Oc3c(C(=O)c2c1)cc(C(C)C)cc3,training,1.0,CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1,training,,,
9,S(=O)(=O)(Nc1cc(OC)c(Nc2c3c(nc4c2cccc4)cccc3)cc1)C,training,1.0,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,training,,,
10,O(C)c1ccc(C2C(=O)c3c(C2=O)cccc3)cc1,training,0.0,COc1ccc(C2C(=O)c3ccccc3C2=O)cc1,training,,,
11,O=C(OC1C[C@@H]2[N+](C)(C)[C@H](C1)CC2)C(CCC)CCC,training,1.0,CCCC(CCC)C(=O)OC1C[C@@H]2CC[C@H](C1)[N+]2(C)C,training,,,
12,N(Cc1ccccc1)(CC1=NCCN1)c1ccccc1,training,0.0,c1ccc(CN(CC2=NCCN2)c2ccccc2)cc1,training,,,
13,S(CC(O)CNC(C)(C)C)c1scc(-c2sc(C(=O)N)cc2)n1,training,1.0,CC(C)(C)NCC(O)CSc1nc(-c2ccc(C(N)=O)s2)cs1,training,,,
14,O=C(Oc1c(C(=O)O)cccc1)C,training,0.0,CC(=O)Oc1ccccc1C(=O)O,training,,,
15,O=C(N(C)[C@@H]1[C@@H](OC)[C@@H](O)[C@H](N)[C@@H](O[C@@H]2[C@H](N)CC[C@@H]([C@@H](N)C)O2)[C@@H]1O)CN,training,0.0,CO[C@H]1[C@@H](O)[C@H](N)[C@@H](O[C@H]2O[C@H]([C@H](C)N)CC[C@H]2N)[C@H](O)[C@@H]1N(C)C(=O)CN,training,,,
16,O=C(OC[C@@H]1[C@@H](OC(=O)C)[C@@H](OC(=O)C)[C@H](N2C(=O)NC(=O)C=N2)O1)C,training,0.0,CC(=O)OC[C@H]1O[C@@H](n2ncc(=O)[nH]c2=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O,training,,,
