,smiles,dataset,value,cano_smiles,dataset_generate,matched_smiles,matched_value,matched_cano_smiles
0,O=C(O)[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,training,0,O=C(CO)[C@@H](O)[C@H](O)[C@@H](O)C(=O)O,training,,,
1,O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,training,0,O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,training,,,
2,O=C(O[C@@H]1[C@]2(C)[C@H]([C@H]3[C@@H](c4c(cc(O)cc4)CC3)CC2)CC1)CCC1CCCC1,training,0,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OC(=O)CCC1CCCC1,training,,,
3,S(C#N)CC(=O)O[C@H]1[C@@]2(C)C(C)(C)[C@@H](C1)CC2,training,0,CC1(C)[C@@H]2CC[C@@]1(C)[C@H](OC(=O)CSC#N)C2,training,,,
4,Oc1c2ncccc2ccc1,training,0,Oc1cccc2cccnc12,training,,,
5,Oc1c(C(C)(C)C)cc(O)cc1,training,1,CC(C)(C)c1cc(O)ccc1O,training,,,
6,O=C(O)C(N)Cc1ccccc1,training,0,NC(Cc1ccccc1)C(=O)O,training,,,
7,O=S1(=O)OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2c1cccc2,training,0,O=S1(=O)OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,training,,,
8,SC(CS)CO,training,0,OCC(S)CS,training,,,
9,S[C@@H]([C@H](S)C(=O)O)C(=O)O,training,0,O=C(O)[C@@H](S)[C@H](S)C(=O)O,training,,,
10,O=C(O)C(=O)CCC(=O)O,training,0,O=C(O)CCC(=O)C(=O)O,training,,,
11,FC(F)(F)c1cc2N(CCCN3CCN(C)CC3)c3c(Sc2cc1)cccc3,training,0,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,training,,,
12,O=C(OC)[C@H]1[C@@H](O)CC[C@@H]2[C@@H]1C[C@@H]1N(C2)CCc2c3c([nH]c12)cccc3,training,1,COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@@H]21,training,,,
13,OCc1c(CN)c(O)c(C)nc1,training,0,Cc1ncc(CO)c(CN)c1O,training,,,
14,OC(CCN1CCCCC1)(c1ccccc1)c1ccccc1,training,1,OC(CCN1CCCCC1)(c1ccccc1)c1ccccc1,training,,,
15,Clc1ccc(C(N2CCN(Cc3ccc(C(C)(C)C)cc3)CC2)c2ccccc2)cc1,training,0,CC(C)(C)c1ccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)cc1,training,,,
16,O=C(O)CCc1[nH]c2c(n1)cccc2,training,0,O=C(O)CCc1nc2ccccc2[nH]1,training,,,
17,O=C(O)CC[C@@H](C)[C@@H]1[C@@]2(C)[C@@H](O)C[C@@H]3[C@]4(C)[C@H](C[C@@H](O)[C@H]3[C@@H]2CC1)C[C@H](O)CC4,training,0,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O,training,,,
18,S(=O)(=O)(Nc1nc2c(nc1)cccc2)c1ccc(N)cc1,training,0,Nc1ccc(S(=O)(=O)Nc2cnc3ccccc3n2)cc1,training,,,
19,Ic1c(Oc2cc(I)c(O)cc2)c(I)cc(C[C@H](N)C(=O)O)c1,training,1,N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,training,,,
20,Clc1cc2/C(=C/CCN(C)C)/c3c(Sc2cc1)cccc3,training,0,CN(C)CC/C=C1\c2ccccc2Sc2ccc(Cl)cc21,training,,,
21,O=C(OC1C[C@@H]2N(C)[C@H](C1)CC2)C(O)c1ccccc1,training,0,CN1[C@H]2CC[C@@H]1CC(OC(=O)C(O)c1ccccc1)C2,training,,,
22,O=C(OC1C[C@@H]2N(C)[C@@H]([C@H]3O[C@@H]23)C1)[C@H](CO)c1ccccc1,training,0,CN1[C@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21,training,,,
23,O=C(OC1C[C@@H]2[N+](C)(C)[C@@H]([C@H]3O[C@@H]23)C1)[C@H](CO)c1ccccc1,training,0,C[N+]1(C)[C@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21,training,,,
24,O=C(OC1C[C@@H]2[N+](C)(C)[C@H](C1)CC2)C(CO)c1ccccc1,training,0,C[N+]1(C)[C@H]2CC[C@@H]1CC(OC(=O)C(CO)c1ccccc1)C2,training,,,
25,O=C(OC1C[C@@H]2[N+]([O-])(C)[C@H](C1)CC2)C(CO)c1ccccc1,training,0,C[N+]1([O-])[C@H]2CC[C@@H]1CC(OC(=O)C(CO)c1ccccc1)C2,training,,,
26,N(CCC=C1c2c(cccc2)C=Cc2c1cccc2)(C)C,training,0,CN(C)CCC=C1c2ccccc2C=Cc2ccccc21,training,,,
27,Brc1c(O)c(Br)cc(C(=O)c2c(CC)oc3c2cccc3)c1,training,0,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,training,,,
28,O=C(N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12)Cc1ccccc1,training,0,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,training,,,
29,P(=O)(O)(O)CC(=O)O,training,0,O=C(O)CP(=O)(O)O,training,,,
30,O=C1N2[C@H]3[C@@H]4[C@@H](OCC=C5[C@@H]4C[C@@H]4N(C5)CC[C@]34c3c2cccc3)C1,training,0,O=C1C[C@@H]2OCC=C3CN4CC[C@]56c7ccccc7N1[C@H]5[C@H]2[C@H]3C[C@H]46,training,,,
31,C(N1c2c(Sc3c1cccc3)cccc2)C1CN(C)CC1,training,0,CN1CCC(CN2c3ccccc3Sc3ccccc32)C1,training,,,
32,N(CCC=C1c2c(cccc2)CCc2c1cccc2)C,training,0,CNCCC=C1c2ccccc2CCc2ccccc21,training,,,
33,N(CC(CN1c2c(Sc3c1cccc3)ccc(CC)c2)C)(C)C,training,0,CCc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2,training,,,
