,smiles,dataset,value,cano_smiles,dataset_generate,matched_smiles,matched_value,matched_cano_smiles
0,O=C(O)[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,training,0.0,O=C(CO)[C@@H](O)[C@H](O)[C@@H](O)C(=O)O,training,,,
1,S(C#N)CC(=O)O[C@H]1[C@@]2(C)C(C)(C)[C@@H](C1)CC2,training,0.0,CC1(C)[C@@H]2CC[C@@]1(C)[C@H](OC(=O)CSC#N)C2,training,,,
2,OC/C=C(/CCC=C(C)C)\C,training,0.0,CC(C)=CCC/C(C)=C/CO,training,,,
3,O=S1(=O)OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2c1cccc2,training,0.0,O=S1(=O)OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,training,,,
4,SC(CS)CO,training,0.0,OCC(S)CS,training,,,
5,S[C@@H]([C@H](S)C(=O)O)C(=O)O,training,0.0,O=C(O)[C@@H](S)[C@H](S)C(=O)O,training,,,
6,P(=O)(O[C@@H]1[C@]2(C)[C@H]([C@H]3[C@@H](c4c(cc(O)cc4)CC3)CC2)CC1)(O)O,training,0.0,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OP(=O)(O)O,training,,,
7,OCc1c(CN)c(O)c(C)nc1,training,0.0,Cc1ncc(CO)c(CN)c1O,training,,,
8,S(=O)(=O)(N)c1ccc(C(=O)O)cc1,training,0.0,NS(=O)(=O)c1ccc(C(=O)O)cc1,training,,,
9,OC(CCN1CCCCC1)(c1ccccc1)c1ccccc1,training,0.0,OC(CCN1CCCCC1)(c1ccccc1)c1ccccc1,training,,,
10,Clc1ccc(C(N2CCN(Cc3ccc(C(C)(C)C)cc3)CC2)c2ccccc2)cc1,training,1.0,CC(C)(C)c1ccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)cc1,training,,,
11,O([C@H]1[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O1)[C@H]1C[C@@H](O)[C@@]2(CO)[C@@](O)(C1)CC[C@H]1[C@]3(O)[C@@](C)([C@@H](C4=CC(=O)OC4)CC3)C[C@@H](O)[C@H]21,training,1.0,C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O,training,,,
12,O=C(O)CC[C@@H](C)[C@@H]1[C@@]2(C)[C@@H](O)C[C@@H]3[C@]4(C)[C@H](C[C@@H](O)[C@H]3[C@@H]2CC1)C[C@H](O)CC4,training,0.0,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O,training,,,
13,S(=O)(=O)(Nc1nc2c(nc1)cccc2)c1ccc(N)cc1,training,0.0,Nc1ccc(S(=O)(=O)Nc2cnc3ccccc3n2)cc1,training,,,
14,O(C(c1ccccc1)c1ccccc1)C1C[C@@H]2N(C)[C@H](C1)CC2,training,0.0,CN1[C@H]2CC[C@@H]1CC(OC(c1ccccc1)c1ccccc1)C2,training,,,
15,O=C(OC1C[C@@H]2N(C)[C@H](C1)CC2)C(O)c1ccccc1,training,0.0,CN1[C@H]2CC[C@@H]1CC(OC(=O)C(O)c1ccccc1)C2,training,,,
16,O=C(OC1C[C@@H]2N(C)[C@@H]([C@H]3O[C@@H]23)C1)[C@H](CO)c1ccccc1,training,0.0,CN1[C@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21,training,,,
17,O=C(OC1C[C@@H]2[N+]([O-])(C)[C@@H]([C@H]3O[C@@H]23)C1)[C@H](CO)c1ccccc1,training,0.0,C[N+]1([O-])[C@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21,training,,,
18,O=C(OC1C[C@@H]2[N+](C)(C)[C@@H]([C@H]3O[C@@H]23)C1)[C@H](CO)c1ccccc1,training,0.0,C[N+]1(C)[C@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21,training,,,
19,O=C(OC1C[C@@H]2[N+](C)(C)[C@H](C1)CC2)C(CO)c1ccccc1,training,0.0,C[N+]1(C)[C@H]2CC[C@@H]1CC(OC(=O)C(CO)c1ccccc1)C2,training,,,
20,N(CCC=C1c2c(cccc2)C=Cc2c1cccc2)(C)C,training,0.0,CN(C)CCC=C1c2ccccc2C=Cc2ccccc21,training,,,
21,Brc1c(O)c(Br)cc(C(=O)c2c(CC)oc3c2cccc3)c1,training,0.0,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,training,,,
22,O=C(O)C1NCCC1,training,0.0,O=C(O)C1CCCN1,training,,,
23,N(CCCN1c2c(C(C)(C)c3c1cccc3)cccc2)(C)C,training,0.0,CN(C)CCCN1c2ccccc2C(C)(C)c2ccccc21,training,,,
24,P(=O)(O)(O)CC(=O)O,training,0.0,O=C(O)CP(=O)(O)O,training,,,
25,O=C1N2[C@H]3[C@@H]4[C@@H](OCC=C5[C@@H]4C[C@@H]4N(C5)CC[C@]34c3c2cccc3)C1,training,0.0,O=C1C[C@@H]2OCC=C3CN4CC[C@]56c7ccccc7N1[C@H]5[C@H]2[C@H]3C[C@H]46,training,,,
26,C(N1c2c(Sc3c1cccc3)cccc2)C1CN(C)CC1,training,0.0,CN1CCC(CN2c3ccccc3Sc3ccccc32)C1,training,,,
27,N(c1c2c(ccc1)CCCC2)C1=NCCN1,training,0.0,c1cc2c(c(NC3=NCCN3)c1)CCCC2,training,,,
28,Clc1c(S(=O)(=O)N)cc2S(=O)(=O)NC(Cc3ccccc3)Nc2c1,training,0.0,NS(=O)(=O)c1cc2c(cc1Cl)NC(Cc1ccccc1)NS2(=O)=O,training,,,
29,Clc1nc(SCC(=O)O)nc(Nc2c(C)c(C)ccc2)c1,training,0.0,Cc1cccc(Nc2cc(Cl)nc(SCC(=O)O)n2)c1C,training,,,
30,O=C(O)CCc1oc(c(-c2ccccc2)n1)-c1ccccc1,training,0.0,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,training,,,
31,O=C1n2c3c(c4c2[C@@H]2[C@](CC)(C1)CCCN2CC4)cccc3,training,1.0,CC[C@]12CCCN3CCc4c(n(c5ccccc45)C(=O)C1)[C@@H]32,training,,,
32,OC(CNC(C)(C)C)c1nc(CO)c(O)cc1,training,0.0,CC(C)(C)NCC(O)c1ccc(O)c(CO)n1,training,,,
33,O=C1N([C@@H]2O[C@H](CO)[C@@H](N=[N+]=[N-])C2)C=C(C)C(=O)N1,training,0.0,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,training,,,
34,O=C(O)CCCCCCCC(=O)O,training,0.0,O=C(O)CCCCCCCC(=O)O,training,,,
35,Nc1ccncc1,training,0.0,Nc1ccncc1,training,,,
36,Clc1ccc(CC(OC(=O)C(N)C)(C)C)cc1,training,0.0,CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1,training,,,
37,S(=O)(=O)(NC(=O)NC1CCCCC1)c1ccc(C(=O)C)cc1,training,0.0,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,training,,,
38,NC12CC3CC(C1)CC(C2)C3,training,0.0,NC12CC3CC(CC(C3)C1)C2,training,,,
39,O=C(O)[C@@H](NC(=O)c1ccc(NCc2nc3c(N)nc(N)nc3nc2)cc1)CCC(=O)O,training,0.0,Nc1nc(N)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2n1,training,,,
