,smiles,dataset,value,cano_smiles,dataset_generate,matched_smiles,matched_value,matched_cano_smiles
0,O=C(O)[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,training,0.0,O=C(CO)[C@@H](O)[C@H](O)[C@@H](O)C(=O)O,training,,,
1,O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,training,0.0,O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,training,,,
2,O=C(O[C@@H]1[C@]2(C)[C@H]([C@H]3[C@@H](c4c(cc(O)cc4)CC3)CC2)CC1)CCC1CCCC1,training,1.0,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OC(=O)CCC1CCCC1,training,,,
3,S(C#N)CC(=O)O[C@H]1[C@@]2(C)C(C)(C)[C@@H](C1)CC2,training,0.0,CC1(C)[C@@H]2CC[C@@]1(C)[C@H](OC(=O)CSC#N)C2,training,,,
4,Oc1c2ncccc2ccc1,training,1.0,Oc1cccc2cccnc12,training,,,
5,Oc1c(C(C)(C)C)cc(O)cc1,training,0.0,CC(C)(C)c1cc(O)ccc1O,training,,,
6,[N+](C)(C)=C1C=CC(=C(c2ccc(N(C)C)cc2)c2ccccc2)C=C1,training,0.0,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccccc2)cc1,training,,,
7,O=C(O)C(N)Cc1ccccc1,training,0.0,NC(Cc1ccccc1)C(=O)O,training,,,
8,O=C(Nc1cc2c(N)cc(C)nc2cc1)Nc1cc2c(N)cc(C)nc2cc1,training,0.0,Cc1cc(N)c2cc(NC(=O)Nc3ccc4nc(C)cc(N)c4c3)ccc2n1,training,,,
9,SC(CS)CO,training,0.0,OCC(S)CS,training,,,
10,O=C(O)C(=O)CCC(=O)O,training,0.0,O=C(O)CCC(=O)C(=O)O,training,,,
11,FC(F)(F)c1cc2N(CCCN3CCN(C)CC3)c3c(Sc2cc1)cccc3,training,0.0,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,training,,,
12,P(=O)(O[C@@H]1[C@]2(C)[C@H]([C@H]3[C@@H](c4c(cc(O)cc4)CC3)CC2)CC1)(O)O,training,1.0,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OP(=O)(O)O,training,,,
13,S(=O)(=O)(N)c1ccc(C(=O)O)cc1,training,0.0,NS(=O)(=O)c1ccc(C(=O)O)cc1,training,,,
14,OC(CCN1CCCCC1)(c1ccccc1)c1ccccc1,training,0.0,OC(CCN1CCCCC1)(c1ccccc1)c1ccccc1,training,,,
15,Clc1ccc(C(N2CCN(Cc3ccc(C(C)(C)C)cc3)CC2)c2ccccc2)cc1,training,0.0,CC(C)(C)c1ccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)cc1,training,,,
16,O=C(O)CCc1[nH]c2c(n1)cccc2,training,0.0,O=C(O)CCc1nc2ccccc2[nH]1,training,,,
17,O=C(O)CC[C@@H](C)[C@@H]1[C@@]2(C)[C@@H](O)C[C@@H]3[C@]4(C)[C@H](C[C@@H](O)[C@H]3[C@@H]2CC1)C[C@H](O)CC4,training,0.0,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O,training,,,
18,S(=O)(=O)(Nc1nc2c(nc1)cccc2)c1ccc(N)cc1,training,0.0,Nc1ccc(S(=O)(=O)Nc2cnc3ccccc3n2)cc1,training,,,
19,O(C(c1ccccc1)c1ccccc1)C1C[C@@H]2N(C)[C@H](C1)CC2,training,0.0,CN1[C@H]2CC[C@@H]1CC(OC(c1ccccc1)c1ccccc1)C2,training,,,
20,O=C(NCN1CCCC1)C=1C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@](O)(C)C3C[C@H]2[C@H](N(C)C)C=1O,training,0.0,CN(C)[C@@H]1C(O)=C(C(=O)NCN2CCCC2)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)C3C[C@@H]12,training,,,
21,Clc1cc(Sc2c(O)ccc(Cl)c2)c(O)cc1,training,0.0,Oc1ccc(Cl)cc1Sc1cc(Cl)ccc1O,training,,,
22,Clc1cc2/C(=C/CCN(C)C)/c3c(Sc2cc1)cccc3,training,0.0,CN(C)CC/C=C1\c2ccccc2Sc2ccc(Cl)cc21,training,,,
23,O=C(OC1C[C@@H]2N(C)[C@H](C1)CC2)C(O)c1ccccc1,training,0.0,CN1[C@H]2CC[C@@H]1CC(OC(=O)C(O)c1ccccc1)C2,training,,,
24,O=C(OC1C[C@@H]2[N+](C)(C)[C@@H]([C@H]3O[C@@H]23)C1)[C@H](CO)c1ccccc1,training,0.0,C[N+]1(C)[C@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21,training,,,
25,O=C(OC1C[C@@H]2[N+](C)(C)[C@H](C1)CC2)C(CO)c1ccccc1,training,0.0,C[N+]1(C)[C@H]2CC[C@@H]1CC(OC(=O)C(CO)c1ccccc1)C2,training,,,
26,O=C(OC1C[C@@H]2[N+]([O-])(C)[C@H](C1)CC2)C(CO)c1ccccc1,training,0.0,C[N+]1([O-])[C@H]2CC[C@@H]1CC(OC(=O)C(CO)c1ccccc1)C2,training,,,
27,N(CCC=C1c2c(cccc2)C=Cc2c1cccc2)(C)C,training,0.0,CN(C)CCC=C1c2ccccc2C=Cc2ccccc21,training,,,
28,Brc1c(O)c(Br)cc(C(=O)c2c(CC)oc3c2cccc3)c1,training,0.0,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,training,,,
29,O=C(O)C1NCCC1,training,0.0,O=C(O)C1CCCN1,training,,,
30,N(CCCN1c2c(C(C)(C)c3c1cccc3)cccc2)(C)C,training,0.0,CN(C)CCCN1c2ccccc2C(C)(C)c2ccccc21,training,,,
31,O=C(N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12)Cc1ccccc1,training,0.0,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,training,,,
32,P(=O)(O)(O)CC(=O)O,training,0.0,O=C(O)CP(=O)(O)O,training,,,
33,O=C1N2[C@H]3[C@@H]4[C@@H](OCC=C5[C@@H]4C[C@@H]4N(C5)CC[C@]34c3c2cccc3)C1,training,0.0,O=C1C[C@@H]2OCC=C3CN4CC[C@]56c7ccccc7N1[C@H]5[C@H]2[C@H]3C[C@H]46,training,,,
34,C(N1c2c(Sc3c1cccc3)cccc2)C1CN(C)CC1,training,0.0,CN1CCC(CN2c3ccccc3Sc3ccccc32)C1,training,,,
35,N(c1c2c(ccc1)CCCC2)C1=NCCN1,training,0.0,c1cc2c(c(NC3=NCCN3)c1)CCCC2,training,,,
36,[SH0](=O)(C)c1cc2N(CCC3N(C)CCCC3)c3c(Sc2cc1)cccc3,training,0.0,CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)=O)cc21,training,,,
37,Clc1c(S(=O)(=O)N)cc2S(=O)(=O)NC(Cc3ccccc3)Nc2c1,training,0.0,NS(=O)(=O)c1cc2c(cc1Cl)NC(Cc1ccccc1)NS2(=O)=O,training,,,
38,Clc1c(-c2c(C(=O)N[C@@H]3C(=O)N4[C@@H](C(=O)O)C(C)(C)S[C@H]34)c(C)on2)c(F)ccc1,training,0.0,Cc1onc(-c2c(F)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,training,,,
39,Clc1c(-c2onc(-c3ccncc3)n2)cccc1,training,0.0,Clc1ccccc1-c1nc(-c2ccncc2)no1,training,,,
40,Clc1nc(SCC(=O)O)nc(Nc2c(C)c(C)ccc2)c1,training,0.0,Cc1cccc(Nc2cc(Cl)nc(SCC(=O)O)n2)c1C,training,,,
41,O=C(O)CCc1oc(c(-c2ccccc2)n1)-c1ccccc1,training,0.0,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,training,,,
42,OC(CNC(C)(C)C)c1nc(CO)c(O)cc1,training,0.0,CC(C)(C)NCC(O)c1ccc(O)c(CO)n1,training,,,
43,O=C1N([C@@H]2O[C@H](CO)[C@@H](N=[N+]=[N-])C2)C=C(C)C(=O)N1,training,0.0,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,training,,,
44,Clc1cc2C(N3CCNCC3)=Nc3c(Oc2cc1)cccc3,training,0.0,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,training,,,
45,Nc1ccncc1,training,0.0,Nc1ccncc1,training,,,
46,O=C(O)[C@@H](NC(=O)c1ccc(NCc2nc3c(N)nc(N)nc3nc2)cc1)CCC(=O)O,training,0.0,Nc1nc(N)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2n1,training,,,
