,smiles,dataset,value,cano_smiles,dataset_generate,matched_smiles,matched_value,matched_cano_smiles
0,O=C(O[C@H]1[C@H](OC)[C@@H](C(=O)OC)[C@@H]2[C@H](C1)CN1[C@@H](c3[nH]c4c(c3CC1)ccc(OC)c4)C2)COc1ccc(OC)cc1,training,0.0,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)COc2ccc(OC)cc2)[C@@H]1OC,training,,,
1,S(SC(=C(N(C=O)Cc1c(N)nc(C)nc1)C)CCO)C(=C(N(C=O)Cc1c(N)nc(C)nc1)C)CCO,training,0.0,CC(=C(CCO)SSC(CCO)=C(C)N(C=O)Cc1cnc(C)nc1N)N(C=O)Cc1cnc(C)nc1N,training,,,
2,Brc1c(C)c(NC(=O)CN(CC(=O)O)CC(=O)O)c(C)cc1C,training,0.0,Cc1cc(C)c(NC(=O)CN(CC(=O)O)CC(=O)O)c(C)c1Br,training,,,
3,O=C(OCCCC)C(OC(=O)C)(CC(=O)OCCCC)CC(=O)OCCCC,training,0.0,CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC,training,,,
4,O=C1O[Mg-2]2(OC(=O)c3c(O2)cccc3)Oc2c1cccc2,training,0.0,O=C1O[Mg-2]2(OC(=O)c3ccccc3O2)Oc2ccccc21,training,,,
5,NC=1O[C@H]([C@@H](C)N=1)c1ccccc1,training,0.0,C[C@H]1N=C(N)O[C@H]1c1ccccc1,training,,,
6,O(C)c1c(OC)cc(CCN)cc1OC,training,0.0,COc1cc(CCN)cc(OC)c1OC,training,,,
7,O(C)c1c(OC)cc(CC(C)C)cc1OC,training,0.0,COc1cc(CC(C)C)cc(OC)c1OC,training,,,
8,Oc1cc2[C@]3(C)[C@@H](C)[C@@H](N(C)CC3)Cc2cc1,training,0.0,C[C@H]1[C@@H]2Cc3ccc(O)cc3[C@@]1(C)CCN2C,training,,,
9,O=C(C([C@@H](CN1CCOCC1)C)(c1ccccc1)c1ccccc1)N1CCCC1,training,0.0,C[C@H](CN1CCOCC1)C(C(=O)N1CCCC1)(c1ccccc1)c1ccccc1,training,,,
10,O=[N+]([O-])c1cc2nc(Cc3ccc(OCC)cc3)n(CCN(CC)CC)c2cc1,training,0.0,CCOc1ccc(Cc2nc3cc([N+](=O)[O-])ccc3n2CCN(CC)CC)cc1,training,,,
11,O=C(N(c1ccccc1)C1CCN(Cc2ccccc2)CC1)CC,training,0.0,CCC(=O)N(c1ccccc1)C1CCN(Cc2ccccc2)CC1,training,,,
12,O=C(N(c1ccccc1)C1CCN(CC(O)c2ccccc2)CC1)CC,training,0.0,CCC(=O)N(c1ccccc1)C1CCN(CC(O)c2ccccc2)CC1,training,,,
13,O=C(N(c1ccccc1)C1CCN(C(Cc2sccc2)C)CC1)CC,training,1.0,CCC(=O)N(c1ccccc1)C1CCN(C(C)Cc2cccs2)CC1,training,,,
14,O(C)c1c(CC(N)C)cc(OC)cc1,training,0.0,COc1ccc(OC)c(CC(C)N)c1,training,,,
15,ONC(Cc1cc2OCOc2cc1)C,training,0.0,CC(Cc1ccc2c(c1)OCO2)NO,training,,,
16,N([C@H](Cc1ccccc1)C)CC,training,0.0,CCN[C@@H](C)Cc1ccccc1,training,,,
17,O[C@@H]1[C@@H]2Oc3c(O)ccc4c3[C@@]32[C@H]([C@H](N(C)CC3)C4)C=C1,training,0.0,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,training,,,
18,O=C1C(CCC(C)C)(CC)C(=O)NC(=O)N1,training,0.0,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,training,,,
19,O=C1C(C(CCC)C)(CC=C)C(=O)NC(=O)N1,training,0.0,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,training,,,
20,Oc1cc2[C@@]3(C)[C@@H](C)[C@H](N(CC=C(C)C)CC3)Cc2cc1,training,0.0,CC(C)=CCN1CC[C@@]2(C)c3cc(O)ccc3C[C@@H]1[C@@H]2C,training,,,
21,O=C(N(c1ccccc1)C1(COC)CCN(CCN2C(=O)N(CC)N=N2)CC1)CC,training,0.0,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,training,,,
22,O=C(N(c1ccccc1)C1(COC)CCN(CCc2sccc2)CC1)CC,training,1.0,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,training,,,
23,O(C)c1cc2c(CCN(C(C)C)C(C)C)c[nH]c2cc1,training,0.0,COc1ccc2[nH]cc(CCN(C(C)C)C(C)C)c2c1,training,,,
24,NC1(c2ccccc2)CCCCC1,training,0.0,NC1(c2ccccc2)CCCCC1,training,,,
25,C(N1CCNCC1)c1ccccc1,training,0.0,c1ccc(CN2CCNCC2)cc1,training,,,
26,O(C)c1c2O[C@H]3[C@@H](O)C=C[C@H]4[C@@H]5N(C)CC[C@]34c2c(cc1)C5,training,1.0,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314,training,,,
27,O(C)c1c2O[C@H]3[C@H](O)CC[C@H]4[C@@H]5N(C)CC[C@]34c2c(cc1)C5,training,0.0,COc1ccc2c3c1O[C@H]1[C@H](O)CC[C@H]4[C@@H](C2)N(C)CC[C@@]341,training,,,
28,O[C@@H]1[C@@H]2Oc3c(O)ccc4c3[C@@]32[C@H]([C@H](N(C)CC3)C4)CC1,training,0.0,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)CC[C@H]3[C@H]1C5,training,,,
29,N(C(Cc1cc2OCOc2cc1)C)CC,training,0.0,CCNC(C)Cc1ccc2c(c1)OCO2,training,,,
30,Oc1cc2c(CCN(C)C)c[nH]c2cc1,training,0.0,CN(C)CCc1c[nH]c2ccc(O)cc12,training,,,
31,Oc1c2c(CCN(C)C)c[nH]c2ccc1,training,0.0,CN(C)CCc1c[nH]c2cccc(O)c12,training,,,
32,O=C(C(CC(N(C)C)C)(c1ccccc1)c1ccccc1)CC,training,0.0,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,training,,,
33,O=C1N(C)C(=O)c2n(CCNC(Cc3ccccc3)C)cnc2N1C,training,0.0,CC(Cc1ccccc1)NCCn1cnc2c1c(=O)n(C)c(=O)n2C,training,,,
34,O(C)c1cc2c([nH]c3[C@H]4[C@@H]5[C@@H](CC)C[C@@H](CN5CCc23)C4)cc1,training,0.0,CC[C@H]1C[C@@H]2C[C@H]3c4[nH]c5ccc(OC)cc5c4CCN(C2)[C@@H]13,training,,,
35,P(=O)(Oc1c2c(CCN(C)C)c[nH]c2ccc1)(O)O,training,0.0,CN(C)CCc1c[nH]c2cccc(OP(=O)(O)O)c12,training,,,
36,O=C(N(c1ccccc1)C1CCN(C(Cc2ccccc2)C)CC1)CC,training,0.0,CCC(=O)N(c1ccccc1)C1CCN(C(C)Cc2ccccc2)CC1,training,,,
37,Clc1c(Oc2cc(C(=O)[O-])c([N+](=O)[O-])cc2)ccc(C(F)(F)F)c1,training,0.0,O=C([O-])c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],training,,,
38,S(C(=O)C)C[C@H](C(=O)N1[C@H](C(=O)N[C@H](C(=O)O)Cc2ccccc2)CCC1)C,training,0.0,CC(=O)SC[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)O,training,,,
39,O=C(Nc1c(O)c2C(=O)C3=C(O)[C@]4(O)C(=O)C(C(=O)N)=C(O)[C@@H](N(C)C)[C@@H]4C[C@@H]3Cc2c(N(C)C)c1)CNC(C)(C)C,training,0.0,CN(C)c1cc(NC(=O)CNC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,training,,,
40,O=C(OCC1=C(C(=O)OCOC(=O)C(C)(C)C)N2C(=O)[C@@H](NC(=O)/C(=C\CC)/c3nc(N)sc3)[C@H]2SC1)N,training,0.0,CC/C=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=C(COC(N)=O)CS[C@H]12)c1csc(N)n1,training,,,
41,O=C(OCOC(=O)C1=C(C)CS[C@@H]2[C@H](NC(=O)/C(=N/OC)/c3nc(N)sc3)C(=O)N12)C(C)(C)C,training,0.0,CO/N=C(/C(=O)N[C@@H]1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=C(C)CS[C@H]12)c1csc(N)n1,training,,,
42,O=C(O[C@@H]1C(C)(C)[C@H]2[C@@]3([C@]4([C@H]([C@@]5(C)[C@@](C)([C@@H]([C@@H](CCC=C(C)C)C)CC5)CC4)CC2)C3)CC1)/C=C/c1cc(OC)c(O)cc1,training,0.0,COc1cc(/C=C/C(=O)O[C@H]2CC[C@]34C[C@]35CC[C@]3(C)[C@@H]([C@H](C)CCC=C(C)C)CC[C@@]3(C)[C@@H]5CC[C@H]4C2(C)C)ccc1O,training,,,
43,Clc1cc(Nc2c(C(=O)O)cccc2)c(C(=O)O)cc1,training,0.0,O=C(O)c1ccccc1Nc1cc(Cl)ccc1C(=O)O,training,,,
44,O=C(OCCO)CCC(=O)Oc1c(C)c(C)c2O[C@@](CCC[C@@H](CCC[C@@H](CCCC(C)C)C)C)(C)CCc2c1C,training,1.0,Cc1c(C)c2c(c(C)c1OC(=O)CCC(=O)OCCO)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2,training,,,
45,O(CCCOc1ccc(C(=N)N)cc1)c1ccc(C(=N)N)cc1,training,1.0,N=C(N)c1ccc(OCCCOc2ccc(C(=N)N)cc2)cc1,training,,,
46,S(=O)(=O)(N)c1ccc(OP(=S)(OC)OC)cc1,training,0.0,COP(=S)(OC)Oc1ccc(S(N)(=O)=O)cc1,training,,,
47,S(=O)(=O)(Nc1nnc(OCC)cc1)c1ccc(N)cc1,training,0.0,CCOc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1,training,,,
48,Clc1cc(OCC(O)CNC(CNc2ccc(C=3C(C)CC(=O)NN=3)cc2)(C)C)c(C#N)cc1,training,0.0,CC1CC(=O)NN=C1c1ccc(NCC(C)(C)NCC(O)COc2cc(Cl)ccc2C#N)cc1,training,,,
49,Oc1cc(C)c2O[C@@](CCC[C@@H](CCC[C@@H](CCCC(C)C)C)C)(C)CCc2c1,training,0.0,Cc1cc(O)cc2c1O[C@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)CC2,training,,,
50,Ic1c2C(=O)N(C)Cc3c(C(=O)OCC)ncn3-c2ccc1,training,0.0,CCOC(=O)c1ncn2c1CN(C)C(=O)c1c(I)cccc1-2,training,,,
51,O=C(CCC1CCN(Cc2ccccc2)CC1)c1cc2NCCCCc2cc1,training,1.0,O=C(CCC1CCN(Cc2ccccc2)CC1)c1ccc2c(c1)NCCCC2,training,,,
52,O=C(OCCN(CC)CC)c1ccc(NCCCC)cc1,training,0.0,CCCCNc1ccc(C(=O)OCCN(CC)CC)cc1,training,,,
53,Clc1c([C@H]2S/C(=C(\C#N)/n3cncc3)/SC2)ccc(Cl)c1,training,1.0,N#C/C(=C1/SC[C@@H](c2ccc(Cl)cc2Cl)S1)n1ccnc1,training,,,
54,Ic1c(NC(=O)COCCOCCOCC(=O)Nc2c(I)c(C(=O)O)c(I)cc2I)c(I)cc(I)c1C(=O)O,training,0.0,O=C(COCCOCCOCC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I)Nc1c(I)cc(I)c(C(=O)O)c1I,training,,,
