,smiles,dataset,value,cano_smiles,dataset_generate,matched_smiles,matched_value,matched_cano_smiles
0,Clc1cc2C(c3ccccc3)=NCC(=S)N(C)c2cc1,training,0.0,CN1C(=S)CN=C(c2ccccc2)c2cc(Cl)ccc21,training,,,
1,O[C@]1(C)[C@]2(C)[C@H]([C@H]3[C@@H]([C@]4(C)[C@H](Cc5nonc5C4)CC3)CC2)CC1,training,0.0,C[C@]12Cc3nonc3C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,training,,,
2,S(SC(=C(N(C=O)Cc1c(N)nc(C)nc1)C)CCO)C(=C(N(C=O)Cc1c(N)nc(C)nc1)C)CCO,training,0.0,CC(=C(CCO)SSC(CCO)=C(C)N(C=O)Cc1cnc(C)nc1N)N(C=O)Cc1cnc(C)nc1N,training,,,
3,O([C@H]([C@H](OC(=O)CCC)COC(=O)CCC)[C@@H](OC(=O)CCC)CN1c2c(N=C3C(=O)NC(=O)N=C13)cc(C)c(C)c2)C(=O)CCC,training,0.0,CCCC(=O)OC[C@@H](OC(=O)CCC)[C@@H](OC(=O)CCC)[C@H](Cn1c2nc(=O)[nH]c(=O)c-2nc2cc(C)c(C)cc21)OC(=O)CCC,training,,,
4,O=C(OCCCC)C(OC(=O)C)(CC(=O)OCCCC)CC(=O)OCCCC,training,0.0,CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC,training,,,
5,O=C1O[Mg-2]2(OC(=O)c3c(O2)cccc3)Oc2c1cccc2,training,0.0,O=C1O[Mg-2]2(OC(=O)c3ccccc3O2)Oc2ccccc21,training,,,
6,O=C([C@@H](N)C)c1ccccc1,training,0.0,C[C@H](N)C(=O)c1ccccc1,training,,,
7,NC=1O[C@H]([C@@H](C)N=1)c1ccccc1,training,0.0,C[C@H]1N=C(N)O[C@H]1c1ccccc1,training,,,
8,O(C)c1c(OC)cc(CCN)cc1OC,training,0.0,COc1cc(CCN)cc(OC)c1OC,training,,,
9,O[C@H](C(C[C@@H](N(C)C)C)(c1ccccc1)c1ccccc1)CC,training,0.0,CC[C@H](O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1,training,,,
10,O=C(C([C@@H](CN1CCOCC1)C)(c1ccccc1)c1ccccc1)N1CCCC1,training,0.0,C[C@H](CN1CCOCC1)C(C(=O)N1CCCC1)(c1ccccc1)c1ccccc1,training,,,
11,O=[N+]([O-])c1cc2nc(Cc3ccc(OCC)cc3)n(CCN(CC)CC)c2cc1,training,0.0,CCOc1ccc(Cc2nc3cc([N+](=O)[O-])ccc3n2CCN(CC)CC)cc1,training,,,
12,O([C@H](C(C[C@@H](NC)C)(c1ccccc1)c1ccccc1)CC)C(=O)C,training,0.0,CC[C@H](OC(C)=O)C(C[C@H](C)NC)(c1ccccc1)c1ccccc1,training,,,
13,O=C(OC1(c2ccccc2)CCN(C)CC1)CC,training,0.0,CCC(=O)OC1(c2ccccc2)CCN(C)CC1,training,,,
14,Fc1ccc(N(C(=O)CC)C2CCN(CCc3ccccc3)CC2)cc1,training,0.0,CCC(=O)N(c1ccc(F)cc1)C1CCN(CCc2ccccc2)CC1,training,,,
15,O=C(N([C@H]1[C@@H](C)CN(CCc2ccccc2)CC1)c1ccccc1)CC,training,0.0,CCC(=O)N(c1ccccc1)[C@@H]1CCN(CCc2ccccc2)C[C@@H]1C,training,,,
16,O=C(N(c1ccccc1)C1CCN(Cc2ccccc2)CC1)CC,training,0.0,CCC(=O)N(c1ccccc1)C1CCN(Cc2ccccc2)CC1,training,,,
17,O(C)c1c2OCOc2cc(CC(N)C)c1,training,0.0,COc1cc(CC(C)N)cc2c1OCO2,training,,,
18,O=C(N(c1ccccc1)C1C(C)CN(CCc2sccc2)CC1)CC,training,0.0,CCC(=O)N(c1ccccc1)C1CCN(CCc2cccs2)CC1C,training,,,
19,O=C(N(c1ccccc1)C1CCN(Cc2sccc2)CC1)CC,training,0.0,CCC(=O)N(c1ccccc1)C1CCN(Cc2cccs2)CC1,training,,,
20,O=C(N(c1ccccc1)C1CCN(CCc2sccc2)CC1)CC,training,0.0,CCC(=O)N(c1ccccc1)C1CCN(CCc2cccs2)CC1,training,,,
21,O(C)c1c(C[C@H](N)C)cc(OC)c(C)c1,training,0.0,COc1cc(C[C@@H](C)N)c(OC)cc1C,training,,,
22,O(C)c1c(CC(N)C)cc(OC)cc1,training,0.0,COc1ccc(OC)c(CC(C)N)c1,training,,,
23,ONC(Cc1cc2OCOc2cc1)C,training,0.0,CC(Cc1ccc2c(c1)OCO2)NO,training,,,
24,N([C@H](Cc1ccccc1)C)CC,training,0.0,CCN[C@@H](C)Cc1ccccc1,training,,,
25,N#CC(CC(N(C)C)C)(c1ccccc1)c1ccccc1,training,0.0,CC(CC(C#N)(c1ccccc1)c1ccccc1)N(C)C,training,,,
26,O[C@@H]1[C@@H]2Oc3c(O)ccc4c3[C@@]32[C@H]([C@H](N(C)CC3)C4)C=C1,training,0.0,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,training,,,
27,O=C1C(CCC(C)C)(CC)C(=O)NC(=O)N1,training,0.0,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,training,,,
28,O=C1C(C(CCC)C)(CC=C)C(=O)NC(=O)N1,training,0.0,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,training,,,
29,O=C(N(CC)CC)[C@@H]1C=C2[C@H](N(C)C1)Cc1c3c([nH]c1)cccc23,training,0.0,CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,training,,,
30,Brc1c(OC)cc(C[C@H](N)C)c(OC)c1,training,0.0,COc1cc(C[C@@H](C)N)c(OC)cc1Br,training,,,
31,Oc1cc2[C@@]3(C)[C@@H](C)[C@H](N(CC=C(C)C)CC3)Cc2cc1,training,0.0,CC(C)=CCN1CC[C@@]2(C)c3cc(O)ccc3C[C@@H]1[C@@H]2C,training,,,
32,O=C(N(c1ccccc1)C1(COC)CCN(CCc2sccc2)CC1)CC,training,0.0,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,training,,,
33,NC1(c2ccccc2)CCCCC1,training,0.0,NC1(c2ccccc2)CCCCC1,training,,,
34,O(C)c1c2O[C@H]3[C@H](O)CC[C@H]4[C@@H]5N(C)CC[C@]34c2c(cc1)C5,training,0.0,COc1ccc2c3c1O[C@H]1[C@H](O)CC[C@H]4[C@@H](C2)N(C)CC[C@@]341,training,,,
35,N(C(Cc1cc2OCOc2cc1)C)CC,training,0.0,CCNC(C)Cc1ccc2c(c1)OCO2,training,,,
36,Oc1cc2c(CCN(C)C)c[nH]c2cc1,training,1.0,CN(C)CCc1c[nH]c2ccc(O)cc12,training,,,
37,N(CCc1c2c([nH]c1)cccc2)(CC)CC,training,1.0,CCN(CC)CCc1c[nH]c2ccccc12,training,,,
38,N(CCC)(CCC)CCc1c2c([nH]c1)cccc2,training,0.0,CCCN(CCC)CCc1c[nH]c2ccccc12,training,,,
39,O=C1N(C)C(=O)c2n(CCNC(Cc3ccccc3)C)cnc2N1C,training,0.0,CC(Cc1ccccc1)NCCn1cnc2c1c(=O)n(C)c(=O)n2C,training,,,
40,O(C)c1cc2c([nH]c3[C@H]4[C@@H]5[C@@H](CC)C[C@@H](CN5CCc23)C4)cc1,training,1.0,CC[C@H]1C[C@@H]2C[C@H]3c4[nH]c5ccc(OC)cc5c4CCN(C2)[C@@H]13,training,,,
41,P(=O)(Oc1c2c(CCN(C)C)c[nH]c2ccc1)(O)O,training,0.0,CN(C)CCc1c[nH]c2cccc(OP(=O)(O)O)c12,training,,,
42,O(C)[C@]12[C@@H]([C@](O)(C(C)(C)C)C)C[C@@]3([C@@H]4N(CC5CC5)CC[C@@]53[C@H]1Oc1c(O)ccc(c51)C4)CC2,training,1.0,CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,training,,,
