,smiles,dataset,value,cano_smiles,dataset_generate,matched_smiles,matched_value,matched_cano_smiles
0,O=C(O)[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,training,0.0,O=C(CO)[C@@H](O)[C@H](O)[C@@H](O)C(=O)O,training,,,
1,OC/C=C(/CCC=C(C)C)\C,training,0.0,CC(C)=CCC/C(C)=C/CO,training,,,
2,O=C(O)C(N)Cc1ccccc1,training,0.0,NC(Cc1ccccc1)C(=O)O,training,,,
3,O=S1(=O)OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2c1cccc2,training,0.0,O=S1(=O)OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,training,,,
4,O=C(Nc1cc2c(N)cc(C)nc2cc1)Nc1cc2c(N)cc(C)nc2cc1,training,1.0,Cc1cc(N)c2cc(NC(=O)Nc3ccc4nc(C)cc(N)c4c3)ccc2n1,training,,,
5,SC(CS)CO,training,0.0,OCC(S)CS,training,,,
6,S[C@@H]([C@H](S)C(=O)O)C(=O)O,training,0.0,O=C(O)[C@@H](S)[C@H](S)C(=O)O,training,,,
7,O=C(O)C(=O)CCC(=O)O,training,0.0,O=C(O)CCC(=O)C(=O)O,training,,,
8,P(=O)(O[C@@H]1[C@]2(C)[C@H]([C@H]3[C@@H](c4c(cc(O)cc4)CC3)CC2)CC1)(O)O,training,0.0,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OP(=O)(O)O,training,,,
9,O=C(OC)[C@H]1[C@@H](O)CC[C@@H]2[C@@H]1C[C@@H]1N(C2)CCc2c3c([nH]c12)cccc3,training,0.0,COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@@H]21,training,,,
10,S(=O)(=O)(N)c1ccc(C(=O)O)cc1,training,0.0,NS(=O)(=O)c1ccc(C(=O)O)cc1,training,,,
11,Clc1ccc(C(N2CCN(Cc3ccc(C(C)(C)C)cc3)CC2)c2ccccc2)cc1,training,1.0,CC(C)(C)c1ccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)cc1,training,,,
12,O([C@H]1[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O1)[C@H]1C[C@@H](O)[C@@]2(CO)[C@@](O)(C1)CC[C@H]1[C@]3(O)[C@@](C)([C@@H](C4=CC(=O)OC4)CC3)C[C@@H](O)[C@H]21,training,1.0,C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O,training,,,
13,O=C(O)CCc1[nH]c2c(n1)cccc2,training,0.0,O=C(O)CCc1nc2ccccc2[nH]1,training,,,
14,O=C(O)CC[C@@H](C)[C@@H]1[C@@]2(C)[C@@H](O)C[C@@H]3[C@]4(C)[C@H](C[C@@H](O)[C@H]3[C@@H]2CC1)C[C@H](O)CC4,training,0.0,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O,training,,,
15,Clc1cc(Sc2c(O)ccc(Cl)c2)c(O)cc1,training,1.0,Oc1ccc(Cl)cc1Sc1cc(Cl)ccc1O,training,,,
16,O=C(OC1C[C@@H]2N(C)[C@@H]([C@H]3O[C@@H]23)C1)[C@H](CO)c1ccccc1,training,0.0,CN1[C@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21,training,,,
17,O=C(OC1C[C@@H]2[N+]([O-])(C)[C@@H]([C@H]3O[C@@H]23)C1)[C@H](CO)c1ccccc1,training,0.0,C[N+]1([O-])[C@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21,training,,,
18,O=C(OC1C[C@@H]2[N+](C)(C)[C@@H]([C@H]3O[C@@H]23)C1)[C@H](CO)c1ccccc1,training,0.0,C[N+]1(C)[C@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21,training,,,
19,Brc1c(O)c(Br)cc(C(=O)c2c(CC)oc3c2cccc3)c1,training,1.0,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,training,,,
20,O=C(O)C1NCCC1,training,0.0,O=C(O)C1CCCN1,training,,,
21,O=C(N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12)Cc1ccccc1,training,0.0,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,training,,,
22,P(=O)(O)(O)CC(=O)O,training,0.0,O=C(O)CP(=O)(O)O,training,,,
23,O=C1N2[C@H]3[C@@H]4[C@@H](OCC=C5[C@@H]4C[C@@H]4N(C5)CC[C@]34c3c2cccc3)C1,training,0.0,O=C1C[C@@H]2OCC=C3CN4CC[C@]56c7ccccc7N1[C@H]5[C@H]2[C@H]3C[C@H]46,training,,,
24,N(c1c2c(ccc1)CCCC2)C1=NCCN1,training,0.0,c1cc2c(c(NC3=NCCN3)c1)CCCC2,training,,,
25,[SH0](=O)(C)c1cc2N(CCC3N(C)CCCC3)c3c(Sc2cc1)cccc3,training,0.0,CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)=O)cc21,training,,,
26,Clc1c(S(=O)(=O)N)cc2S(=O)(=O)NC(Cc3ccccc3)Nc2c1,training,0.0,NS(=O)(=O)c1cc2c(cc1Cl)NC(Cc1ccccc1)NS2(=O)=O,training,,,
27,Clc1cc2N(CCCN3CCC4(SCC(=O)N4)CC3)c3c(Sc2cc1)cccc3,training,1.0,O=C1CSC2(CCN(CCCN3c4ccccc4Sc4ccc(Cl)cc43)CC2)N1,training,,,
28,Clc1cc2NC(=O)N(C3CCN(CCCN4C(=O)Nc5c4cccc5)CC3)c2cc1,training,0.0,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,training,,,
29,Clc1c(-c2onc(-c3ccncc3)n2)cccc1,training,0.0,Clc1ccccc1-c1nc(-c2ccncc2)no1,training,,,
30,Clc1nc(SCC(=O)O)nc(Nc2c(C)c(C)ccc2)c1,training,0.0,Cc1cccc(Nc2cc(Cl)nc(SCC(=O)O)n2)c1C,training,,,
31,O=C(O)CCc1oc(c(-c2ccccc2)n1)-c1ccccc1,training,0.0,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,training,,,
32,O=C1n2c3c(c4c2[C@@H]2[C@](CC)(C1)CCCN2CC4)cccc3,training,0.0,CC[C@]12CCCN3CCc4c(n(c5ccccc45)C(=O)C1)[C@@H]32,training,,,
33,OC(CNC(C)(C)C)c1nc(CO)c(O)cc1,training,0.0,CC(C)(C)NCC(O)c1ccc(O)c(CO)n1,training,,,
34,O=C(O)CCCCCCCC(=O)O,training,0.0,O=C(O)CCCCCCCC(=O)O,training,,,
35,Nc1ccncc1,training,0.0,Nc1ccncc1,training,,,
36,NC12CC3CC(C1)CC(C2)C3,training,0.0,NC12CC3CC(CC(C3)C1)C2,training,,,
37,O=C(O)[C@@H](NC(=O)c1ccc(NCc2nc3c(N)nc(N)nc3nc2)cc1)CCC(=O)O,training,0.0,Nc1nc(N)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2n1,training,,,
38,O=C(O)CCCN,training,0.0,NCCCC(=O)O,training,,,
39,Nc1c2c(nc3c1CCCC3)cccc2,training,0.0,Nc1c2c(nc3ccccc13)CCCC2,training,,,
40,S(P(=O)(O)O)CCNCCCN,training,0.0,NCCCNCCSP(=O)(O)O,training,,,
41,S(=O)(=O)(N)c1sc(NC(=O)C)nn1,training,0.0,CC(=O)Nc1nnc(S(N)(=O)=O)s1,training,,,
42,O=C(OC)C1=CCCN(C)C1,training,0.0,COC(=O)C1=CCCN(C)C1,training,,,
43,O=C(O)CCCCCN,training,0.0,NCCCCCC(=O)O,training,,,
44,O=C(N1C(=O)CCC1)c1ccc(OC)cc1,training,0.0,COc1ccc(C(=O)N2CCCC2=O)cc1,training,,,
45,S(=O)(=O)(N)c1c(Oc2ccccc2)c(NCCCC)cc(C(=O)O)c1,training,0.0,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,training,,,
