,smiles,dataset,value,cano_smiles,dataset_generate,matched_smiles,matched_value,matched_cano_smiles
0,O=C(OCC(=O)C1(O)C2(C)C(C3C(C4(C)C(=CC(=O)C=C4)CC3)=CC2)CC1C)C,training,0.0,CC(=O)OCC(=O)C1(O)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3=CCC21C,training,,,
1,Brc1c(C(=O)c2c(O)cc(OC)cc2)cc(OCCC)cc1,training,0.0,CCCOc1ccc(Br)c(C(=O)c2ccc(OC)cc2O)c1,training,,,
2,O=CC(=CC)C,training,0.0,CC=C(C)C=O,training,,,
3,P(c1ccccc1)(c1ccccc1)(c1ccccc1)=C1C(=O)N(c2ccccc2)CC1,training,0.0,O=C1C(=P(c2ccccc2)(c2ccccc2)c2ccccc2)CCN1c1ccccc1,training,,,
4,S(CC(=O)OC1C2(C)C(C)CCC3(C(C)C(O)C(C=C)(C)C1)C2C(=O)CC3)C1CC2N(C)C(C1)CC2,training,0.0,C=CC1(C)CC(OC(=O)CSC2CC3CCC(C2)N3C)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,training,,,
5,O(CC)Cc1cc(OC)c(B(O)O)c(OC)c1,training,0.0,CCOCc1cc(OC)c(B(O)O)c(OC)c1,training,,,
6,O=C(CC(=O)c1ccc(CCCC)cc1)c1c(C)c(C)c(C)c(C)c1,training,0.0,CCCCc1ccc(C(=O)CC(=O)c2cc(C)c(C)c(C)c2C)cc1,training,,,
7,NN1NC=CC=C1,training,0.0,NN1C=CC=CN1,training,,,
8,O=C(C(C)(C)C)CC(=O)c1cc(OC)c(OC)c(OC)c1,training,0.0,COc1cc(C(=O)CC(=O)C(C)(C)C)cc(OC)c1OC,training,,,
9,S(=O)(=O)(C)c1ccc(CC(=O)c2ccc(OCC)cc2)cc1,training,0.0,CCOc1ccc(C(=O)Cc2ccc(S(C)(=O)=O)cc2)cc1,training,,,
10,FC1CN(C(OC(C)(C)C)=O)C(C(=O)O)C1,training,0.0,CC(C)(C)OC(=O)N1CC(F)CC1C(=O)O,training,,,
11,O=C(OC(C)(C)C)NC(Cc1ccc(OCc2nc(C)sc2)cc1)C1OC1,training,0.0,Cc1nc(COc2ccc(CC(NC(=O)OC(C)(C)C)C3CO3)cc2)cs1,training,,,
12,Fc1ccc(C(C(NC(=O)OC(C)(C)C)C(=O)N2C(C#N)CC(F)C2)c2ccc(F)cc2)cc1,training,0.0,CC(C)(C)OC(=O)NC(C(=O)N1CC(F)CC1C#N)C(c1ccc(F)cc1)c1ccc(F)cc1,training,,,
13,S=C1NC(=O)C2=C(N1)CCC2,training,0.0,O=c1[nH]c(=S)[nH]c2c1CCC2,training,,,
14,O=C(CC(=O)c1c(C)ccc(C)c1)c1c(C)ccc(C)c1,training,0.0,Cc1ccc(C)c(C(=O)CC(=O)c2cc(C)ccc2C)c1,training,,,
15,O=C1N(C)C(C)C(c2ccccc2)N1,training,0.0,CC1C(c2ccccc2)NC(=O)N1C,training,,,
16,O=C(C=Cc1c(C(=O)c2c(OCc3ccccc3)cc(OC)cc2)cc(OCCC)cc1)N1C(=O)N(C)C(C)C1c1ccccc1,training,0.0,CCCOc1ccc(C=CC(=O)N2C(=O)N(C)C(C)C2c2ccccc2)c(C(=O)c2ccc(OC)cc2OCc2ccccc2)c1,training,,,
17,O(C)c1c(OC2CCCC2)cc(C2(C#N)CCC(=O)CC2)cc1,training,0.0,COc1ccc(C2(C#N)CCC(=O)CC2)cc1OC1CCCC1,training,,,
18,FC(F)(F)c1cc(C(F)(F)F)cc(C(NC)C)c1,training,0.0,CNC(C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,training,,,
19,Fc1ccc(Cc2oc(C(=O)C)cc2)cc1,training,0.0,CC(=O)c1ccc(Cc2ccc(F)cc2)o1,training,,,
20,NC(CC)c1ccccc1,training,0.0,CCC(N)c1ccccc1,training,,,
21,S(=O)(=O)(C)c1ccc(-c2c(-c3ccc(OCC)cc3)nn3N=CC=Cc23)cc1,training,0.0,CCOc1ccc(-c2nn3ncccc3c2-c2ccc(S(C)(=O)=O)cc2)cc1,training,,,
22,O=C(CCCN1C(=O)c2c(C1=O)cccc2)C,training,0.0,CC(=O)CCCN1C(=O)c2ccccc2C1=O,training,,,
23,S(=O)(=O)(N(CC(O)C(NC(=O)OC1C2C(OC1)OCC2)Cc1ccc(OCc2nc(C)sc2)cc1)CC(C)C)c1cc2OCOc2cc1,training,0.0,Cc1nc(COc2ccc(CC(NC(=O)OC3COC4OCCC34)C(O)CN(CC(C)C)S(=O)(=O)c3ccc4c(c3)OCO4)cc2)cs1,training,,,
24,O=C(N(C(C)C)c1ccccc1)CN1C(=O)C(=NOCc2ccccc2)C(=O)N(c2ccccc2)c2c1cccc2,training,0.0,CC(C)N(C(=O)Cn1c(=O)c(=NOCc2ccccc2)c(=O)n(-c2ccccc2)c2ccccc21)c1ccccc1,training,,,
25,Nc1cc2nn(C)c(C)c2cc1,training,0.0,Cc1c2ccc(N)cc2nn1C,training,,,
26,FC(F)(F)c1cc(Oc2c(OC)cc(N)c3nc(OC)cc(C)c23)ccc1,training,0.0,COc1cc(C)c2c(Oc3cccc(C(F)(F)F)c3)c(OC)cc(N)c2n1,training,,,
27,O=C(O)C(=NOCc1ccccc1)C(=O)O,training,0.0,O=C(O)C(=NOCc1ccccc1)C(=O)O,training,,,
28,O=C(C)C1C(=O)CCCC1,training,0.0,CC(=O)C1CCCCC1=O,training,,,
29,S(=O)(=O)(CCN)C,training,0.0,CS(=O)(=O)CCN,training,,,
30,Brc1c(C(=O)O)cc(OCCC)cc1,training,0.0,CCCOc1ccc(Br)c(C(=O)O)c1,training,,,
31,O=C(OCC(O)C)C(=C)C,training,0.0,C=C(C)C(=O)OCC(C)O,training,,,
32,O=C(C(N1C(=O)C(C2Cc3c(cccc3)C2)NC(=O)C1C(CC)C)c1nc(C)oc1)N1CCOCC1,training,0.0,CCC(C)C1C(=O)NC(C2Cc3ccccc3C2)C(=O)N1C(C(=O)N1CCOCC1)c1coc(C)n1,training,,,
33,BrCCCCCCOCCCCc1cc(S(=O)(=O)N)ccc1,training,0.0,NS(=O)(=O)c1cccc(CCCCOCCCCCCBr)c1,training,,,
34,O=C(O)c1c(O)c(-c2ccccc2)nc2c1cccc2,training,0.0,O=C(O)c1c(O)c(-c2ccccc2)nc2ccccc12,training,,,
35,O=Cc1cc(O)c(OC)cc1,training,0.0,COc1ccc(C=O)cc1O,training,,,
36,C(C)(C)C1C=CC(C)CC1,training,0.0,CC1C=CC(C(C)C)CC1,training,,,
37,O=C(O)c1cc(OCCC)ccc1,training,0.0,CCCOc1cccc(C(=O)O)c1,training,,,
38,FC(F)(F)c1ccc(-c2ccc(C=O)cc2)cc1,training,0.0,O=Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1,training,,,
39,O=C(O)C1CCC(C#N)(c2cc(OC3CCCC3)c(OC)cc2)CC1,training,0.0,COc1ccc(C2(C#N)CCC(C(=O)O)CC2)cc1OC1CCCC1,training,,,
40,FC1CC(C(=O)N)NC1,training,0.0,NC(=O)C1CC(F)CN1,training,,,
41,O=C(O)c1ccc(O)cc1,training,0.0,O=C(O)c1ccc(O)cc1,training,,,
42,C(=C)(C)C1CC(=C)C(C)CC1,training,0.0,C=C1CC(C(=C)C)CCC1C,training,,,
43,C(C)(C)C1CCC(=C)CC1,training,0.0,C=C1CCC(C(C)C)CC1,training,,,
44,S(=O)(=O)(N)c1c(C)ccc(Nc2nc(N(C)c3cc4nn(C)c(C)c4cc3)ccn2)c1,training,0.0,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,training,,,
45,S(=O)(=O)(N)c1c(C)ccc(N)c1,training,0.0,Cc1ccc(N)cc1S(N)(=O)=O,training,,,
46,Clc1c(OC)ccc2nc(OC)cc(C)c12,training,0.0,COc1cc(C)c2c(Cl)c(OC)ccc2n1,training,,,
47,FC(F)(F)c1c(C)cc2c(NCC2)c1,training,0.0,Cc1cc2c(cc1C(F)(F)F)NCC2,training,,,
48,O=C(OC1C2(C)C(C)CCC3(C(C)C(O)C(C=C)(C)C1)C2C(=O)CC3)CO,training,0.0,C=CC1(C)CC(OC(=O)CO)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,training,,,
49,O=C1Oc2c(cc(C)cc2)C=C1,training,0.0,Cc1ccc2oc(=O)ccc2c1,training,,,
50,O=C(O)CCCCC(=O)O,training,0.0,O=C(O)CCCCC(=O)O,training,,,
51,O=C(O)c1c(N)cccc1,training,0.0,Nc1ccccc1C(=O)O,training,,,
52,Clc1nc(NC(C)C)nc(NCC)n1,training,0.0,CCNc1nc(Cl)nc(NC(C)C)n1,training,,,
53,O=Cc1ccccc1,training,0.0,O=Cc1ccccc1,training,,,
54,O=C(OCC)c1ccc(N)cc1,training,0.0,CCOC(=O)c1ccc(N)cc1,training,,,
55,BrCCCCCCCCC,training,0.0,CCCCCCCCCBr,training,,,
56,C(C)(C)C1=CCC(=C)CC1,training,0.0,C=C1CC=C(C(C)C)CC1,training,,,
57,OCCCC,training,0.0,CCCCO,training,,,
58,Clc1ccccc1,training,0.0,Clc1ccccc1,training,,,
59,ClCCCCCCCCC,training,0.0,CCCCCCCCCCl,training,,,
60,O(C)C1(C)C(OC2C(O)C(N(C)C)CC(C)O2)C(C)C(OC2OC(C)C(O)C(OC)(C)C2)C(C)C(=O)OC(CC)C(O)(C)C(O)C(C)C(=O)C(C)C1,training,0.0,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(OC)CC(C)C(=O)C(C)C(O)C1(C)O,training,,,
61,O=C1Oc2c(cccc2)C=C1,training,0.0,O=c1ccc2ccccc2o1,training,,,
62,O=C1N=C(N)C=CN1,training,0.0,Nc1cc[nH]c(=O)n1,training,,,
63,O=C(OCC)c1c(C(=O)OCC)cccc1,training,0.0,CCOC(=O)c1ccccc1C(=O)OCC,training,,,
64,O=C(OC)CCC(C#N)(CCC(=O)OC)c1cc(OC2CCCC2)c(OC)cc1,training,0.0,COC(=O)CCC(C#N)(CCC(=O)OC)c1ccc(OC)c(OC2CCCC2)c1,training,,,
65,O=C(OC)OC,training,0.0,COC(=O)OC,training,,,
66,O(N=C(C(=O)OCC)c1nc(NC(c2ccccc2)(c2ccccc2)c2ccccc2)sc1)C(C(=O)OC(C)(C)C)(C)C,training,0.0,CCOC(=O)C(=NOC(C)(C)C(=O)OC(C)(C)C)c1csc(NC(c2ccccc2)(c2ccccc2)c2ccccc2)n1,training,,,
67,O=C(OCC)c1[nH]cnn1,training,0.0,CCOC(=O)c1nnc[nH]1,training,,,
68,Clc1c(F)cc(C(=O)CC(=O)OCC)c(Cl)n1,training,0.0,CCOC(=O)CC(=O)c1cc(F)c(Cl)nc1Cl,training,,,
69,O=C(OCC)CC(=O)c1ccccc1,training,0.0,CCOC(=O)CC(=O)c1ccccc1,training,,,
70,O=C(C(=O)c1occc1)c1occc1,training,0.0,O=C(C(=O)c1ccco1)c1ccco1,training,,,
71,OC(CO)CO,training,0.0,OCC(O)CO,training,,,
72,C(CCC)CC,training,0.0,CCCCCC,training,,,
73,ICCCCCC,training,0.0,CCCCCCI,training,,,
74,OC(C)C,training,0.0,CC(C)O,training,,,
75,N#CN(C#N)C(C)C,training,0.0,CC(C)N(C#N)C#N,training,,,
76,O(C(C)C)c1c(O)ccc(CC=C)c1,training,0.0,C=CCc1ccc(O)c(OC(C)C)c1,training,,,
77,O(C1C(O)C(OC2C(O)C(N)C(O)C(CO)O2)C(N)CC1N)C1C(O)C(O)C(O)C(CN)O1,training,0.0,NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(O)C(O)C1O,training,,,
78,O=C(O)C(O)C,training,0.0,CC(O)C(=O)O,training,,,
79,Clc1cc(C(=O)CC)ccc1,training,0.0,CCC(=O)c1cccc(Cl)c1,training,,,
80,O=C(OC)c1c(O)cccc1,training,0.0,COC(=O)c1ccccc1O,training,,,
81,Clc1nc(Nc2cc3nn(C)c(C)c3cc2)ccn1,training,0.0,Cc1c2ccc(Nc3ccnc(Cl)n3)cc2nn1C,training,,,
82,Clc1nc(N(C)c2cc3nn(C)c(C)c3cc2)ccn1,training,0.0,Cc1c2ccc(N(C)c3ccnc(Cl)n3)cc2nn1C,training,,,
83,O=C(NCC1CCN(CCCC)CC1)c1c2c(n3c1OCCC3)cccc2,training,0.0,CCCCN1CCC(CNC(=O)c2c3n(c4ccccc24)CCCO3)CC1,training,,,
84,Fc1ccc(C(C(NC(=O)OC(C)(C)C)C(=O)O)c2ccc(F)cc2)cc1,training,0.0,CC(C)(C)OC(=O)NC(C(=O)O)C(c1ccc(F)cc1)c1ccc(F)cc1,training,,,
85,O=C(O)CCCCCCC,training,0.0,CCCCCCCC(=O)O,training,,,
86,Clc1c(Oc2cc(OCC)c([N+](=O)[O-])cc2)ccc(C(F)(F)F)c1,training,0.0,CCOc1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],training,,,
