smiles,group,CYP1A2-sub
O=C(O)C(NC)=C,training,0.0
P(=O)(O[C@H]1[C@H](O)C(O)[C@H](O)[C@@H](OP(=O)(O)O)C1O)(O)O,training,0.0
Clc1sc(-c2[nH]nc(S(=O)(=O)N[C@@H]3C(=O)N([C@H](C(=O)N4CCOCC4)C)CC3)n2)cc1,training,0.0
O=C(Nc1ncccc1)Nc1c2[C@@H]3N(C(=O)c2ccc1)CCC3,training,0.0
N1(C2CCNCC2)CCCCC1,training,0.0
[C@H]1(c2ccccc2)OC1,training,0.0
S(=O)(=O)(Nc1cc2c([nH]c(C(=O)N3CCN(c4c(NC(C)C)cccn4)CC3)c2)cc1)C,training,0.0
O([C@H](C(C[C@H](N(C)C)C)(c1ccccc1)c1ccccc1)CC)C(=O)C,training,0.0
O=C(N[C@H]([C@@H](O)C[C@@H](NC(=O)c1ccc(N)cc1)CC(C)C)Cc1ccccc1)COc1c(C)cccc1C,training,0.0
P(=O)(O)(O)[C@@H](N)CC(C)C,training,0.0
O(CCOCCO)CCO,training,0.0
Oc1c2O[C@@H]3[C@]45[C@H]([C@H](N(C)CC4)Cc(c25)cc1)CCC3,training,0.0
O=C(NO)c1c(O)cccc1,training,0.0
S(CC[C@@H](NC(=O)CCC(=O)O)C(=O)O)C,training,0.0
Fc1c(COc2cc3c(cc(CC4C(=O)NC(=O)S4)cc3)cc2)cccc1,training,0.0
Clc1c(C(=O)NC(=O)Nc2c(C)c(C)c(OCCCC(=O)O)cc2)ccc(Cl)c1,training,0.0
Clc1c(Nc2nc(Nc3ccc(OC[C@H](O)CN(C)C)cc3)ncc2)cc(Cl)cc1,training,0.0
O=C(N[C@@H]1[C@@H](C(=O)O)O[C@@H](N2C(=O)N[C@@](O)(N)C=C2)C=C1)C[C@@H](N)CCN(C(=N)N)C,training,0.0
O=C(O)C(=O)Cc1ccc(O)cc1,training,0.0
O1CCCCC1,training,0.0
N(CC(CC1c2c(cccc2)CCc2c1cccc2)C)(C)C,training,0.0
O=C(O)C(=O)/C=C/c1c(O)cccc1,training,0.0
