smiles,group,CYP3A4-inh
Fc1cc(NC(=O)N2CC3(CN(C(=O)c4n(C)ccc4)CCC3)CC2)ccc1,training,1.0
S(CC(=O)Nc1sc(C)nn1)c1c2c(n(CCNC(=O)c3c(OC)cccc3)c1)cccc2,training,1.0
Nc1ccc(Cc2[nH]c3c(n2)ccc(C)c3)cc1,training,1.0
O=C(NCCc1cc(OC)c(OC)cc1)Cn1c2C(=O)N(C)C(=O)N(C)c2nc1,training,1.0
Brc1cc(C(=O)Nc2c(N3CCN(C(=O)c4ccccc4)CC3)cccc2)c(Cl)cc1,training,1.0
S(Cc1n(-c2c(N)non2)nnc1C(=O)OC)c1oc2c(n1)cccc2,training,1.0
O(Cc1ccccc1)c1nc2N(Cc3cc(OC)ccc3)C(=O)C=Nc2cn1,training,1.0
Clc1ccc(SCC(=O)Nc2ccc(N3CCN(C(=O)c4ccc(Cl)cc4)CC3)cc2)cc1,training,1.0
S(=O)(=O)(N1CCC2(CN(Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)CCC2)CC1)c1ccccc1,training,1.0
O=C(N1CCCC1)c1n(Cc2ncccc2)c2c(c1)C1C(C(=O)OC)(Cc3ccc(OC)cc3)N(C(=O)c3ccccc3)CC1C2,training,1.0
N(Cc1cnccc1)c1nc(-c2c(C)cccc2)ncc1,training,1.0
Clc1c(CN(C(=O)c2oc(CN3CCOCC3)cc2)CC(=O)NCC2OCCC2)cccc1,training,1.0
O=C(N1CC2(CN(Cc3sccn3)CC2)CCC1)c1ccc(OC)cc1,training,1.0
O(C)c1cc(CN2C(=O)C(c3ccc(OC)cc3)=Nc3c2nc(N2CCNCC2)nc3)ccc1,training,1.0
O(N=C(CCN1c2c(nc(C)c(C)c2)CCCC1)C)CC1C(Oc2ccc(OC)cc2)C=CC(c2ccccc2)O1,training,1.0
O=C(NCCc1ccc(OC)cc1)CCCCCN1C(=O)c2c(C1=O)cccc2,training,1.0
S=C1N(NC(=O)Nc2ccccc2)C(N(O)C(=O)Nc2ccccc2)C(C)(C)S1,training,1.0
Clc1c(Nc2scc(-c3c(C)nc(NC(=O)c4occc4)s3)n2)ccc(Cl)c1,training,1.0
O=C(NC(C)(C)C)C(CN1CCN(c2c(OC)cccc2)CC1)c1ccccc1,training,1.0
Clc1c(Nc2scc(-c3c(C)nc(NC(=O)c4ccccc4)s3)n2)ccc(Cl)c1,training,1.0
O=[N+]([O-])c1cc([N+](=O)[O-])cc(C(=O)Nc2cc(C3=NOC4(CN(C(=O)c5ccccc5)C(C(=O)NC5(C(=O)N)CC5)C4)C3)ccc2)c1,training,1.0
S=C1N(CCCCC(=O)NCc2occc2)C(=O)c2sccc2N1,training,1.0
Brc1c(OC)c(OCC)cc(CNCc2sccc2)c1,training,1.0
Clc1ccc(S(=O)(=O)Oc2ccc(C3C=4C(=O)CCCC=4OC4=C3C(=O)CCC4)cc2)cc1,training,1.0
S(CCN)c1sc2c(n1)cccc2,training,1.0
S(=O)(=O)(NCC(=O)N(CC(=O)NCc1occc1)Cc1sccc1)c1ccc(C)cc1,training,1.0
O=C(Nc1ccc(OCC)cc1)Cn1c(N)c(C(=O)NCc2c(OC)cccc2)nn1,training,1.0
O=C1N(N(C)C(C)=C1NC1=C(CC)C(C)=C(C#N)c2n1c1c(n2)cccc1)c1ccccc1,training,1.0
Fc1cc(C(=O)N2CCC3(CN(C(=O)Nc4cc(C#N)ccc4)CCC3)CC2)ccc1,training,1.0
