smiles,group,FDAMDD
Clc1ccc(C(=O)n2c(C)c(CC(=O)OCC(=O)O)c3c2ccc(OC)c3)cc1,training,1.0
S(=O)([O-])(=NC(=O)C)c1c(S(=O)(=O)c2ccc(N)cc2)ccc(N)c1,training,0.0
SC[C@H](NC(=O)C)C(=O)O,training,0.0
O=C(CO)[C@@H]1[C@]2(C=O)[C@H]([C@H]3[C@H]([C@@H](O)C2)[C@]2(C)C(=CC(=O)CC2)CC3)CC1,training,1.0
O=C(N(c1ccccc1)C1(COC)CCN(CCN2C(=O)N(CC)N=N2)CC1)CC,training,1.0
S(P(=O)(O)O)CCNCCCN,training,0.0
O=C1C(CC)(c2ccc(N)cc2)CCC(=O)N1,training,0.0
S=C(N/N=C/c1ccc(NC(=O)C)cc1)N,training,1.0
O=C(O)c1c(N)nc2Oc3c(C(=O)c2c1)cc(C(C)C)cc3,training,1.0
S(=O)(=O)(Nc1cc(OC)c(Nc2c3c(nc4c2cccc4)cccc3)cc1)C,training,1.0
O(C)c1ccc(C2C(=O)c3c(C2=O)cccc3)cc1,training,0.0
O=C(OC1C[C@@H]2[N+](C)(C)[C@H](C1)CC2)C(CCC)CCC,training,1.0
N(Cc1ccccc1)(CC1=NCCN1)c1ccccc1,training,0.0
S(CC(O)CNC(C)(C)C)c1scc(-c2sc(C(=O)N)cc2)n1,training,1.0
O=C(Oc1c(C(=O)O)cccc1)C,training,0.0
O=C(N(C)[C@@H]1[C@@H](OC)[C@@H](O)[C@H](N)[C@@H](O[C@@H]2[C@H](N)CC[C@@H]([C@@H](N)C)O2)[C@@H]1O)CN,training,0.0
O=C(OC[C@@H]1[C@@H](OC(=O)C)[C@@H](OC(=O)C)[C@H](N2C(=O)NC(=O)C=N2)O1)C,training,0.0
O=C(N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12)[C@@H](NC(=O)N1C(=O)NCC1)c1ccccc1,training,0.0
F[C@]12[C@@H](O)C[C@]3(C)[C@@](OC(=O)CC)(C(=O)COC(=O)CC)[C@@H](C)C[C@H]3[C@@H]1CCC=1[C@]2(C)C=CC(=O)C=1,training,1.0
Brc1c(N)c(CN(C)C2CCCCC2)cc(Br)c1,training,1.0
Brc1ccc(C2(O)CCN(CCCC(=O)c3ccc(F)cc3)CC2)cc1,training,1.0
O(CC(O)CNC(C)(C)C)c1c2c(C(=O)CCC2)ccc1,training,1.0
O=C(Nc1c(C)cccc1C)C1N(CCCC)CCCC1,training,0.0
O(C)C12[C@@H]([C@](O)(C(C)(C)C)C)C[C@@]3([C@@H]4N(CC5CC5)CC[C@@]53[C@H]1Oc1c(O)ccc(c51)C4)CC2,training,1.0
S(=O)(=O)(OCCCCOS(=O)(=O)C)C,training,1.0
Clc1c(S(=O)(=O)N)cc2S(=O)(=O)NC(CC(C)C)Nc2c1,training,1.0
O=C1C(C)=C(/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C2=C(C)C(=O)CCC2(C)C)\C)\C)/C)/C)C(C)(C)CC1,training,0.0
