smiles,group,NR-Aromatase
O=C(O)[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,training,0.0
S(C#N)CC(=O)O[C@H]1[C@@]2(C)C(C)(C)[C@@H](C1)CC2,training,0.0
OC/C=C(/CCC=C(C)C)\C,training,0.0
O=S1(=O)OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2c1cccc2,training,0.0
SC(CS)CO,training,0.0
S[C@@H]([C@H](S)C(=O)O)C(=O)O,training,0.0
P(=O)(O[C@@H]1[C@]2(C)[C@H]([C@H]3[C@@H](c4c(cc(O)cc4)CC3)CC2)CC1)(O)O,training,0.0
OCc1c(CN)c(O)c(C)nc1,training,0.0
S(=O)(=O)(N)c1ccc(C(=O)O)cc1,training,0.0
OC(CCN1CCCCC1)(c1ccccc1)c1ccccc1,training,0.0
Clc1ccc(C(N2CCN(Cc3ccc(C(C)(C)C)cc3)CC2)c2ccccc2)cc1,training,1.0
O([C@H]1[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O1)[C@H]1C[C@@H](O)[C@@]2(CO)[C@@](O)(C1)CC[C@H]1[C@]3(O)[C@@](C)([C@@H](C4=CC(=O)OC4)CC3)C[C@@H](O)[C@H]21,training,1.0
O=C(O)CC[C@@H](C)[C@@H]1[C@@]2(C)[C@@H](O)C[C@@H]3[C@]4(C)[C@H](C[C@@H](O)[C@H]3[C@@H]2CC1)C[C@H](O)CC4,training,0.0
S(=O)(=O)(Nc1nc2c(nc1)cccc2)c1ccc(N)cc1,training,0.0
O(C(c1ccccc1)c1ccccc1)C1C[C@@H]2N(C)[C@H](C1)CC2,training,0.0
O=C(OC1C[C@@H]2N(C)[C@H](C1)CC2)C(O)c1ccccc1,training,0.0
O=C(OC1C[C@@H]2N(C)[C@@H]([C@H]3O[C@@H]23)C1)[C@H](CO)c1ccccc1,training,0.0
O=C(OC1C[C@@H]2[N+]([O-])(C)[C@@H]([C@H]3O[C@@H]23)C1)[C@H](CO)c1ccccc1,training,0.0
O=C(OC1C[C@@H]2[N+](C)(C)[C@@H]([C@H]3O[C@@H]23)C1)[C@H](CO)c1ccccc1,training,0.0
O=C(OC1C[C@@H]2[N+](C)(C)[C@H](C1)CC2)C(CO)c1ccccc1,training,0.0
N(CCC=C1c2c(cccc2)C=Cc2c1cccc2)(C)C,training,0.0
Brc1c(O)c(Br)cc(C(=O)c2c(CC)oc3c2cccc3)c1,training,0.0
O=C(O)C1NCCC1,training,0.0
N(CCCN1c2c(C(C)(C)c3c1cccc3)cccc2)(C)C,training,0.0
P(=O)(O)(O)CC(=O)O,training,0.0
O=C1N2[C@H]3[C@@H]4[C@@H](OCC=C5[C@@H]4C[C@@H]4N(C5)CC[C@]34c3c2cccc3)C1,training,0.0
C(N1c2c(Sc3c1cccc3)cccc2)C1CN(C)CC1,training,0.0
N(c1c2c(ccc1)CCCC2)C1=NCCN1,training,0.0
Clc1c(S(=O)(=O)N)cc2S(=O)(=O)NC(Cc3ccccc3)Nc2c1,training,0.0
Clc1nc(SCC(=O)O)nc(Nc2c(C)c(C)ccc2)c1,training,0.0
O=C(O)CCc1oc(c(-c2ccccc2)n1)-c1ccccc1,training,0.0
O=C1n2c3c(c4c2[C@@H]2[C@](CC)(C1)CCCN2CC4)cccc3,training,1.0
OC(CNC(C)(C)C)c1nc(CO)c(O)cc1,training,0.0
O=C1N([C@@H]2O[C@H](CO)[C@@H](N=[N+]=[N-])C2)C=C(C)C(=O)N1,training,0.0
O=C(O)CCCCCCCC(=O)O,training,0.0
Nc1ccncc1,training,0.0
Clc1ccc(CC(OC(=O)C(N)C)(C)C)cc1,training,0.0
S(=O)(=O)(NC(=O)NC1CCCCC1)c1ccc(C(=O)C)cc1,training,0.0
NC12CC3CC(C1)CC(C2)C3,training,0.0
O=C(O)[C@@H](NC(=O)c1ccc(NCc2nc3c(N)nc(N)nc3nc2)cc1)CCC(=O)O,training,0.0
O=C(O)CCCN,training,0.0
O(CCO)Cn1c2N=C(N)NC(=O)c2nc1,training,0.0
S(P(=O)(O)O)CCNCCCN,training,0.0
S(=O)(=O)(N)c1sc(NC(=O)C)nn1,training,0.0
O=C(OC)C1=CCCN(C)C1,training,0.0
Clc1c(N)nc(N)c(C(=O)NC(=N)N)n1,training,0.0
O=C(O)CCCCCN,training,0.0
Oc1ncnc2[nH]ncc12,training,0.0
Ic1c(OCCN(CC)CC)c(I)cc(C(=O)c2c(CCCC)oc3c2cccc3)c1,training,0.0
O(CC(O)CNC(C)C)c1c(CC=C)cccc1,training,0.0
O=C(N1C(=O)CCC1)c1ccc(OC)cc1,training,0.0
Clc1ccc(C2S(=O)(=O)CCC(=O)N2C)cc1,training,0.0
O(CC1=NCCN1)c1c(C2CC2)cccc1,training,0.0
O(CCCCc1n(C2CCCCC2)nnn1)c1cc2c(NC(=O)CC2)cc1,training,0.0
ClCCN(CCCl)P1(=O)OCCCN1,training,0.0
