,smiles,value,cano_smiles
0,C1=CC(=C(C=C1C(O)P(=O)(CCC(C(=O)O)N)O)OCC(=O)O)OCC(=O)O,-3.397940008672037,NC(CCP(=O)(O)C(O)c1ccc(OCC(=O)O)c(OCC(=O)O)c1)C(=O)O
1,C1C2C=CC1C3C2C(=O)N(C3=O)C4=C(C=C(C=C4)NC(=O)C5=CC=CC=N5)Cl,-2.988070435345384,O=C(Nc1ccc(N2C(=O)C3C4C=CC(C4)C3C2=O)c(Cl)c1)c1ccccn1
2,COC1=C(C=CC(=C1)NC(=O)C2CCCCC2)NC(=O)C3=CC=CC=C3Cl,-3.1818435879447726,COc1cc(NC(=O)C2CCCCC2)ccc1NC(=O)c1ccccc1Cl
3,C(CP(=O)(CC(C(=O)O)Cl)O)C(C(=O)O)N,-3.380211241711606,NC(CCP(=O)(O)CC(Cl)C(=O)O)C(=O)O
4,C1C(C1P(=O)(O)O)C(C(=O)O)N,-3.9731278535996983,NC(C(=O)O)C1CC1P(=O)(O)O
5,C1=CC(=CC(=C1)OCC(=O)O)C(O)P(=O)(CCC(C(=O)O)N)O,-3.795880017344075,NC(CCP(=O)(O)C(O)c1cccc(OCC(=O)O)c1)C(=O)O
6,C1=CC=NC(=C1)C(=O)NC2=CC(=C(C=C2)N3C(=O)C4=C(C3=O)C(=CC=C4)Cl)Cl,-1.54282542695918,O=C(Nc1ccc(N2C(=O)c3cccc(Cl)c3C2=O)c(Cl)c1)c1ccccn1
7,C1C2C=CC1C3C2C(=O)N(C3=O)C4=C(C=C(C=C4)NC(=O)C5=CC=CC=N5)Cl,-2.575187844927661,O=C(Nc1ccc(N2C(=O)C3C4C=CC(C4)C3C2=O)c(Cl)c1)c1ccccn1
8,COC1=CC(=CC(=C1OCC(=O)O)[N+](=O)[O-])C(O)P(=O)(CCC(C(=O)O)N)O,-2.4471580313422194,COc1cc(C(O)P(=O)(O)CCC(N)C(=O)O)cc([N+](=O)[O-])c1OCC(=O)O
9,C(CC(=O)O)C(C(=O)O)N,-3.4593924877592315,NC(CCC(=O)O)C(=O)O
10,C1=CC(=CC(=C1)OCC(=O)O)C(O)P(=O)(CCC(C(=O)O)N)O,-3.795880017344075,NC(CCP(=O)(O)C(O)c1cccc(OCC(=O)O)c1)C(=O)O
11,C1=CC=NC(=C1)C(=O)NC2=CC(=C(C=C2)F)C(F)(F)F,-3.0,O=C(Nc1ccc(F)c(C(F)(F)F)c1)c1ccccn1
12,C1C(C1(CC(C(=O)O)N)C(=O)O)C(=O)O,-3.3944516808262164,NC(CC1(C(=O)O)CC1C(=O)O)C(=O)O
13,C1=CC=NC(=C1)C(=O)NC2=CC(=C(C=C2)NC(=O)C3=C(C=C(C=C3)F)Cl)Cl,-2.227886704613673,O=C(Nc1ccc(NC(=O)c2ccc(F)cc2Cl)c(Cl)c1)c1ccccn1
14,COC1=C(C(=CC(=C1)CP(=O)(CCC(C(=O)O)N)O)Cl)OCC(=O)O,-3.792391689498254,COc1cc(CP(=O)(O)CCC(N)C(=O)O)cc(Cl)c1OCC(=O)O
15,COC1=C(C=CC(=C1)CP(=O)(CCC(C(=O)O)N)O)OCC(=O)O,-3.869818207979328,COc1cc(CP(=O)(O)CCC(N)C(=O)O)ccc1OCC(=O)O
16,CC1(CC(=O)N(C1=O)C2=C(C=C(C=C2)NC(=O)C3=CC=CC=N3)Cl)C,-3.3654879848909,CC1(C)CC(=O)N(c2ccc(NC(=O)c3ccccn3)cc2Cl)C1=O
17,CCC1=CN=C(N=C1)OC2=C(C=C(C=C2)NC(=O)C3=C(C=CC=N3)N)Cl,-1.670245853074124,CCc1cnc(Oc2ccc(NC(=O)c3ncccc3N)cc2Cl)nc1
