,smiles,value,cano_smiles
0,CC1=CC(=C(C=C1)N2N=CC=N2)C(=O)N3CCCC3C4=NC(=NO4)C5=C(C=CC=C5F)C,-1.6020599913279625,Cc1ccc(-n2nccn2)c(C(=O)N2CCCC2c2nc(-c3c(C)cccc3F)no2)c1
1,COC1=C(C=CC=C1F)C2=NOC(=N2)C3CCCN3C(=O)C4=C(C=CC(=C4)Cl)N5N=CC=N5,-0.9542425094393248,COc1c(F)cccc1-c1noc(C2CCCN2C(=O)c2cc(Cl)ccc2-n2nccn2)n1
2,CC1=CC=CC(=C1)C2=C(N=CO2)C(=O)NC3=CN(N=C3)CCN4C=CC5=C4C=CC(=C5)Cl,-2.7050079593333356,Cc1cccc(-c2ocnc2C(=O)Nc2cnn(CCn3ccc4cc(Cl)ccc43)c2)c1
3,CC1CC(N(C1=O)CC2=CC3=C(C=C2)OC4=CC=CC=C43)C5=C(C=CC=C5F)OC,-0.7781512503836436,COc1cccc(F)c1C1CC(C)C(=O)N1Cc1ccc2oc3ccccc3c2c1
4,CNC(=O)C(C1=CC=CC=C1)N2CCN3C(=NC(=C3C2CCC4=CC(=CC=C4)C(F)(F)F)Cl)C5CC5,-0.8450980400142568,CNC(=O)C(c1ccccc1)N1CCn2c(C3CC3)nc(Cl)c2C1CCc1cccc(C(F)(F)F)c1
5,CC1CN(C(CO1)CC2=CC(=CC=C2)N3N=CC=N3)C(=O)C4=C(C=CC(=C4)Cl)N5N=CC=N5,-1.9822712330395684,CC1CN(C(=O)c2cc(Cl)ccc2-n2nccn2)C(Cc2cccc(-n3nccn3)c2)CO1
6,CCC1=NC(=C2N1CCN(C2CCC3=CC=C(C=C3)C(F)(F)F)C(C4=CC=CC=C4)C(=O)NC)OCC,-3.4387005329007363,CCOc1nc(CC)n2c1C(CCc1ccc(C(F)(F)F)cc1)N(C(C(=O)NC)c1ccccc1)CC2
7,CC1=CC(=C(C=C1)C(=O)N2CCCC2C3=CN=C(N3)C4=C(C(=CC=C4)Cl)C)N5N=CC=N5,-2.5646660642520893,Cc1ccc(C(=O)N2CCCC2c2cnc(-c3cccc(Cl)c3C)[nH]2)c(-n2nccn2)c1
8,CC1CCC(CN1C(=O)C2=C(C(=CC=C2)F)N3N=CC=N3)OC4=NC=CC(=C4C)C#N,-1.0791812460476249,Cc1c(C#N)ccnc1OC1CCC(C)N(C(=O)c2cccc(F)c2-n2nccn2)C1
9,CC1=C(C=C(C(=C1)C(=O)N2CCCC2C3=NC(=NN3)C4=C(C(=CC=C4)Cl)OC)N5N=CC=N5)C,-0.4771212547196624,COc1c(Cl)cccc1-c1n[nH]c(C2CCCN2C(=O)c2cc(C)c(C)cc2-n2nccn2)n1
10,CC1=CC=CC(=C1)C2=C(N=CO2)C(=O)NC3=CN(N=C3)CCNC4=NC=C(C=N4)C,-3.4166405073382813,Cc1cnc(NCCn2cc(NC(=O)c3ncoc3-c3cccc(C)c3)cn2)nc1
12,COC1=C(C(=CC=C1)OC)C2CCC(=O)N2CC3=CC4=C(C=C3)OC5=CC=CC=C54,-1.3010299956639813,COc1cccc(OC)c1C1CCC(=O)N1Cc1ccc2oc3ccccc3c2c1
13,CC1=NC(=CS1)C2=CC(=CC=C2)CN3C(CCC3=O)C4=CC=CC=C4C5=CC=CC=C5,-2.6646419755561257,Cc1nc(-c2cccc(CN3C(=O)CCC3c3ccccc3-c3ccccc3)c2)cs1
14,CC1=C(C=CC=C1F)C2=NOC(=N2)C3CCCN3C(=O)C4=C(C=CC(=C4)C#N)N5N=CC=N5,-2.4727564493172123,Cc1c(F)cccc1-c1noc(C2CCCN2C(=O)c2cc(C#N)ccc2-n2nccn2)n1
15,CC1CC(N(C(=O)C1)CC2=CC=C(C=C2)OC(F)(F)F)C3=C(C=CC=C3OC)OC,-2.4727564493172123,COc1cccc(OC)c1C1CC(C)CC(=O)N1Cc1ccc(OC(F)(F)F)cc1
16,CC1=NC(=C(S1)C(=O)N2CCCCC2CNC3=NC=C(C=C3)C(F)(F)F)C4=CC=CC=C4,-0.9030899869919436,Cc1nc(-c2ccccc2)c(C(=O)N2CCCCC2CNc2ccc(C(F)(F)F)cn2)s1
17,CC1=C(C(=CC=C1)OC)C2CC(C(=O)N2CC3=CC=C(C=C3)OC(F)(F)F)Cl,-2.1003705451175634,COc1cccc(C)c1C1CC(Cl)C(=O)N1Cc1ccc(OC(F)(F)F)cc1
18,COC1=C(C(=CC=C1)OC)C2CCCC(=O)N2CC3=CC=CC(=N3)C4=CC=C(C=C4)F,-2.1522883443830563,COc1cccc(OC)c1C1CCCC(=O)N1Cc1cccc(-c2ccc(F)cc2)n1
19,C1=CC=C2C(=C1)C=CC=C2C3=NN=C(O3)SCC#CCOC(=O)C4=C5C=CNC5=CC=C4,-3.1430148002540954,O=C(OCC#CCSc1nnc(-c2cccc3ccccc23)o1)c1cccc2[nH]ccc12
20,C1CC(C(C1)NC(=O)C2=CC=CC=C2N3N=CC=N3)NC4=NC5=C(S4)C=CC(=C5)F,-3.934498451243568,O=C(NC1CCCC1Nc1nc2cc(F)ccc2s1)c1ccccc1-n1nccn1
21,CC1=NC(=CS1)C2=CC(=CC=C2)CN3C(CCCC3=O)C4=C(C=CC5=C4OC=N5)OC,-2.008600171761917,COc1ccc2ncoc2c1C1CCCC(=O)N1Cc1cccc(-c2csc(C)n2)c1
22,CC1=C(C=C(C=C1)N2N=CC=N2)CC3COCCN3C(=O)C4=CC=CC=C4N5N=CC=N5,-3.214843848047698,Cc1ccc(-n2nccn2)cc1CC1COCCN1C(=O)c1ccccc1-n1nccn1
23,CC1CCC(CN1C(=O)C2=C(C=C(C=C2)F)N3N=CC=N3)C4=NC(=C(S4)C)C(C)(C)O,-1.3010299956639813,Cc1sc(C2CCC(C)N(C(=O)c3ccc(F)cc3-n3nccn3)C2)nc1C(C)(C)O
25,C1CN(CC(C12N(CCO2)S(=O)(=O)C3=CC=CC=C3)(F)F)C(=O)NC4=CC=CC=C4,-3.0,O=C(Nc1ccccc1)N1CCC2(OCCN2S(=O)(=O)c2ccccc2)C(F)(F)C1
26,CC1C(N(CCO1)C(=O)C2=C(C=CC(=C2)C)N3N=CC=N3)CC4=CC(=CC=C4)N5N=CC=N5,-3.4031205211758184,Cc1ccc(-n2nccn2)c(C(=O)N2CCOC(C)C2Cc2cccc(-n3nccn3)c2)c1
27,CC1=CC(=C(C=C1)C(=O)N2CCC2C3=NOC(=N3)C4=C(C(=CC=C4)Cl)C)N5N=CC=N5,-0.9542425094393248,Cc1ccc(C(=O)N2CCC2c2noc(-c3cccc(Cl)c3C)n2)c(-n2nccn2)c1
28,CCOC1=CC(=CC(=C1C2CC(C(=O)N2CC3=CC=C(C=C3)OC(F)(F)F)Cl)F)F,-1.7993405494535817,CCOc1cc(F)cc(F)c1C1CC(Cl)C(=O)N1Cc1ccc(OC(F)(F)F)cc1
29,CC1=C(C=C(C=C1)C2=C(N=CO2)C(=O)NC3=CN(N=C3)CCN4C(=NC5=CC=CC=C54)C)OC,-3.57978359661681,COc1cc(-c2ocnc2C(=O)Nc2cnn(CCn3c(C)nc4ccccc43)c2)ccc1C
30,CC1CCCC(N1C(=O)C2=C(SC(=N2)C)C3=CC=C(C=C3)F)CNC(=O)C4=CC=CC5=C4N=CC=C5,-2.1789769472931693,Cc1nc(C(=O)N2C(C)CCCC2CNC(=O)c2cccc3cccnc23)c(-c2ccc(F)cc2)s1
31,CC1CCC(CN1C(=O)C2=CN=C(C=C2N3N=CC=N3)Cl)OC4=NC=CC(=C4C)C#N,-1.5440680443502757,Cc1c(C#N)ccnc1OC1CCC(C)N(C(=O)c2cnc(Cl)cc2-n2nccn2)C1
32,CC1CCCN(C1CNC(=O)C2=C3C=COC3=CC=C2)C(=O)C4=C(SC(=N4)C)C5=CC=CC=C5,-0.9395192526186184,Cc1nc(C(=O)N2CCCC(C)C2CNC(=O)c2cccc3occc23)c(-c2ccccc2)s1
33,CC1=C(C(=CC=C1)N2N=CC=N2)C(=O)N3CCCC3C4=NC(=NN4)C5=CC=CC=C5OC(F)(F)F,-1.7242758696007892,Cc1cccc(-n2nccn2)c1C(=O)N1CCCC1c1nc(-c2ccccc2OC(F)(F)F)n[nH]1
34,COC1=C(C(=CC=C1)OC)C2CCCC(=O)N2CC3=CC=C(C=C3)N4C=CC=N4,-2.6560982020128323,COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccc(-n2cccn2)cc1
35,CC1=C(C=C(C(=C1)N2N=CC=N2)C(=O)N3CCCC3C4=NN=C(O4)C5=C(C(=CC=C5)Cl)C)OC,-0.9542425094393248,COc1cc(C(=O)N2CCCC2c2nnc(-c3cccc(Cl)c3C)o2)c(-n2nccn2)cc1C
36,CC1=NC(=CS1)C2=CC(=CC=C2)CN3C(CCCC3=O)C4=C5C(=CC=C4)OCCO5,-2.3598354823398884,Cc1nc(-c2cccc(CN3C(=O)CCCC3c3cccc4c3OCCO4)c2)cs1
37,CC1CC(N(C1=O)CC2=CC=CC(=C2)C3=CSC(=N3)C)C4=C(C=CC=C4OC)OC,-1.3802112417116061,COc1cccc(OC)c1C1CC(C)C(=O)N1Cc1cccc(-c2csc(C)n2)c1
38,CCOC1=C(C(=CC=C1)F)C2CC(C(=O)N2CC3=CC(=CC=C3)OC(F)F)C,-1.6127838567197357,CCOc1cccc(F)c1C1CC(C)C(=O)N1Cc1cccc(OC(F)F)c1
39,CC1=CC(=C(C=C1)N2N=CC=N2)C(=O)N3CCCOC3CC4=CN(N=C4)C5=NC=C(C=C5)F,-0.5563025007672873,Cc1ccc(-n2nccn2)c(C(=O)N2CCCOC2Cc2cnn(-c3ccc(F)cn3)c2)c1
40,CC1=C(C=CC=C1Cl)C2=NOC(=N2)C3CCCN3C(=O)C4=NC=CN=C4C5=CC(=CC=C5)OC,-2.257678574869185,COc1cccc(-c2nccnc2C(=O)N2CCCC2c2nc(-c3cccc(Cl)c3C)no2)c1
41,CCOC1=C(C(=CC=C1)F)C2CC(C(=O)N2CC3=CC=CC=C3OC(F)(F)F)O,-3.5932860670204567,CCOc1cccc(F)c1C1CC(O)C(=O)N1Cc1ccccc1OC(F)(F)F
42,CC1=CC(=C(C=C1)N2N=CC=N2)C(=O)N3CCC4=C(C3CC5=CC(=C(C=C5)OC)OC)SC=C4,-2.631443769013172,COc1ccc(CC2c3sccc3CCN2C(=O)c2cc(C)ccc2-n2nccn2)cc1OC
43,COC1=C(C2=C(C=C1)N=CO2)C3CCCC(=O)N3CC4=NC5=CC=CC=C5C=C4,-3.256477206241677,COc1ccc2ncoc2c1C1CCCC(=O)N1Cc1ccc2ccccc2n1
44,COC1=C(C=C(C=C1)OCCN(CC2=CC=CS2)CC(=O)NCC3=CC=CC=C3)OC,-2.0400086360135417,COc1ccc(OCCN(CC(=O)NCc2ccccc2)Cc2cccs2)cc1OC
45,CC1=CC(=C(C(=C1)OC)C2CCCC(=O)N2CC3=CC=C(C=C3)OC(F)(F)F)OC,-2.0293837776852097,COc1cc(C)cc(OC)c1C1CCCC(=O)N1Cc1ccc(OC(F)(F)F)cc1
46,CN(C1CCCC1NC2=NC3=C(S2)C=C(C=C3)F)C(=O)C4=CC=CC=C4N5N=CC=N5,-2.812913356642856,CN(C(=O)c1ccccc1-n1nccn1)C1CCCC1Nc1nc2ccc(F)cc2s1
