,smiles,value,cano_smiles
0,CCCCNC(=O)NCCCOC1=CC=CC(=C1)CN2CCCCC2,-1.909983694939844,CCCCNC(=O)NCCCOc1cccc(CN2CCCCC2)c1
1,CC(C)C(=O)NC(=NCCCC1=CN=CN1)N,-2.4800069429571505,CC(C)C(=O)NC(N)=NCCCc1cnc[nH]1
2,C1CCN(CC1)CC2=CC(=CC=C2)OCCCNC(=O)NC3=CC=C(C=C3)C(F)(F)F,-3.229999065949292,O=C(NCCCOc1cccc(CN2CCCCC2)c1)Nc1ccc(C(F)(F)F)cc1
3,COC1=CC=CC=C1NC(=O)NCCCOC2=CC=CC(=C2)CN3CCCCC3,-2.8900016131846367,COc1ccccc1NC(=O)NCCCOc1cccc(CN2CCCCC2)c1
4,CN=CNC1=CC=C(C=C1)C2=CN=CN2.Cl.Cl,-3.0799983980783527,CN=CNc1ccc(-c2cnc[nH]2)cc1.Cl.Cl
5,CC(C)CN=CNC1=CC=C(C=C1)C2=CN=CN2.Cl.Cl,-0.7199938263676039,CC(C)CN=CNc1ccc(-c2cnc[nH]2)cc1.Cl.Cl
6,C1CCN(CC1)CCCOC2=CC=C(C=C2)CCCNC3=CC=NC4=CC=CC=C43,-4.0,c1ccc2c(NCCCc3ccc(OCCCN4CCCCC4)cc3)ccnc2c1
7,C1CCN(CC1)CC2=CC(=CC=C2)OCCCNC(=O)NC3=CC=CC(=C3)N,-2.1899953399643186,Nc1cccc(NC(=O)NCCCOc2cccc(CN3CCCCC3)c2)c1
8,C1CCN(CC1)CC2=CC(=CC=C2)OCCCNC(=O)NC3=CC(=CC=C3)[N+](=O)[O-],-2.4299943841517067,O=C(NCCCOc1cccc(CN2CCCCC2)c1)Nc1cccc([N+](=O)[O-])c1
9,C1CCC(C1)CCCOCCCC2=CN=CN2,-3.6999997975545824,c1ncc(CCCOCCCC2CCCC2)[nH]1
10,C1CCN(CC1)CC2=CC(=CC=C2)OCCCN=C(NCCN)NC#N,-3.04000071447332,N#CNC(=NCCCOc1cccc(CN2CCCCC2)c1)NCCN
11,CC(C)(C)NC(=O)NCCCOC1=CC=CC(=C1)CN2CCCCC2,-3.320000804264728,CC(C)(C)NC(=O)NCCCOc1cccc(CN2CCCCC2)c1
12,CC(C)N=CNC1=CC=C(C=C1)C2=CN=CN2,-1.2400497721126476,CC(C)N=CNc1ccc(-c2cnc[nH]2)cc1
