,smiles,value,cano_smiles
0,C1CC(N(C1)C(=O)CCCCN2CCN(CC2)C3=CC=CC=C3O)C(=O)N,-1.7160033436347992,NC(=O)C1CCCN1C(=O)CCCCN1CCN(c2ccccc2O)CC1
1,C1CN(CCC1C2=CSC3=CC=CC=C32)CC(COC4=CC=CC5=C4C=CN5)O,-0.2600713879850748,OC(COc1cccc2[nH]ccc12)CN1CCC(c2csc3ccccc23)CC1
2,COC1=CC(=CC=C1)SC2=CC=CC=C2N3CCNCC3,-2.146128035678238,COc1cccc(Sc2ccccc2N2CCNCC2)c1
3,C1CN(CCN1CC2=CN3C=CC=CC3=N2)C4=CC=C(C=C4)Cl,-3.230448921378274,Clc1ccc(N2CCN(Cc3cn4ccccc4n3)CC2)cc1
4,CCCOC1=CC=CC=C1CN2CCN(CC2)CC3=CC4=CC=CC=C4O3,-3.390581878550435,CCCOc1ccccc1CN1CCN(Cc2cc3ccccc3o2)CC1
5,COC1=CC=CC=C1N2CCN(CC2)CC3COC(O3)(CN4CCCCCC4=O)C5=CC=CC=C5,-0.8598585204809929,COc1ccccc1N1CCN(CC2COC(CN3CCCCCC3=O)(c3ccccc3)O2)CC1
6,COC1=CC=CC=C1N2CCN(CC2)CCC3=CC(=CC=C3)OCCCCCOC4=CC=CC(=C4)CCN5CCN(CC5)C6=CC=CC=C6OC,-0.2304489213782739,COc1ccccc1N1CCN(CCc2cccc(OCCCCCOc3cccc(CCN4CCN(c5ccccc5OC)CC4)c3)c2)CC1
7,C1CN(CCN1CCCCC2C(=O)NNC(=N2)C3=CC=CC=C3)C4=C(C(=CC=C4)Cl)Cl,-1.845098040014257,O=C1NNC(c2ccccc2)=NC1CCCCN1CCN(c2cccc(Cl)c2Cl)CC1
8,CC1=CC(=C(C=C1)SC2=C(C=CC=C2N3CCNCC3)C)C.Cl,-2.7323937598229686,Cc1ccc(Sc2c(C)cccc2N2CCNCC2)c(C)c1.Cl
9,CCOC1=CC=CC=C1N2CCN(CC2)CCCCCN3C=NC4=C(C3=O)C(=C(S4)C)C,-0.0064660422492317,CCOc1ccccc1N1CCN(CCCCCn2cnc3sc(C)c(C)c3c2=O)CC1
10,CC(C1CC1)NC2=NC=CC(=N2)C3CCCN(C3)CCC4=CNC5=CC=CC=C54,-0.8692317197309762,CC(Nc1nccc(C2CCCN(CCc3c[nH]c4ccccc34)C2)n1)C1CC1
11,CC1=C(C(=CC=C1)C)N2CCN(CC2)C(=O)NC3=CC(=C(C=C3)OC)N4CCN(CC4)C.C(=CC(=O)O)C(=O)O,-2.5943925503754266,COc1ccc(NC(=O)N2CCN(c3c(C)cccc3C)CC2)cc1N1CCN(C)CC1.O=C(O)C=CC(=O)O
12,CCCN1C(CC2C1CCC3=C2C(=CC=C3)OC)C,-1.2041199826559248,CCCN1C(C)CC2c3c(cccc3OC)CCC21
13,CC1=NC2=C(C=C1)C(=CC=C2)N3CCN(CC3)CCC4=CC(=CC=C4)NC(=O)C5=CC(=CC=C5)OC,-0.2999429000227671,COc1cccc(C(=O)Nc2cccc(CCN3CCN(c4cccc5nc(C)ccc45)CC3)c2)c1
14,CC(=O)NC1=CC2=C(C=C1)N=C(C=C2)N3CCN(CC3)CCCCN4C(=O)CC5(CCCC5)CC4=O,-3.505149978319906,CC(=O)Nc1ccc2nc(N3CCN(CCCCN4C(=O)CC5(CCCC5)CC4=O)CC3)ccc2c1
15,CC1C2=C(C=CC(=C2Cl)Cl)NC(=NCC(F)F)N1,-2.7867514221455614,CC1NC(=NCC(F)F)Nc2ccc(Cl)c(Cl)c21
16,CC1=CC2=C(C=C1)S(=O)(=O)N=C(N2)CN3CCN(CC3)C4=CC=CC=C4OC,-2.029992175377848,COc1ccccc1N1CCN(CC2=NS(=O)(=O)c3ccc(C)cc3N2)CC1
