cano_smiles,dataset,value
O=C(NC(Cc1ccccc1)C(=O)O)c1cc2c(n(CC3CCCCC3)c1=O)CCCCCC2,training,-2.1003705451175634
CC1(C)C2CCC1(C)C(NC(=O)c1nn(-c3ccc(Cl)cc3Cl)c3c1Cc1cc(C4CC4)ccc1-3)C2,training,-1.4305587695227575
CC1(C)CC(NC(=O)C(C)(O)C(F)(F)F)c2cc(-c3ccc(Cl)cc3)c(-c3ccc(Cl)cc3Cl)nc2O1,training,-3.146128035678238
Cc1cc(NC(C)(C)C(=O)NC(C)C(Cc2ccc(Cl)cc2)c2cccc(C#N)c2)no1,training,-3.712481337801919
N#Cc1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)nc1Oc1ccc(Cl)cc1,training,-3.6232492903979
CCCNc1cnn(C2CC(C)(C)CC(C)(C)C2)c(=O)c1Cl,training,-0.7323937598229685
O=C(C1CNCCN1)N1CCC(O)(c2ccccc2)C2CCCCC21,training,-1.7923916894982541
CS(=O)(=O)c1ccc(C2(O)CCN(C(=O)c3ccccc3)C3CCCCC32)cc1,training,-2.0253058652647704
O=C(NC(c1ccccn1)C(F)(F)F)c1nc(N2CCOCC2)n2ccccc12,training,-1.3222192947339193
CC(C)(C)c1nc2nc(-c3ccc(Cl)cc3Cl)c(-c3ccc(Cl)cc3)cc2c(=O)[nH]1,training,-3.7403626894942437
O=S(=O)(NOCC1CC1)c1ccc(Nc2ccc(Cl)cc2Cl)cc1C(F)(F)F,training,-3.3544926005894364
CC(O)NC(=O)C1CC(C)(C)N(C)c2nc(-c3ccc(Cl)cc3Cl)c(-c3ccc(Cl)cc3)cc21,training,-3.1072099696478683
CCCCCCC(C)(C)c1cc(OC)c(C2C(=O)C3(C)CCC2C3(C)C)c(OC)c1,training,-2.5065050324048723
CC1(c2nnc(-c3nn(-c4ccc(Cl)cc4Cl)c(-c4ccc(Cl)cc4)c3Cn3cncn3)o2)CC1,training,-2.979548374704095
CCCCCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(=O)n2nc(-c3ccccc3)nc12,training,-0.9344984512435676
O=C(O)CCc1csc(NC(=O)c2cc3c(n(CC4CCCCC4)c2=O)CCCCCC3)n1,training,-1.1760912590556811
CC(=O)c1c(N)c2cc(-c3ccc(Cl)cc3)c(-c3ccc(Cl)cc3Cl)nc2n(C)c1=O,training,-3.0413926851582254
Clc1ccc(-c2c(Cn3cncn3)c(-c3nnc(C4(c5ccccc5)CC4)o3)nn2-c2ccc(Cl)cc2Cl)cc1,training,-3.05307844348342
COCc1ccc(C(=O)Nc2cccnc2C(=O)NCC2CCC2)c2ccccc12,training,-1.2787536009528289
CCC1COc2c(OC)ccc3c(=O)c(C(=O)NC45CC6CC(CC(C6)C4)C5)cn1c23,training,-1.3802112417116061
CCC1COc2cccc3c(=O)c(C(=O)NC(C)CCC(C)C)cn1c23,training,-1.7923916894982541
Clc1ccc(-c2c(Cn3cncn3)c(-c3nnc(C4(c5ccc(Cl)cc5)CC4)s3)nn2-c2ccccc2Cl)cc1,training,-2.423245873936808
CC(NC(=O)C(C)(C)Nc1ncc(C(F)(F)F)cc1Cl)C(Cc1ccc(Cl)cc1)c1cccc(C#N)c1,training,-2.6222140229662947
COc1nc(NCCc2ccc(OC(F)F)cc2)nc(-c2ccc(Cl)c(OCC(N)=O)c2)n1,training,-1.041392685158225
CC1(C)CC(n2ncc3c(cnn3CCN3CCOCC3)c2=O)CC(C)(C)C1,training,-0.9294189257142929
CC(NC(=O)C(C)(C)Oc1ccc(Cl)cc1)C(Cc1ccc(Cl)cc1)c1ccc(Cl)cc1,training,-3.0413926851582254
COc1ccc(-c2nn(C(=O)NC3CCCCC3)c(=O)n2-c2ccc(C)cc2)cc1,training,-3.611723308007341
CC(C)Oc1nc(-c2ccc(Cl)cc2Cl)c(-c2ccc(Cl)cc2)cc1C#N,training,-2.934498451243568
Cc1ccc(C2COc3cccc4c(=O)c(C(=O)NC5CCCCC5)cn2c34)cc1,training,-3.3904051564800812
CCc1c(C(=O)NC23CC4CC(CC(C4)C2)C3)cc(C)n1-c1ccccc1,training,-2.600210306409328
Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)c(Cl)c2)c1-n1cccc1,training,-1.3979400086720375
COc1nc(NCCc2ccc(OCF)cc2)nc(-c2ccc(Cl)c(C(C)(C)O)c2)n1,training,-0.5910646070264992
CCc1c(C2=NC(=O)C(C)(C)N2C)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,training,-3.4372113226245817
CC(NS(=O)(=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1)C(Cc1ccc(Cl)cc1)c1cccc(C#N)c1,training,-3.2442771208018435
CC(NS(=O)(=O)c1cc(Cl)ccc1Cl)C(Cc1ccc(Cl)cc1)c1cccc(C#N)c1,training,-2.6974037232004875
CC(=O)N(CC1CC1)S(=O)(=O)c1ccc(NC2CC3CCC2C3)cc1C(F)(F)F,training,-2.6522463410033232
CC1CCC(NC(=O)c2cc3cccnc3n(CCCCF)c2=O)CC1,training,-0.7303784685876429
CCCCCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(=O)n2nc(N(C)Cc3ccccc3)nc12,training,-1.4623979978989559
O=C(CO)NC1CC2(CCCCC2)Oc2nc(-c3ccccc3Cl)c(-c3ccc(Cl)cc3)cc21,training,-3.6232492903979
