PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,Inhibition,Isomeric SMILES
1,842353,644611,Active,26,21.34,CC1=CC=C(O1)C(C(=O)NCC2=CC=CO2)N(C3=CC=C(C=C3)OC)C(=O)CN4C5=CC=CC=C5N=N4
2,842393,644661,Active,15,12.3,CC1=CC=C(C=C1)S(=O)(=O)N2CCN(CC2)S(=O)(=O)C3=CC4=C(C=C3)OCCO4
3,843085,645365,Active,71,57.07,CC1=CC2=C(C=C1)NC(=O)C(=C2)CN(CCC3=CC=CC=C3)CC4=NN=NN4CC5CCCO5
4,843208,645492,Active,31,25.4,CC1=CC=C(C=C1)CN(C(C2=CC=CS2)C(=O)NCC3=CC=CO3)C(=O)CN4C5=CC=CC=C5N=N4
5,845167,647501,Active,20,16.79,CCN1C2=NC(=O)N(C(=O)C2=NC(=N1)C3=CC=CC=C3)C
6,846007,648374,Active,15,12.43,C1=CC=C(C(=C1)C2=NN(N=N2)CC(=O)NCC3=CC=CO3)NC(=O)C4=CC=CC=C4F
7,846350,648736,Active,25,20.16,CC1=CC=C(O1)C(C(=O)NCC2=CC=CO2)N(C3=CC=CC=C3OC)C(=O)CN4C5=CC=CC=C5N=N4 
8,847003,649398,Active,39,31.6,COCCNC(=O)C(C1=CC(=CC=C1)OC)N(CC2=CC=CS2)C(=O)CN3C4=CC=CC=C4N=N3  
9,847359,597363,Active,46,37.4,CC(=O)NC1=C(C2=NON=C2C(=C1)OC(=O)C)OC(=O)C
10,847463,649868,Active,18,14.62,C1CC2=C(C1)C=C(C=C2)N(C(C3=CC=CO3)C(=O)NCC4=CC=CO4)C(=O)CN5C6=CC=CC=C6N=N5
11,847588,649992,Active,15,12.57,C1COCCN1C(=O)OC2=CC3=C(C=CC=C3OC(=O)N4CCOCC4)C=C2
12,848837,651293,Active,15,12.35,CC(C)NC(=O)CN1CCN(CC1)C2=NC=CC=N2.C(=O)(C(=O)O)O
13,849297,651774,Active,28,22.98,COCCNC(=O)C(C1=CC=CC=C1)N(CC2=CC=CS2)C(=O)CN3C4=CC=CC=C4N=N3
14,849971,652480,Active,15,12.73,CC1=CC=C(C=C1)C(=O)CSC2=NN=C(N2CC3=CC=CO3)CNC4=C(C=C(C=C4)C)C
