,smiles,dataset,value,cano_smiles,dataset_generate,matched_smiles,matched_value,matched_cano_smiles
0,Clc1c(Cl)ccc(-c2c(N)nc(N)nc2COc2cc(C)c([N+](=O)[O-])cc2)c1,training,1.0,Cc1cc(OCc2nc(N)nc(N)c2-c2ccc(Cl)c(Cl)c2)ccc1[N+](=O)[O-],training,,,
1,Clc1c(Cl)cccc1CN(CCO)Cc1ccccc1,training,1.0,OCCN(Cc1ccccc1)Cc1cccc(Cl)c1Cl,training,,,
2,Brc1cc(C(=O)Nc2c(N3CCN(C(=O)c4ccccc4)CC3)cccc2)c(Cl)cc1,training,1.0,O=C(Nc1ccccc1N1CCN(C(=O)c2ccccc2)CC1)c1cc(Br)ccc1Cl,training,,,
3,Brc1c(NCc2ccc(N(C)C)cc2)ncc(Br)c1,training,1.0,CN(C)c1ccc(CNc2ncc(Br)cc2Br)cc1,training,,,
4,BrC1(Br)C(C(=O)NC(C(C)(C)C)C)(C)C1,training,1.0,CC(NC(=O)C1(C)CC1(Br)Br)C(C)(C)C,training,,,
5,O=C(NCc1cc2OCOc2cc1)c1cc2nn(CC)c(OCC)c2cc1,training,1.0,CCOc1c2ccc(C(=O)NCc3ccc4c(c3)OCO4)cc2nn1CC,training,,,
6,Clc1cc(SCc2c(C(=O)O)c(C(=O)NCCOC)on2)ccc1,training,1.0,COCCNC(=O)c1onc(CSc2cccc(Cl)c2)c1C(=O)O,training,,,
7,S(=O)(=O)(Nc1nc(NC)nc(NC)c1)c1ccc(N)cc1,training,1.0,CNc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(NC)n1,training,,,
8,O=C(Nc1ccc(C(=O)OC)cc1)COc1c(OC)cc(C2C(C#N)=C(N)Oc3c4c(ccc23)cccc4)cc1,training,1.0,COC(=O)c1ccc(NC(=O)COc2ccc(C3C(C#N)=C(N)Oc4c3ccc3ccccc43)cc2OC)cc1,training,,,
9,O=C1N(Cc2sccc2)c2nc(N3CCN(C)CC3)ncc2N=C1CCc1ccccc1,training,1.0,CN1CCN(c2ncc3nc(CCc4ccccc4)c(=O)n(Cc4cccs4)c3n2)CC1,training,,,
10,S=C(NNC(=O)CCCC)NC(=O)c1cc([N+](=O)[O-])ccc1,training,1.0,CCCCC(=O)NNC(=S)NC(=O)c1cccc([N+](=O)[O-])c1,training,,,
11,O(CCN1C(=O)C(CCc2ccccc2)=Nc2c1nc(Oc1ccc(OC)cc1)nc2)C,training,1.0,COCCn1c(=O)c(CCc2ccccc2)nc2cnc(Oc3ccc(OC)cc3)nc21,training,,,
12,O=C1N(c2ccccc2)c2ncncc2N=C1c1ccccc1,training,1.0,O=c1c(-c2ccccc2)nc2cncnc2n1-c1ccccc1,training,,,
13,S(Cc1c(OC)ccc(C2N(c3ccc(OC)cc3)C(=O)c3c(N2)cccc3)c1)c1ncccc1,training,1.0,COc1ccc(N2C(=O)c3ccccc3NC2c2ccc(OC)c(CSc3ccccn3)c2)cc1,training,,,
14,O=C(NCCc1ccc(OC)cc1)CCCCCN1C(=O)c2c(C1=O)cccc2,training,1.0,COc1ccc(CCNC(=O)CCCCCN2C(=O)c3ccccc3C2=O)cc1,training,,,
15,O=[N+]([O-])c1ccc(Nc2sc3c(n2)cccc3)cc1,training,1.0,O=[N+]([O-])c1ccc(Nc2nc3ccccc3s2)cc1,training,,,
16,O=C(OCC)C=1C(=O)C=Cc2c(C)n(c(C)c2C=1)-c1ccc(C)cc1,training,1.0,CCOC(=O)c1cc2c(C)n(-c3ccc(C)cc3)c(C)c2ccc1=O,training,,,
17,FC(F)(F)c1cc(N2N=C(c3nn(-c4c(F)cccc4)cc3)C(=O)C=C2)ccc1,training,1.0,O=c1ccn(-c2cccc(C(F)(F)F)c2)nc1-c1ccn(-c2ccccc2F)n1,training,,,
18,Clc1ccc(S(=O)(=O)Oc2ccc(C3C=4C(=O)CCCC=4OC4=C3C(=O)CCC4)cc2)cc1,training,1.0,O=C1CCCC2=C1C(c1ccc(OS(=O)(=O)c3ccc(Cl)cc3)cc1)C1=C(CCCC1=O)O2,training,,,
19,Clc1cc(NC(=O)NCCc2ccc(Cl)cc2)ccc1,training,1.0,O=C(NCCc1ccc(Cl)cc1)Nc1cccc(Cl)c1,training,,,
20,O(N=C1C(O)C(c2cc(OC)ccc2)Oc2c1cc(OC)cc2)C(C)c1nnn(C(CO)Cc2ccccc2)c1,training,1.0,COc1cccc(C2Oc3ccc(OC)cc3C(=NOC(C)c3cn(C(CO)Cc4ccccc4)nn3)C2O)c1,training,,,
21,O=S1(=O)CC(NC=C2C(=O)N(c3cc(C)cc(C)c3)C(=O)c3c2cccc3)CC1,training,1.0,Cc1cc(C)cc(N2C(=O)C(=CNC3CCS(=O)(=O)C3)c3ccccc3C2=O)c1,training,,,
22,O=C(N1CCC(c2sc3c(n2)cccc3)CC1)c1ccc(CC)cc1,training,1.0,CCc1ccc(C(=O)N2CCC(c3nc4ccccc4s3)CC2)cc1,training,,,
23,Clc1c(N2CCN(CCOc3c(-c4ccccc4)non3)CC2)ccc([N+](=O)[O-])c1,training,1.0,O=[N+]([O-])c1ccc(N2CCN(CCOc3nonc3-c3ccccc3)CC2)c(Cl)c1,training,,,
24,S(=O)(=O)(N(CCOC)CCOC)c1ccc(C(=O)c2n(CCCC)ccn2)cc1,training,1.0,CCCCn1ccnc1C(=O)c1ccc(S(=O)(=O)N(CCOC)CCOC)cc1,training,,,
25,O=C(N1C(C(=O)OC)(C)C2c3c(n(Cc4ccc(OC)cc4)c(CCC)c3)C(C)C2C1)c1ccccc1,training,1.0,CCCc1cc2c(n1Cc1ccc(OC)cc1)C(C)C1CN(C(=O)c3ccccc3)C(C)(C(=O)OC)C21,training,,,
26,S(=O)(=O)(C)N1CCN(c2cc(NCc3ccccc3)c([N+](=O)[O-])cc2)CC1,training,1.0,CS(=O)(=O)N1CCN(c2ccc([N+](=O)[O-])c(NCc3ccccc3)c2)CC1,training,,,
27,O(C)c1cc(Nc2nc3N(Cc4cc(OC)ccc4)C(=O)C=Nc3cn2)ccc1,training,1.0,COc1cccc(Cn2c(=O)cnc3cnc(Nc4cccc(OC)c4)nc32)c1,training,,,
28,O=[N+]([O-])c1c(NN=Cc2c(OC)n(-c3ccccc3)nc2C)ccc([N+](=O)[O-])c1,training,1.0,COc1c(C=NNc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])c(C)nn1-c1ccccc1,training,,,
29,O=C(OCC)C[n+]1c(C)sc2c1cc(OC)cc2.[Br-],training,1.0,CCOC(=O)C[n+]1c(C)sc2ccc(OC)cc21.[Br-],training,,,
30,Fc1cc(F)cc(C=2C(=O)N(Cc3cc(OC)ccc3)c3ncncc3N=2)c1,training,1.0,COc1cccc(Cn2c(=O)c(-c3cc(F)cc(F)c3)nc3cncnc32)c1,training,,,
31,O(C)c1cc2c(CCNc3c(-c4ccc(N(C)C)cc4)cncn3)c[nH]c2cc1,training,1.0,COc1ccc2[nH]cc(CCNc3ncncc3-c3ccc(N(C)C)cc3)c2c1,training,,,
32,Clc1ccc(CCNC(=S)N2Cc3c(cc(O)c(O)c3)CCC2)cc1,training,1.0,Oc1cc2c(cc1O)CN(C(=S)NCCc1ccc(Cl)cc1)CCC2,training,,,
