,smiles,dataset,value,cano_smiles,dataset_generate,matched_smiles,matched_value,matched_cano_smiles
0,Fc1cc(NC(=O)N2CC3(CN(C(=O)c4n(C)ccc4)CCC3)CC2)ccc1,training,1.0,Cn1cccc1C(=O)N1CCCC2(CCN(C(=O)Nc3cccc(F)c3)C2)C1,training,,,
1,S(CC(=O)Nc1sc(C)nn1)c1c2c(n(CCNC(=O)c3c(OC)cccc3)c1)cccc2,training,1.0,COc1ccccc1C(=O)NCCn1cc(SCC(=O)Nc2nnc(C)s2)c2ccccc21,training,,,
2,Nc1ccc(Cc2[nH]c3c(n2)ccc(C)c3)cc1,training,1.0,Cc1ccc2nc(Cc3ccc(N)cc3)[nH]c2c1,training,,,
3,O=C(NCCc1cc(OC)c(OC)cc1)Cn1c2C(=O)N(C)C(=O)N(C)c2nc1,training,1.0,COc1ccc(CCNC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)cc1OC,training,,,
4,Brc1cc(C(=O)Nc2c(N3CCN(C(=O)c4ccccc4)CC3)cccc2)c(Cl)cc1,training,1.0,O=C(Nc1ccccc1N1CCN(C(=O)c2ccccc2)CC1)c1cc(Br)ccc1Cl,training,,,
5,S(Cc1n(-c2c(N)non2)nnc1C(=O)OC)c1oc2c(n1)cccc2,training,1.0,COC(=O)c1nnn(-c2nonc2N)c1CSc1nc2ccccc2o1,training,,,
6,O(Cc1ccccc1)c1nc2N(Cc3cc(OC)ccc3)C(=O)C=Nc2cn1,training,1.0,COc1cccc(Cn2c(=O)cnc3cnc(OCc4ccccc4)nc32)c1,training,,,
7,Clc1ccc(SCC(=O)Nc2ccc(N3CCN(C(=O)c4ccc(Cl)cc4)CC3)cc2)cc1,training,1.0,O=C(CSc1ccc(Cl)cc1)Nc1ccc(N2CCN(C(=O)c3ccc(Cl)cc3)CC2)cc1,training,,,
8,S(=O)(=O)(N1CCC2(CN(Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)CCC2)CC1)c1ccccc1,training,1.0,O=S(=O)(c1ccccc1)N1CCC2(CCCN(Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)C2)CC1,training,,,
9,O=C(N1CCCC1)c1n(Cc2ncccc2)c2c(c1)C1C(C(=O)OC)(Cc3ccc(OC)cc3)N(C(=O)c3ccccc3)CC1C2,training,1.0,COC(=O)C1(Cc2ccc(OC)cc2)C2c3cc(C(=O)N4CCCC4)n(Cc4ccccn4)c3CC2CN1C(=O)c1ccccc1,training,,,
10,N(Cc1cnccc1)c1nc(-c2c(C)cccc2)ncc1,training,1.0,Cc1ccccc1-c1nccc(NCc2cccnc2)n1,training,,,
11,Clc1c(CN(C(=O)c2oc(CN3CCOCC3)cc2)CC(=O)NCC2OCCC2)cccc1,training,1.0,O=C(CN(Cc1ccccc1Cl)C(=O)c1ccc(CN2CCOCC2)o1)NCC1CCCO1,training,,,
12,O=C(N1CC2(CN(Cc3sccn3)CC2)CCC1)c1ccc(OC)cc1,training,1.0,COc1ccc(C(=O)N2CCCC3(CCN(Cc4nccs4)C3)C2)cc1,training,,,
13,O(N=C(CCN1c2c(nc(C)c(C)c2)CCCC1)C)CC1C(Oc2ccc(OC)cc2)C=CC(c2ccccc2)O1,training,1.0,COc1ccc(OC2C=CC(c3ccccc3)OC2CON=C(C)CCN2CCCCc3nc(C)c(C)cc32)cc1,training,,,
14,O=C(NCCc1ccc(OC)cc1)CCCCCN1C(=O)c2c(C1=O)cccc2,training,1.0,COc1ccc(CCNC(=O)CCCCCN2C(=O)c3ccccc3C2=O)cc1,training,,,
15,S=C1N(NC(=O)Nc2ccccc2)C(N(O)C(=O)Nc2ccccc2)C(C)(C)S1,training,1.0,CC1(C)SC(=S)N(NC(=O)Nc2ccccc2)C1N(O)C(=O)Nc1ccccc1,training,,,
16,Clc1c(Nc2scc(-c3c(C)nc(NC(=O)c4occc4)s3)n2)ccc(Cl)c1,training,1.0,Cc1nc(NC(=O)c2ccco2)sc1-c1csc(Nc2ccc(Cl)cc2Cl)n1,training,,,
17,O=C(NC(C)(C)C)C(CN1CCN(c2c(OC)cccc2)CC1)c1ccccc1,training,1.0,COc1ccccc1N1CCN(CC(C(=O)NC(C)(C)C)c2ccccc2)CC1,training,,,
18,Clc1c(Nc2scc(-c3c(C)nc(NC(=O)c4ccccc4)s3)n2)ccc(Cl)c1,training,1.0,Cc1nc(NC(=O)c2ccccc2)sc1-c1csc(Nc2ccc(Cl)cc2Cl)n1,training,,,
19,O=[N+]([O-])c1cc([N+](=O)[O-])cc(C(=O)Nc2cc(C3=NOC4(CN(C(=O)c5ccccc5)C(C(=O)NC5(C(=O)N)CC5)C4)C3)ccc2)c1,training,1.0,NC(=O)C1(NC(=O)C2CC3(CC(c4cccc(NC(=O)c5cc([N+](=O)[O-])cc([N+](=O)[O-])c5)c4)=NO3)CN2C(=O)c2ccccc2)CC1,training,,,
20,S=C1N(CCCCC(=O)NCc2occc2)C(=O)c2sccc2N1,training,1.0,O=C(CCCCn1c(=S)[nH]c2ccsc2c1=O)NCc1ccco1,training,,,
21,Brc1c(OC)c(OCC)cc(CNCc2sccc2)c1,training,1.0,CCOc1cc(CNCc2cccs2)cc(Br)c1OC,training,,,
22,Clc1ccc(S(=O)(=O)Oc2ccc(C3C=4C(=O)CCCC=4OC4=C3C(=O)CCC4)cc2)cc1,training,1.0,O=C1CCCC2=C1C(c1ccc(OS(=O)(=O)c3ccc(Cl)cc3)cc1)C1=C(CCCC1=O)O2,training,,,
23,S(CCN)c1sc2c(n1)cccc2,training,1.0,NCCSc1nc2ccccc2s1,training,,,
24,S(=O)(=O)(NCC(=O)N(CC(=O)NCc1occc1)Cc1sccc1)c1ccc(C)cc1,training,1.0,Cc1ccc(S(=O)(=O)NCC(=O)N(CC(=O)NCc2ccco2)Cc2cccs2)cc1,training,,,
25,O=C(Nc1ccc(OCC)cc1)Cn1c(N)c(C(=O)NCc2c(OC)cccc2)nn1,training,1.0,CCOc1ccc(NC(=O)Cn2nnc(C(=O)NCc3ccccc3OC)c2N)cc1,training,,,
26,O=C1N(N(C)C(C)=C1NC1=C(CC)C(C)=C(C#N)c2n1c1c(n2)cccc1)c1ccccc1,training,1.0,CCc1c(C)c(C#N)c2nc3ccccc3n2c1Nc1c(C)n(C)n(-c2ccccc2)c1=O,training,,,
27,Fc1cc(C(=O)N2CCC3(CN(C(=O)Nc4cc(C#N)ccc4)CCC3)CC2)ccc1,training,1.0,N#Cc1cccc(NC(=O)N2CCCC3(CCN(C(=O)c4cccc(F)c4)CC3)C2)c1,training,,,
28,Clc1c(Cl)ccc(CC(=O)N(C)C2C(N3CCCC3)CCCC2)c1,training,1.0,CN(C(=O)Cc1ccc(Cl)c(Cl)c1)C1CCCCC1N1CCCC1,training,,,
