,smiles,dataset,value,cano_smiles,dataset_generate,matched_smiles,matched_value,matched_cano_smiles
0,O=C(O)[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,training,0.0,O=C(CO)[C@@H](O)[C@H](O)[C@@H](O)C(=O)O,training,,,
1,O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,training,0.0,O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,training,,,
2,O=C(O[C@@H]1[C@]2(C)[C@H]([C@H]3[C@@H](c4c(cc(O)cc4)CC3)CC2)CC1)CCC1CCCC1,training,1.0,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OC(=O)CCC1CCCC1,training,,,
3,S(C#N)CC(=O)O[C@H]1[C@@]2(C)C(C)(C)[C@@H](C1)CC2,training,0.0,CC1(C)[C@@H]2CC[C@@]1(C)[C@H](OC(=O)CSC#N)C2,training,,,
4,Oc1c(C(C)(C)C)cc(O)cc1,training,0.0,CC(C)(C)c1cc(O)ccc1O,training,,,
5,O[C@H]([C@@H]1N2C[C@H](C=C)C(C1)CC2)c1c2c(ncc1)cccc2,training,0.0,C=C[C@H]1CN2CCC1C[C@@H]2[C@@H](O)c1ccnc2ccccc12,training,,,
6,O=C(Nc1cc2c(N)cc(C)nc2cc1)Nc1cc2c(N)cc(C)nc2cc1,training,0.0,Cc1cc(N)c2cc(NC(=O)Nc3ccc4nc(C)cc(N)c4c3)ccc2n1,training,,,
7,SC(CS)CO,training,0.0,OCC(S)CS,training,,,
8,O=C(O)C(=O)CCC(=O)O,training,0.0,O=C(O)CCC(=O)C(=O)O,training,,,
9,FC(F)(F)c1cc2N(CCCN3CCN(C)CC3)c3c(Sc2cc1)cccc3,training,0.0,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,training,,,
10,O=C(OC)[C@H]1[C@@H](O)CC[C@@H]2[C@@H]1C[C@@H]1N(C2)CCc2c3c([nH]c12)cccc3,training,0.0,COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@@H]21,training,,,
11,S(=O)(=O)(N)c1ccc(C(=O)O)cc1,training,0.0,NS(=O)(=O)c1ccc(C(=O)O)cc1,training,,,
12,OC(CCN1CCCCC1)(c1ccccc1)c1ccccc1,training,0.0,OC(CCN1CCCCC1)(c1ccccc1)c1ccccc1,training,,,
13,O=C(O)CCc1[nH]c2c(n1)cccc2,training,0.0,O=C(O)CCc1nc2ccccc2[nH]1,training,,,
14,O=C(O)CC[C@@H](C)[C@@H]1[C@@]2(C)[C@@H](O)C[C@@H]3[C@]4(C)[C@H](C[C@@H](O)[C@H]3[C@@H]2CC1)C[C@H](O)CC4,training,0.0,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O,training,,,
15,S(=O)(=O)(Nc1nc2c(nc1)cccc2)c1ccc(N)cc1,training,0.0,Nc1ccc(S(=O)(=O)Nc2cnc3ccccc3n2)cc1,training,,,
16,O(C(c1ccccc1)c1ccccc1)C1C[C@@H]2N(C)[C@H](C1)CC2,training,0.0,CN1[C@H]2CC[C@@H]1CC(OC(c1ccccc1)c1ccccc1)C2,training,,,
17,O=C(OC1C[C@@H]2N(C)[C@H](C1)CC2)C(O)c1ccccc1,training,0.0,CN1[C@H]2CC[C@@H]1CC(OC(=O)C(O)c1ccccc1)C2,training,,,
18,O=C(OC1C[C@@H]2[N+]([O-])(C)[C@@H]([C@H]3O[C@@H]23)C1)[C@H](CO)c1ccccc1,training,0.0,C[N+]1([O-])[C@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21,training,,,
19,N(CCC=C1c2c(cccc2)C=Cc2c1cccc2)(C)C,training,0.0,CN(C)CCC=C1c2ccccc2C=Cc2ccccc21,training,,,
20,Brc1c(O)c(Br)cc(C(=O)c2c(CC)oc3c2cccc3)c1,training,0.0,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,training,,,
21,O=C(O)C1NCCC1,training,0.0,O=C(O)C1CCCN1,training,,,
22,N(CCCN1c2c(C(C)(C)c3c1cccc3)cccc2)(C)C,training,0.0,CN(C)CCCN1c2ccccc2C(C)(C)c2ccccc21,training,,,
23,P(=O)(O)(O)CC(=O)O,training,0.0,O=C(O)CP(=O)(O)O,training,,,
24,C(N1c2c(Sc3c1cccc3)cccc2)C1CN(C)CC1,training,0.0,CN1CCC(CN2c3ccccc3Sc3ccccc32)C1,training,,,
25,N(CCC=C1c2c(cccc2)CCc2c1cccc2)C,training,0.0,CNCCC=C1c2ccccc2CCc2ccccc21,training,,,
26,N(CC(CN1c2c(Sc3c1cccc3)ccc(CC)c2)C)(C)C,training,0.0,CCc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2,training,,,
27,O=C(CO)[C@@]1(O)C[C@H](O[C@@H]2O[C@@H](C)[C@@H](O)[C@@H](N)C2)c2c(O)c3C(=O)c4c(OC)cccc4C(=O)c3c(O)c2C1,training,0.0,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,training,,,
28,N(c1c2c(ccc1)CCCC2)C1=NCCN1,training,0.0,c1cc2c(c(NC3=NCCN3)c1)CCCC2,training,,,
29,Clc1c(S(=O)(=O)N)cc2S(=O)(=O)NC(Cc3ccccc3)Nc2c1,training,0.0,NS(=O)(=O)c1cc2c(cc1Cl)NC(Cc1ccccc1)NS2(=O)=O,training,,,
30,Clc1c(-c2c(C(=O)N[C@@H]3C(=O)N4[C@@H](C(=O)O)C(C)(C)S[C@H]34)c(C)on2)c(F)ccc1,training,0.0,Cc1onc(-c2c(F)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,training,,,
31,Clc1nc(SCC(=O)O)nc(Nc2c(C)c(C)ccc2)c1,training,0.0,Cc1cccc(Nc2cc(Cl)nc(SCC(=O)O)n2)c1C,training,,,
32,O=C1n2c3c(c4c2[C@@H]2[C@](CC)(C1)CCCN2CC4)cccc3,training,0.0,CC[C@]12CCCN3CCc4c(n(c5ccccc45)C(=O)C1)[C@@H]32,training,,,
33,OC(CNC(C)(C)C)c1nc(CO)c(O)cc1,training,0.0,CC(C)(C)NCC(O)c1ccc(O)c(CO)n1,training,,,
34,Clc1cc2C(N3CCNCC3)=Nc3c(Oc2cc1)cccc3,training,0.0,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,training,,,
35,Clc1ccc(CC(OC(=O)C(N)C)(C)C)cc1,training,0.0,CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1,training,,,
36,S(=O)(=O)(NC(=O)NC1CCCCC1)c1ccc(C(=O)C)cc1,training,0.0,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,training,,,
37,NC12CC3CC(C1)CC(C2)C3,training,0.0,NC12CC3CC(CC(C3)C1)C2,training,,,
38,O=C(O)[C@@H](NC(=O)c1ccc(NCc2nc3c(N)nc(N)nc3nc2)cc1)CCC(=O)O,training,0.0,Nc1nc(N)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2n1,training,,,
39,O=C(O)CNC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC,training,0.0,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCC(=O)O,training,,,
40,O=C(O)CCCN,training,0.0,NCCCC(=O)O,training,,,
41,S(c1n(C)cnc1[N+](=O)[O-])c1ncnc2nc[nH]c12,training,0.0,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,training,,,
42,O(CCO)Cn1c2N=C(N)NC(=O)c2nc1,training,0.0,Nc1nc2c(ncn2COCCO)c(=O)[nH]1,training,,,
43,S(=O)(=O)(N)c1sc(NC(=O)C)nn1,training,0.0,CC(=O)Nc1nnc(S(N)(=O)=O)s1,training,,,
44,O=C(OC)C1=CCCN(C)C1,training,0.0,COC(=O)C1=CCCN(C)C1,training,,,
45,O=C(O)CCCCCN,training,0.0,NCCCCCC(=O)O,training,,,
46,Oc1ncnc2[nH]ncc12,training,0.0,Oc1ncnc2[nH]ncc12,training,,,
47,Ic1c(OCCN(CC)CC)c(I)cc(C(=O)c2c(CCCC)oc3c2cccc3)c1,training,0.0,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,training,,,
48,O(CC(O)CNC(C)C)c1c(CC=C)cccc1,training,0.0,C=CCc1ccccc1OCC(O)CNC(C)C,training,,,
49,O=C(N1C(=O)CCC1)c1ccc(OC)cc1,training,0.0,COc1ccc(C(=O)N2CCCC2=O)cc1,training,,,
50,O(CC(C)C)CC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,training,0.0,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,training,,,
