,smiles,value,cano_smiles
0,CC1CCN(C2=C1C=CC=C2CCN3CCN(CC3)C4=NSC5=CC=CC=C54)C(=O)C,-1.230448921378274,CC(=O)N1CCC(C)c2cccc(CCN3CCN(c4nsc5ccccc45)CC3)c21
1,C1CCCN(CC1)CCN2CCN(C2=O)C3=CC(=CC(=C3)Cl)Cl,0.19997064075586568,O=C1N(CCN2CCCCCC2)CCN1c1cc(Cl)cc(Cl)c1
2,C1CN(CCN1CCCOC2=CC3=C(CNC3=O)C=C2)C4=CC=CC5=C4C=C(C=C5)F,-1.4440447959180762,O=C1NCc2ccc(OCCCN3CCN(c4cccc5ccc(F)cc45)CC3)cc21
3,CC1=C(OC=N1)C2=NN=C(N2C)SCCCN3CC4CC4(C3)C5=C(C=CC(=C5)C(F)(F)F)F,-2.6779808688880675,Cc1ncoc1-c1nnc(SCCCN2CC3CC3(c3cc(C(F)(F)F)ccc3F)C2)n1C
4,C1CN(CCN1CC2=CN=CC(=C2)C3=CC=CC=C3)C4=CC5=C(C=C4)NC(=O)N5,-1.100370545117563,O=c1[nH]c2ccc(N3CCN(Cc4cncc(-c5ccccc5)c4)CC3)cc2[nH]1
5,CCC1CC2=CC=CC=C2N1C(=O)CN3CCN(CC3)CC4=CC=C(C=C4)Cl,-2.3404441148401185,CCC1Cc2ccccc2N1C(=O)CN1CCN(Cc2ccc(Cl)cc2)CC1
6,CN1CCC2=CC(=C(C=C2C3C1CCC4=C(C=CC=C34)C5=CC=C(C=C5)CO)O)Cl,-1.9493900066449128,CN1CCc2cc(Cl)c(O)cc2C2c3cccc(-c4ccc(CO)cc4)c3CCC21
7,C1CN(CCN1CCN2C(=O)C3=C(NC(=C3)C4=CC=C(C=C4)Cl)NC2=O)C5=CC=CC=C5Cl,-3.374748346010103,O=c1[nH]c2[nH]c(-c3ccc(Cl)cc3)cc2c(=O)n1CCN1CCN(c2ccccc2Cl)CC1
8,C1CN(CCN(C1)C2=CC=C(C=C2)Cl)CCCCC(=O)C3=NC4=CC=CC=C4S3,-3.2973227142053028,O=C(CCCCN1CCCN(c2ccc(Cl)cc2)CC1)c1nc2ccccc2s1
9,C#CC1=CC(=CC=C1)C(=O)NCCN2CCN(CC2)C3=C(C(=CC=C3)Cl)Cl,-2.006466042249232,C#Cc1cccc(C(=O)NCCN2CCN(c3cccc(Cl)c3Cl)CC2)c1
10,CCCOC1=C(C=CC2=C1CN3CCC4=CC(=C(C=C4C3C2)O)OC)O,-1.6127838567197357,CCCOc1c(O)ccc2c1CN1CCc3cc(OC)c(O)cc3C1C2
11,CC(C1=CC=C(C=C1)C#N)NC(=O)CCCCCN2CCN(CC2)C3=CC=CC=C3C4=CC=C(C=C4)OC,-2.385606273598312,COc1ccc(-c2ccccc2N2CCN(CCCCCC(=O)NC(C)c3ccc(C#N)cc3)CC2)cc1
12,C1CN(CCN1CCOCCC(=O)NCC2=CC=C(C=C2)C(F)(F)F)C3=C(N=CC=C3)C4=CC=C(C=C4)F,-3.5390760987927767,O=C(CCOCCN1CCN(c2cccnc2-c2ccc(F)cc2)CC1)NCc1ccc(C(F)(F)F)cc1
13,CCCC1=CC2=C(S1)CC3C4=CC(=C(C=C4CCN3C2)OC)O,-1.5889995904994356,CCCc1cc2c(s1)CC1c3cc(O)c(OC)cc3CCN1C2
14,CCCN1CCC2=CC=CC3=C2C1CC4=C3C(=CC=C4)OC(=O)NC(C)(C)C,-2.9400181550076634,CCCN1CCc2cccc3c2C1Cc1cccc(OC(=O)NC(C)(C)C)c1-3
15,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CC4=COC5=CC=CC=C54,-1.1335389083702174,O=c1[nH]c2ccccc2n1C1CCN(Cc2coc3ccccc23)CC1
16,CCN1C(CCC1C2=CC=C(N2)C3=C(C=CC(=C3)S(=O)(=O)CC)OC)C4=CC=CC=C4,-1.6010273151444854,CCN1C(c2ccccc2)CCC1c1ccc(-c2cc(S(=O)(=O)CC)ccc2OC)[nH]1
17,CCCN(CCC1=CSC=C1)CCC2=CC=CS2,-3.0334237554869503,CCCN(CCc1ccsc1)CCc1cccs1
18,C1CN(CCN1CC2=CC=CC=C2)C3=C(C=CC4=C3CC(=O)N4)Cl,-2.7323937598229686,O=C1Cc2c(ccc(Cl)c2N2CCN(Cc3ccccc3)CC2)N1
19,COC1=CC=CC=C1N2CCN(CC2)CCCCNC(=O)C=CC3=CC=C(C=C3)C4=CC=CC=C4,-1.568201724066995,COc1ccccc1N1CCN(CCCCNC(=O)C=Cc2ccc(-c3ccccc3)cc2)CC1
20,C1CN(CC2C1N3CCSC4=CC=CC2=C43)CCCC(=O)C5=C(C=C(C=C5)F)N,-1.146128035678238,Nc1cc(F)ccc1C(=O)CCCN1CCC2C(C1)c1cccc3c1N2CCS3
21,CC1=CC=CC2=C1NC=C2CCCN3CCN(CC3)C4=C5C(=CC=C4)OCCO5,-1.2027606873932,Cc1cccc2c(CCCN3CCN(c4cccc5c4OCCO5)CC3)c[nH]c12
22,CC1(CCN(CC1)CC2=CC=CC=C2)C(=O)C=C(C3=CC=C(C=C3)Cl)O,-2.6127838567197355,CC1(C(=O)C=C(O)c2ccc(Cl)cc2)CCN(Cc2ccccc2)CC1
23,CC(C1CC1)N2CCC(CC2)C3CCC4=CC=CC=C4C3=O.Br,-2.8898617212581885,Br.CC(C1CC1)N1CCC(C2CCc3ccccc3C2=O)CC1
24,COC1=CC=CC=C1N2CCN(CC2)C3CC4CC(CC4C3)NC5CC6CC(CC6C5)N7CCN(CC7)C8=CC=CC=C8OC,-2.012837224705172,COc1ccccc1N1CCN(C2CC3CC(NC4CC5CC(N6CCN(c7ccccc7OC)CC6)CC5C4)CC3C2)CC1
25,C1CN(CCC1(C2=CC=C(C=C2)Cl)OC(=O)CCCCCCCCCCCCC(=O)OC3(CCN(CC3)CCCC(=O)C4=CC=C(C=C4)F)C5=CC=C(C=C5)Cl)CCCC(=O)C6=CC=C(C=C6)F,-1.9590413923210936,O=C(CCCCCCCCCCCCC(=O)OC1(c2ccc(Cl)cc2)CCN(CCCC(=O)c2ccc(F)cc2)CC1)OC1(c2ccc(Cl)cc2)CCN(CCCC(=O)c2ccc(F)cc2)CC1
26,CCN(CC1=CC=CC=C1)S(=O)(=O)C2=CC(=C(C=C2)OC)C3=CC=C(N3)CN4CCCCCC4C5=CC=CC=C5,-2.6999200693095426,CCN(Cc1ccccc1)S(=O)(=O)c1ccc(OC)c(-c2ccc(CN3CCCCCC3c3ccccc3)[nH]2)c1
27,C1CN(CCN1CCCCOC2=C(C3=C(CNC3=O)C=C2)F)C4=CC=CC5=CC=CC=C54,-1.3483048630481609,O=C1NCc2ccc(OCCCCN3CCN(c4cccc5ccccc45)CC3)c(F)c21
28,COC1=C(C2=C(CC3C4=CC(=C(C=C4CCN3C2)OC)O)C=C1)OC,-2.008600171761917,COc1cc2c(cc1O)C1Cc3ccc(OC)c(OC)c3CN1CC2
29,CN1C(=NN=C1SCCCN2CCC3(C2)CC3C4=CC=C(C=C4)C(F)(F)F)C5=CC=CO5,-2.680167747238107,Cn1c(SCCCN2CCC3(CC3c3ccc(C(F)(F)F)cc3)C2)nnc1-c1ccco1
30,CCCN(CCC)C1CCN2C(=CC=C2C#N)C1,-3.4224256763712044,CCCN(CCC)C1CCn2c(C#N)ccc2C1
31,CN1CCC2=CC=CC=C2CC3=C(CC1)C=C(C=C3)O.Br,-1.4065401804339552,Br.CN1CCc2ccccc2Cc2ccc(O)cc2CC1
32,CC1CCN(CC1)CCCC(=O)C2=CC=C(C=C2)F,-1.9845273133437928,CC1CCN(CCCC(=O)c2ccc(F)cc2)CC1
33,C1CN(CCN1CCCCCNC(=O)C2=CC=CC3=C2C4=CC=CC=C4C3=O)C5=C(C(=CC=C5)Cl)Cl,-0.6989700043360189,O=C(NCCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cccc2c1-c1ccccc1C2=O
34,CC1CC2=CC=CC3=C2N1C(=O)C(CC3)N4CCN(CC4)CC5=CC=C(C=C5)C,-1.414973347970818,Cc1ccc(CN2CCN(C3CCc4cccc5c4N(C3=O)C(C)C5)CC2)cc1
35,CC1C(CCN1CC2=CC=CC=C2)NC(=O)C3=CC(=C(C=C3OC)NC)Cl,1.0705810742857074,CNc1cc(OC)c(C(=O)NC2CCN(Cc3ccccc3)C2C)cc1Cl
36,CCN(CC)CCCOC1=CC=C(C=C1)C2=NC3=CC=CC=C3N2CC=CCN4C5=CC=CC=C5N=C4C6=CC=C(C=C6)OCCCN(CC)CC,-3.1812717715594614,CCN(CC)CCCOc1ccc(-c2nc3ccccc3n2CC=CCn2c(-c3ccc(OCCCN(CC)CC)cc3)nc3ccccc32)cc1
37,C1CN(CCN1CCNS(=O)(=O)C2=CC3=CC=CC=C3C=C2)C4=NSC5=CC=CC=C54,-1.2552725051033058,O=S(=O)(NCCN1CCN(c2nsc3ccccc23)CC1)c1ccc2ccccc2c1
38,COC1=CC=CC=C1N2CCN(CC2)CCCCOC3=CC4=C(C=C3)C=CC(=O)N4.C(=O)(C(=O)O)O,0.8538719643217619,COc1ccccc1N1CCN(CCCCOc2ccc3ccc(=O)[nH]c3c2)CC1.O=C(O)C(=O)O
39,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCN4C(=O)CCC5=C4N=CC=C5,-2.7781512503836434,O=C1CCc2cccnc2N1CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1
40,CC1CC2=CC=CC=C2N1C(=O)CN3CCN(CC3)CC4=CC=C(C=C4)OC,-2.8280150642239774,COc1ccc(CN2CCN(CC(=O)N3c4ccccc4CC3C)CC2)cc1
41,CC1=CN2C=C(N=C2C(=C1)C3=CC=CC=C3)CN4CCN(CC4)C5=CC=CC=C5OC,-1.5854607295085006,COc1ccccc1N1CCN(Cc2cn3cc(C)cc(-c4ccccc4)c3n2)CC1
42,C1CN(CCN1CCCCN2C(=O)C3=CC=CC=C3S2(=O)=O)C4=CC=CC(=C4)C(F)(F)F,-2.05307844348342,O=C1c2ccccc2S(=O)(=O)N1CCCCN1CCN(c2cccc(C(F)(F)F)c2)CC1
43,CCCN(CC1=CC=C(C=C1)F)C2CCC3=C(C2)C=CC=C3OC,-1.7539658658651602,CCCN(Cc1ccc(F)cc1)C1CCc2c(cccc2OC)C1
44,CCN(CC1=CC(=C(C=C1)OC)OC)CC2=CC=C(N2)C3=C(C=CC(=C3)S(=O)(=O)CC)OC,-1.5025636691073634,CCN(Cc1ccc(OC)c(OC)c1)Cc1ccc(-c2cc(S(=O)(=O)CC)ccc2OC)[nH]1
45,CC1=NN(C(=C1)C2=CC3=C(CCN(CC3)CCCSC4=NN=C(N4C)C5=CC=C(C=C5)C(F)(F)F)C=C2)C,-2.7000023971422538,Cc1cc(-c2ccc3c(c2)CCN(CCCSc2nnc(-c4ccc(C(F)(F)F)cc4)n2C)CC3)n(C)n1
46,COC1=CC=CC=C1N2CCN(CC2)CCCCNC(=O)C=CC3=CC(=CC=C3)C(F)(F)F.C(=O)(C(=O)O)O,-1.7007037171450194,COc1ccccc1N1CCN(CCCCNC(=O)C=Cc2cccc(C(F)(F)F)c2)CC1.O=C(O)C(=O)O
47,CC1=CC2=CC(=CN=C2C=C1)C(=O)NCCC(CN3CCN(CC3)C4=CC=CC=C4OC)O,-2.8494194137969,COc1ccccc1N1CCN(CC(O)CCNC(=O)c2cnc3ccc(C)cc3c2)CC1
48,CC1=CC=C(C=C1)CN2CCN(CC2)C3CCC4=C5C(=CC=C4)CCN5C3=O,-2.3201462861110542,Cc1ccc(CN2CCN(C3CCc4cccc5c4N(CC5)C3=O)CC2)cc1
49,CN(CCC(CN1CCN(CC1)C2=C(C(=CC=C2)Cl)Cl)F)CC3=CC4=C(C=C3)C5=CC=CC=C5C4,-3.3138672203691533,CN(CCC(F)CN1CCN(c2cccc(Cl)c2Cl)CC1)Cc1ccc2c(c1)Cc1ccccc1-2
50,CCON=C(CCN1CCN(CC1)C2=CC=CC=N2)C3=CC=CC=C3,-2.1072099696478683,CCON=C(CCN1CCN(c2ccccn2)CC1)c1ccccc1
51,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,-2.4248816366310666,CN(C)CCC=C1c2ccccc2CCc2ccccc21
52,CN(C)CCC1(C(=O)C(=CO1)C2=CC=CC=C2)C3=CC=CC=C3,-3.429752280002408,CN(C)CCC1(c2ccccc2)OC=C(c2ccccc2)C1=O
53,C1CN(CCN1CCCOC2=C(C3=C(CNC3=O)C=C2)F)C4=CC=CC5=C4C=CC(=C5)F,-0.9339931638312424,O=C1NCc2ccc(OCCCN3CCN(c4cccc5cc(F)ccc45)CC3)c(F)c21
54,CC(C)OC1=CC=CC=C1N2CCN(CC2)CC3=CC=CC(=C3)C(=O)N4CCCCC4,-0.3424226808222063,CC(C)Oc1ccccc1N1CCN(Cc2cccc(C(=O)N3CCCCC3)c2)CC1
55,CN1CCN(CC1)C2CC3=CC=CC=C3SC4=C2C=C(C=C4)C5=CN=CC=C5,0.2076083105017461,CN1CCN(C2Cc3ccccc3Sc3ccc(-c4cccnc4)cc32)CC1
56,COC1=C(C=C(C2=CC=CC=C21)Br)C(=O)NCCN3CCN(CC3)C4=CC=C(C=C4)[N+](=O)[O-],-3.755264891412247,COc1c(C(=O)NCCN2CCN(c3ccc([N+](=O)[O-])cc3)CC2)cc(Br)c2ccccc12
