smiles,group,Pgp-sub
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,training,0.0
S(C(/C=N/OC(O)=NC)(C)C)C,training,0.0
NC12CC3CC(C1)CC(C2)C3,training,0.0
Fc1c(O)nc(O)nc1,training,0.0
O=C(O)CC[C@@H](N)C=C,training,0.0
Clc1c([C@@]2(Cn3ncnc3)O[C@@H](CCC)CO2)ccc(Cl)c1,training,0.0
ClC1(Cl)[C@@]2(Cl)C(Cl)=C(Cl)[C@@]1(Cl)[C@@H]1[C@@H]2[C@@H]2[C@H]3O[C@@H]3[C@@H]1C2,training,0.0
P(=O)(O/C(=C/C(=O)OC)/C)(OC)OC,training,0.0
ClCCN(N=O)C(O)=NCCCl,training,0.0
O(CCN(C)C)c1ccc(/C(=C(\CC)/c2ccccc2)/c2ccccc2)cc1,training,0.0
O(C)c1c(OC)cc([C@H]2[C@H]3C(=O)OC[C@@H]3[C@@H](N)c3c2cc2OCOc2c3)cc1OC,training,0.0
ClC1=NC(=NCC)NC(=NC(C)C)N1,training,0.0
S(C)c1nc(O)c(C#N)c(-c2ccc(C)cc2)n1,training,0.0
O=C([O-])C1(C(=O)[O-])CCC1,training,0.0
O[C@@H](CNC)c1cc(O)c(O)cc1,training,0.0
S(=O)(=O)(NC)Cc1cc2c(CCN(C)C)c[nH]c2cc1,training,0.0
C(N1[C@H](C)[C@H](C)C=C(C)c2c1cccc2)C1=NCCN1,training,0.0
S=C1N([C@@H]2[C@H](O)[C@H](O)[C@H](O)[C@H](CO)O2)C(c2sccc2)=C2C(=C1C#N)c1c(cccc1)CC2,training,0.0
FC(F)(F)c1cnc(Oc2ccc(O[C@@H](C(=O)OCCCC)C)cc2)cc1,training,0.0
Clc1cc(Cl)cc(N2C(=O)[C@](C=C)(C)OC2=O)c1,training,0.0
O(C(O)=NC)c1cc(C)c(N(C)C)cc1,training,0.0
S=P(SCN1C(=O)c2c(C1=O)cccc2)(OC)OC,training,0.0
O=C(c1cc2[nH]c(N=C(OC)O)nc2cc1)c1ccccc1,training,0.0
S=C/1N(c2ccccc2)C(=Nc2[n+](Cc3ccccc3)cccc2)N(c2ccccc2)\C\1=N/c1ccccc1,training,0.0
Clc1nc2C(N)=C(S(=O)(=O)C)c3nc4c(nc3-n2c1)cccc4,training,0.0
O=[N+]([O-])c1c([N+](=O)[O-])cc(N)c(OC)c1,training,0.0
O=C(O)[C@H]1C(C)(C)S[C@@H]2[C@H](N=C(O)[C@H](N)c3ccccc3)C(=O)N12,training,0.0
S(CCN/C(/NC)=C/[N+](=O)[O-])Cc1oc(CN(C)C)cc1,training,0.0
Ic1c(Oc2cc(I)c(O)c(I)c2)c(I)cc(C[C@@H](N)C(=O)O)c1,training,0.0
O=C(O)CN(CC(=O)O)Cc1c(O)cc2Oc3c(C4(OC(=O)c5c4cccc5)c2c1)cc(CN(CC(=O)O)CC(=O)O)c(O)c3,training,0.0
S(=O)(=O)(O)CCCN1/C(=C/C=C/C=C2C(=O)N(CCCC)C(=O)N(CCCC)C2=O)/Oc2c1cccc2,training,0.0
Clc1ccc(Cn2c3c(c(C(=O)C(=O)N=C4C=CNC=C4)c2)cccc3)cc1,training,0.0
N(CCCN1c2c(cccc2)CCc2c1cccc2)(C)C,training,0.0
N=C1C(c2ccccc2)=NC2=C(N)NC(=N)NC2=N1,training,0.0
O=C(O)CC1(CN)CCCCC1,training,0.0
C(=C\CN1CCCC1)(\c1ncccc1)/c1ccc(C)cc1,training,0.0
OC[C@H]1O[C@H](N2C(O)=NC(=N)C=C2)CO1,training,0.0
O=C1C=C2C(=C3[C@@H](c4ccc(N(C)C)cc4)C[C@]4(C)[C@](O)(C#CC)CC[C@H]4[C@@H]3CC2)CC1,training,0.0
S(=O)(=O)(Nc1nc(C)cc(C)n1)c1ccc(Nc2c3c(c(C(O)=NNCCO)ccc3)nc3c2cccc3)cc1,training,0.0
ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,training,0.0
O=C(N(c1ccccc1)C1(COC)CCN(CCN2C(=O)N(CC)N=N2)CC1)CC,training,0.0
O=C(OCC)[C@@H]1[C@H](N(C)[C@@H]([C@@H](C(=O)OCC)C1=O)c1ccccc1)c1ccccc1,training,0.0
Clc1ccc([C@H](N2CCN(CCOCCO)CC2)c2ccccc2)cc1,training,0.0
Clc1cc2C(c3c(F)cccc3)=NCc3n(c(C)nc3)-c2cc1,training,0.0
Brc1[nH]c2c3c(ccc2)C=2[C@H](N(C)C[C@H](C(O)=N[C@]4(C(C)C)C(=O)N5[C@@H](CC(C)C)C(=O)N6[C@H]([C@@]5(O)O4)CCC6)C=2)Cc13,training,0.0
O(C(O)=NC)c1c2c(ccc1)cccc2,training,0.0
O(C[C@@H](O)CNC(C)C)c1c(CC=C)cccc1,training,0.0
O=C(OC[C@H]1[C@@H](OC(=O)C)[C@@H](OC(=O)C)[C@@H](OC(=O)C)[C@@H](N2C(=O)C(C#N)=CC3=C2CCCCCC3)O1)C,training,0.0
O=C(O)C[C@H](N=C(O)CN1C(=O)c2c(ccc(N3CCNCC3)c2)CC1)C#C,training,0.0
S(=O)(=O)([O-])CCC[N+](CCCN=C(O)CC[C@@H](C)[C@@H]1[C@]2(C)[C@@H](O)C[C@@H]3[C@@]4(C)[C@H](C[C@H](O)[C@H]3[C@@H]2CC1)C[C@H](O)CC4)(C)C,training,0.0
O=C1N(CCCCN(C)C)CCc2c3c(n(C)c12)cccc3,training,0.0
S(=O)(=O)(Nc1c(OC)cccc1)c1c(OCCOc2c(S(=O)(=O)Nc3c(OC)cccc3)cc(C(C)(C)C)cc2)ccc(C(C)(C)C)c1,training,0.0
O(C)c1c([C@@H]2N(c3ccc(-c4ccc(N5C(c6ccccc6)=Nc6c(C5=O)cccc6)cc4)cc3)C(=O)CS2)cccc1,training,0.0
O=C1[C@@]2(C)[C@H]([C@H]3[C@@H]([C@]4(C)C(=CC(=O)CC4)CC3)CC2)CC1,training,0.0
