smiles,group,CYP2C9-sub
O=C(OC(C)C)c1c(COC)c2c([nH]c3c2cc(OCc2ccccc2)cc3)cn1,training,0.0
O=C(Nc1cc(C(=O)C)c(OC[C@@H](O)CNC(C)C)cc1)CCC,training,0.0
O=C(Nc1ccccc1)C,training,0.0
S(=O)(=O)(N)c1sc(NC(=O)C)nn1,training,0.0
O=C(C)C,training,0.0
O[C@@H]1[C@H](CC)[C@H]2[C@@H]3[C@@H](O)[C@@]45[C@@H](N(C)c6c4cccc6)[C@@H](N1[C@H]3C5)C2,training,0.0
O[C@H](CNC(C)(C)C)c1cc(CO)c(O)cc1,training,0.0
O=C(N(c1ccccc1)C1(COC)CCN(CCN2C(=O)N(CC)N=N2)CC1)CC,training,0.0
S(=O)(=O)(Cc1cc2c(CCN(C)C)c[nH]c2cc1)N1CCCC1,training,0.0
Clc1ccc(-c2c(CC(=O)N(CCC)CCC)n3c(n2)C=CC(Cl)=C3)cc1,training,0.0
Clc1cc2C(c3ccccc3)=NCc3n(c(C)nn3)-c2cc1,training,0.0
O(C[C@@H](O)CNC(C)C)c1c(CC=C)cccc1,training,0.0
Brc1c(N)c(CNC2CCC(O)CC2)cc(Br)c1,training,0.0
O=C1[C@@](CC)(c2ccc(N)cc2)CCC(=O)N1,training,0.0
N(C)(C)c1cc(C)c(C[C@@H](N)C)cc1,training,0.0
Fc1c(N2CCN(C)CC2)cc2N(NC)C=C(C(=O)O)C(=O)c2c1,training,0.0
Clc1cc2nccc(Nc3cc(CN(CC)CC)c(O)cc3)c2cc1,training,0.0
N[C@H](Cc1ccccc1)C,training,0.0
Nc1ccccc1,training,0.0
O=C1c2c(C(=O)c3c1cccc3)cccc2,training,0.0
O=C1[C@H](CCC)C(=O)N2N1C(N(C)C)=Nc1c2cc(C)cc1,training,0.0
Oc1c(O)ccc2c1-c1c3[C@@H](N(C)CCc3ccc1)C2,training,0.0
FC(F)(F)c1cc([C@H](O[C@@H]2[C@@H](N(CC3=NNC(=O)N3)CCO2)c2ccc(F)cc2)C)cc(C(F)(F)F)c1,training,0.0
