smiles,group,CYP3A4-sub
Ic1c(O)c(C(=O)Nc2cc(Cl)c(C(=N)N)cc2)cc(C)c1,training,0.0
Clc1cc(Nc2nc(OCC3CCCCC3)c3[nH]cnc3n2)ccc1,training,0.0
O=C(O)C1NC[C@@H](O)C1,training,0.0
P(=O)(OC[C@H]1[C@H](O)[C@@H](O)[C@H](n2c3ncnc(N)c3nc2)O1)(O)C,training,0.0
ClCCN(CCCl)C,training,0.0
O(CCCC)c1ccc(OCCCN2CCOCC2)cc1,training,0.0
Clc1ccc(C(OCCN2CCCCC2)c2ccccc2)cc1,training,0.0
O=Cc1n2c(C(=C3CCN(C)CC3)c3c(cccc3)CC2)nc1,training,0.0
O=C(OCC1=C(C)OC(=O)O1)c1c2n(Cc3ccc(-c4c(C5=NOC(=O)N5)cccc4)cc3)c(OCC)nc2ccc1,training,0.0
SC[C@H](C(=O)O)Cc1ccccc1,training,0.0
Fc1ccc(/N=N/C=2C(=N)N=NC=2N)cc1,training,0.0
S(=O)(=O)(C[C@](O)(C(=O)Nc1cc(C(F)(F)F)c(C#N)cc1)C)c1ccc(F)cc1,training,0.0
O=C(OC[C@H]1[C@]2(OC)N(C=3C(=O)C(C)=C(N)C(=O)C1=3)C[C@@H]1N[C@H]21)N,training,0.0
FC(F)(F)c1ccc(N(C(=O)C=2C(=O)N(C)c3c(c(OC)ccc3)C=2O)C)cc1,training,0.0
S(=O)(=O)(N1[C@@H](C(=O)O)CCC1)c1ccc(C(=O)N[C@H](C(=O)O)CCC(=O)O)cc1,training,0.0
P(=O)(O)([C@H](NC(=O)OCc1ccccc1)Cc1ccccc1)C[C@@H](C(=O)N[C@@H](C(=O)N)Cc1c2c([nH]c1)cccc2)CCCc1ccccc1,training,0.0
OC(=N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1O)C,training,0.0
P(=O)([O-])([O-])CO[C@H](Cn1c2nc(N)nc(N)c2nc1)C,training,0.0
Nc1c(C)ccc(C)c1,training,0.0
O=C1C(O)=C(c2cc(O)c(O)cc2)Oc2c1c(O)cc(O)c2,training,0.0
N=C(N)c1cc2nc(Cc3[nH]c4c(n3)cccc4)[nH]c2cc1,training,0.0
S(=O)(=O)(OCCCCCCCCCCCC)O,training,0.0
O[C@H]1[C@H](O)[C@H]2[C@@H](O)CCN2C[C@@H]1O,training,0.0
O=C([O-])c1cc(OC)c(O)cc1,training,0.0
O=C([C@@H](C/C=C/C)n1nnc([C@@](NC(=O)c2ccccc2)(C(C)C)C)c1)C,training,0.0
O=C1NCCc2[nH]c(-c3cc(-c4cnc5c(c4)cccc5)ncc3)cc12,training,0.0
O=C([O-])[C@H](N)CC(=O)O,training,0.0
O[C@H]([C@@H](N)C)c1ccccc1,training,0.0
O=C(O)c1ccc(-c2c3c([nH]c2)ncc(-c2ccccc2)c3)cc1,training,0.0
Fc1c(C=2N=C(NCc3cnccc3)c3n(ccn3)C=2)cccc1,training,0.0
O=C(OC)[C@@H]([C@H](NC(=O)c1ccc(-c2cc(CN)ccc2)cc1)C)Cc1cc(C(=N)N)ccc1,training,0.0
P(=O)(OP(=O)(O)O)(OC[C@H]1[C@H](O)C[C@H](N2C(=O)NC(=O)C(C)=C2)O1)O,training,0.0
Clc1cc(N2CCN(CCc3n[nH]c(C)c3)CC2)ccc1,training,0.0
P(=O)(OP(=O)(O[C@@H]1[C@@H](NC(=O)C)[C@H](O[C@@H](C(=O)N[C@@H](C(=O)O)C)C)[C@@H](O)[C@H](CO)O1)O)(OC[C@H]1[C@H](O)[C@@H](O)[C@H](N2C(=O)NC(=O)C=C2)O1)O,training,0.0
Clc1cc(-c2c(-c3cc(C(=O)NCc4ccccc4)[nH]c3)n[nH]c2)ccc1,training,0.0
O=C(OCCN(CC)CC)c1ccc(N)cc1,training,0.0
O=C(C)N1[C@H](C(=O)O)CCC1,training,0.0
O=C(N(C)C)c1c(N)ccc(-c2cnc3[nH]cc(-c4n(CC)ncc4)c3c2)c1,training,0.0
O=C1N(C)C(=O)NC(=O)C1(CC)CC,training,0.0
Clc1c(O)cc(O)c(-c2c(N3CCNCC3)c(C(=O)NCC)n[nH]2)c1,training,0.0
S(=O)(=O)(N1[C@@H](C(=O)NO)c2c(cc(O)c(OC)c2)CC1)c1ccc(OC)cc1,training,0.0
