smiles,group,EC
NCC#C,training,1.0
NCCC,training,1.0
N(CCN)C,training,1.0
OCCNC,training,1.0
ClCC=O,training,1.0
O=C(O)CC=C,training,1.0
NC(CC)CC,training,1.0
N(CCC)CC,training,1.0
O(CCCN)C,training,1.0
S(=O)(=O)(O)C,training,1.0
N(CC=C)CC=C,training,1.0
O=C=NCCCC,training,1.0
O=C(O)C=C(C)C,training,1.0
OCCCCCN,training,1.0
ClC(=O)C(=C)C,training,1.0
NCc1cnccc1,training,1.0
ClCCC(=O)O,training,1.0
ClC(Cl)C#N,training,1.0
NCC1CCCCC1,training,1.0
O=C(O)CCCCC,training,1.0
OCCNC(C)(C)C,training,1.0
NC(C)c1ccccc1,training,1.0
N(Cc1ccccc1)C,training,1.0
Oc1cc(C)cc(C)c1,training,1.0
FC(=O)c1ccccc1,training,1.0
ClCCSCC,training,1.0
O=C1N(CC)C(=O)C=C1,training,1.0
Sc1ccc(N)cc1,training,1.0
NC(CCCCCC)C,training,1.0
N(CCCC)CCCC,training,1.0
N(C(CC)C)C(CC)C,training,1.0
O=C(OC(=O)CC)CC,training,1.0
O(C(OCC)CN)CC,training,1.0
Cl[Si](CC=C)(C)C,training,1.0
NCc1cc(CN)ccc1,training,1.0
ClC(=O)c1ccccc1,training,1.0
ClC(=O)CCCCl,training,1.0
ClS(=O)(=O)N=C=O,training,1.0
O=C(O)C1(C(=O)O)CCC1,training,1.0
N(C(CCN(C)C)C)(C)C,training,1.0
Clc1cc(O)c(O)cc1,training,1.0
Clc1ccc(S)cc1,training,1.0
ClC(Cl)(Cl)C=O,training,1.0
S(CC(=O)O)CC(=O)O,training,1.0
Oc1cc(C(C)(C)C)ccc1,training,1.0
O(C)c1c(CCN)cccc1,training,1.0
O=Cc1cc(OC)c(O)cc1,training,1.0
ClC(=O)c1ccc(C)cc1,training,1.0
ClCc1ccc(OC)cc1,training,1.0
N(CCC(C)C)CCC(C)C,training,1.0
N(CCCCC)CCCCC,training,1.0
O=C(O)CCCCCCCC,training,1.0
Clc1c(O)ccc(Cl)c1,training,1.0
Cl[Si](Cl)(Cl)CC,training,1.0
ClC(C(=O)O)=C(Cl)C=O,training,1.0
ClC(=O)CCCC(Cl)=O,training,1.0
ClC(=O)c1c(Cl)cccc1,training,1.0
Clc1cc(Cl)cc(C=O)c1,training,1.0
ClC(=O)CCCCCCCC,training,1.0
O=C1OC(=O)C2C1C1C(C)C2C=C1,training,1.0
BrC(C(=O)O)CCC,training,1.0
ClC(Cl)(Cl)C(Cl)=O,training,1.0
Cl[Si](Cl)(Cl)CC(C)C,training,1.0
BrC(C(=O)O)CCCC,training,1.0
N(C)(C1CCCCC1)C1CCCCC1,training,1.0
O=C=NC(C)(C)c1cc(C(=C)C)ccc1,training,1.0
S(=O)(=O)(O)c1cc(N)c(OC)cc1,training,1.0
[Si](OC)(OC)(CCCNCCN)C,training,1.0
ClS(=O)(=O)C(Cl)(Cl)Cl,training,1.0
P(=O)(O)(O)CCCCP(=O)(O)O,training,1.0
[Si](OC(=O)C)(OC(=O)C)(OC(=O)C)C,training,1.0
NC1C(C)CC(CC2CC(C)C(N)CC2)CC1,training,1.0
ClP(=O)(N1C(=O)OCC1)N1C(=O)OCC1,training,1.0
BrCc1c(CBr)cccc1,training,1.0
ClC(=O)c1cc(C(Cl)=O)cc(C(Cl)=O)c1,training,1.0
O=C(OC(=O)CCCCCCC)CCCCCCC,training,1.0
S(F)(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,training,1.0
[Sn](Cl)(Cl)(Cl)c1ccccc1,training,1.0
[Sn](Cl)(Cl)(CCCC)CCCC,training,1.0
Cl[Si](Cl)(Cl)CCCCCCCCCCCCCC,training,1.0
FC(F)(F)C(F)(F)C(F)(F)C(OC(=O)C(F)(F)C(F)(F)C(F)(F)F)=O,training,1.0
FC=1C(N)=NC(=O)NC=1,training,0.0
O=C(NN)c1ccncc1,training,0.0
ClC=CC(O)(C#C)CC,training,0.0
OC(C(N)C)c1ccccc1,training,0.0
ClCCN(CCCl)C,training,0.0
FC(F)(F)C(F)OC(F)F,training,0.0
O=C1C(C)=CC(=O)c2c1cccc2,training,0.0
O(CC(O)CO)c1c(C)cccc1,training,0.0
ClC(F)C(F)(F)OC(F)F,training,0.0
O=C1C(N)=CC(c2ccncc2)=CN1,training,0.0
O=C(O)CNC(=O)c1ccc(N)cc1,training,0.0
OCC(NCCNC(CO)CC)CC,training,0.0
O=C(NCCC(=O)O)C(O)C(CO)(C)C,training,0.0
Oc1cc(C(C(CN(C)C)C)CC)ccc1,training,0.0
O=C1C(C(CC)C)(CC=C)C(=O)NC(=O)N1,training,0.0
O=C1C(CC=C)(CC(C)C)C(=O)NC(=O)N1,training,0.0
O=C(O)C(NN)(Cc1cc(O)c(O)cc1)C,training,0.0
O(C)c1cc2c(N)c3c(nc2cc1)CCCC3,training,0.0
Clc1c(C=NNC(=N)N)c(Cl)ccc1,training,0.0
O=C(NCCCC(=O)O)C(O)C(CO)(C)C,training,0.0
O=C1NC=Nc2n(C3OC(CO)CC3)cnc12,training,0.0
O=[N+]([O-])c1oc(C=NN2C(=O)NC(=O)C2)cc1,training,0.0
O=C(NCCc1c2c(ccc(OC)c2)ccc1)C,training,0.0
S(C)c1ccc(C(=O)C2=C(C)NC(=O)N2)cc1,training,0.0
O=C(O)c1c2c(nc(-c3ccccc3)c1)cccc2,training,0.0
O=C1C(CC)(C(=O)NC(=O)N1)C1=CCCCCC1,training,0.0
O=C(O)C(C)c1cc2c(Oc3ncccc3C2)cc1,training,0.0
S(=O)(=O)(Nc1sccn1)c1ccc(N)cc1,training,0.0
O=C(O)C(C)c1sc(C(=O)c2ccccc2)cc1,training,0.0
O=C(O)C=1C(=O)c2c(N(CC)N=1)cc1OCOc1c2,training,0.0
O=C(OCCN(C)C)c1ccc(NCCCC)cc1,training,0.0
CN1CC2N(c3c(cccc3)Cc3c2cccc3)CC1,training,0.0
CN1CC2N(c3ncccc3Cc3c2cccc3)CC1,training,0.0
C(N1CCN(C)CC1)(c1ccccc1)c1ccccc1,training,0.0
FC(F)(F)c1ccc(NC(=O)c2c(C)onc2)cc1,training,0.0
N(CCC=C1c2c(cccc2)C=Cc2c1cccc2)(C)C,training,0.0
Clc1c(N)c(Cl)cc(C(O)CNC(C)(C)C)c1,training,0.0
S(=O)(=O)(Nc1ncc(OC)cn1)c1ccc(N)cc1,training,0.0
O=C(Nc1c(C(=O)OC)scc1C)C(NCCC)C,training,0.0
N(CCCN1c2c(Sc3c1cccc3)cccc2)(C)C,training,0.0
Oc1c2OC3C(O)C=CC4C53c2c(cc1)CC4N(C)CC5,training,0.0
O=C1C2(C)C(C3C(C4(C)C(=CC3)CC(O)CC4)CC2)CC1,training,0.0
O(C)c1nc(N)nc2n(C3C(O)C(O)C(CO)O3)cnc12,training,0.0
O=C(NCc1ccccc1)CCNNC(=O)c1ccncc1,training,0.0
OC(C(NC(CCc1ccccc1)C)C)c1ccc(O)cc1,training,0.0
O(CC(NC(C(O)c1ccc(O)cc1)C)C)c1ccccc1,training,0.0
O=[N+](OC(C(O[N+](=O)[O-])CO[N+](=O)[O-])CO[N+](=O)[O-])[O-],training,0.0
O=C1C=C2C(C)(C3C(C4C(C)(C(O)(C)CC4)CC3)CC2)CC1,training,0.0
O=C(N(C)C)Cc1c(-c2ccc(C)cc2)nc2n1C=C(C)C=C2,training,0.0
O=C(OCCN(CC)CC)C(c1ccccc1)c1ccccc1,training,0.0
O=C(NC1CC2N(C)C(C1)CCC2)c1nn(C)c2c1cccc2,training,0.0
O(C(c1ccccc1)C1OCCNC1)c1c(OCC)cccc1,training,0.0
S(=O)(=O)(C)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,training,0.0
O=C(C(N)C12CC3(O)CC(C1)CC(C3)C2)N1C(C#N)CC2C1C2,training,0.0
S(=O)(=O)(NC(=O)NN1CC2C(C1)CCC2)c1ccc(C)cc1,training,0.0
Clc1cc2C(c3ccccc3)=NCC(=O)N(CC3CC3)c2cc1,training,0.0
O(C)c1c(Cc2c(C)c3c(N)nc(N)nc3nc2)cc(OC)cc1,training,0.0
O=C(NC1C(=O)N2C(C(=O)O)C(C)(C)SC12)Cc1ccccc1,training,0.0
Clc1cc2nccc(NC(CCCN(CCO)CC)C)c2cc1,training,0.0
O=C(Nc1ncccc1)C=1N(C)S(=O)(=O)c2c(C=1O)scc2,training,0.0
O=C(O)CCCCCCNC1c2c(cccc2)CCc2c1cccc2,training,0.0
O(CCCCCOc1ccc(C(=N)N)cc1)c1ccc(C(=N)N)cc1,training,0.0
O=C(CC)c1cc2N(CC(N(C)C)C)c3c(Sc2cc1)cccc3,training,0.0
S(=O)(=O)(N)c1cc(C(=O)NCC2N(CC)CCC2)c(OC)cc1,training,0.0
O=C(C)C1C2(C)C(C3C(C4(C)C(C(C)C3)=CC(=O)CC4)C(O)C2)CC1,training,0.0
O=C(CN1CCN(C)CC1)N1c2ncccc2NC(=O)c2c1cccc2,training,0.0
FC(F)(F)c1cc2N(CCCN(C)C)c3c(Sc2cc1)cccc3,training,0.0
O=C(Nc1c(CCC2N(C)CCCC2)cccc1)c1ccc(OC)cc1,training,0.0
O=C(O)CCNC(=O)c1ccc(N=Nc2cc(C(=O)O)c(O)cc2)cc1,training,0.0
O=C(C(NC(=O)C1NC(=O)CC1)Cc1nc[nH]c1)N1C(C(=O)N)CCC1,training,0.0
Clc1c(C23OCC(C)N2CC(=O)Nc2c3cc(Cl)cc2)cccc1,training,0.0
O=C(NC1C(=O)N2C(C(=O)O)=C(C)CSC12)C(N)c1ccc(O)cc1,training,0.0
O=C(O)CCCC=C1CC2(C)C(C(C=CC(O)CCCCC)C(O)C2)C1,training,0.0
O=C(OC1CCN(C)CC1)C(OCCC)(c1ccccc1)c1ccccc1,training,0.0
O=C(CN1CCN(C)CC1)N1c2c(C)scc2C(=O)Nc2c1cccc2,training,0.0
ClC(=C(c1ccc(OC)cc1)c1ccc(OC)cc1)c1ccc(OC)cc1,training,0.0
O=C(NC(CC(C)C)B(O)O)C(NC(=O)c1nccnc1)Cc1ccccc1,training,0.0
O=C1N(CCCCN2CCN(c3ncccn3)CC2)C(=O)CC2(C1)CCCC2,training,0.0
O=C(NC)c1cn(-c2nc(N)c3ncn(C4C(O)C(O)C(CO)O4)c3n2)nc1,training,0.0
FC(F)(CCCC)C1(O)OC2C(C(CCCCCCC(=O)O)C(=O)C2)CC1,training,0.0
FC(F)(F)c1cc(Nc2c(C(=O)OCCN3CCOCC3)cccn2)ccc1,training,0.0
O=C(Nc1ccc(CCNCC(O)c2ccccc2)cc1)Cc1nc(N)sc1,training,0.0
O=C(OC1C(C(=O)N(CC)CC)CN2C(c3c(cc(OC)c(OC)c3)CC2)C1)C,training,0.0
O=C(O)c1cc2c(cc(-c3cc(c(OC)cc3)C34CC5CC(C3)CC(C4)C5)cc2)cc1,training,0.0
O=C(N(c1ccccc1)C1(COC)CCN(CCN2C(=O)N(CC)N=N2)CC1)CC,training,0.0
O=C(OCC)C(NC1C(=O)N2C(C(=O)O)CCCN2CCC1)CCc1ccccc1,training,0.0
O=C(OC1C2C(CCC3OC(=O)CC(O)C3)C(C)C=CC2=CC(C)C1)C(CC)(C)C,training,0.0
ClC(C(NC(=O)C1N(C)CC(CCC)C1)C1C(O)C(O)C(O)C(SC)O1)C,training,0.0
O=C(O)C(NC(=O)c1ccc(CCc2c3C(=O)NC(N)=Nc3[nH]c2)cc1)CCC(=O)O,training,0.0
O=C(NC1C(=O)N2C(C(=O)O)=C(COC)CSC12)C(=NOC)c1nc(N)sc1,training,0.0
O=C(OCC)Nc1cc2N(C(=O)CCN3CCOCC3)c3c(Sc2cc1)cccc3,training,0.0
Clc1c2C(O)C3C(C(=O)c2c(O)cc1)=C(O)C1(O)C(=O)C(C(=O)N)=C(O)C(N(C)C)C1C3,training,0.0
O=C(OC(OC(=O)C1C(C)(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N12)C)OCC,training,0.0
Clc1ccc(C(=O)n2c(C)c(CC(=O)OCC(C(=O)O)c3ccccc3)c3c2ccc(OC)c3)cc1,training,0.0
S(C(Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)(C)C)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,training,0.0
Clc1ccc(C2(OC(=O)CCCCCCCCC)CCN(CCCC(=O)c3ccc(F)cc3)CC2)cc1,training,0.0
Ic1c(NC(=O)C)c(I)c(CNC(=O)C)c(I)c1C(=O)O,training,0.0
NC1CC1,training,1.0
CC1OC1,training,1.0
N(CC)C,training,1.0
[nH]1cncc1,training,1.0
