smiles,group,SR-HSE
Clc1cc2C(c3ccccc3)=NCC(=S)N(C)c2cc1,training,0.0
O[C@]1(C)[C@]2(C)[C@H]([C@H]3[C@@H]([C@]4(C)[C@H](Cc5nonc5C4)CC3)CC2)CC1,training,0.0
S(SC(=C(N(C=O)Cc1c(N)nc(C)nc1)C)CCO)C(=C(N(C=O)Cc1c(N)nc(C)nc1)C)CCO,training,0.0
O([C@H]([C@H](OC(=O)CCC)COC(=O)CCC)[C@@H](OC(=O)CCC)CN1c2c(N=C3C(=O)NC(=O)N=C13)cc(C)c(C)c2)C(=O)CCC,training,0.0
O=C(OCCCC)C(OC(=O)C)(CC(=O)OCCCC)CC(=O)OCCCC,training,0.0
O=C1O[Mg-2]2(OC(=O)c3c(O2)cccc3)Oc2c1cccc2,training,0.0
O=C([C@@H](N)C)c1ccccc1,training,0.0
NC=1O[C@H]([C@@H](C)N=1)c1ccccc1,training,0.0
O(C)c1c(OC)cc(CCN)cc1OC,training,0.0
O[C@H](C(C[C@@H](N(C)C)C)(c1ccccc1)c1ccccc1)CC,training,0.0
O=C(C([C@@H](CN1CCOCC1)C)(c1ccccc1)c1ccccc1)N1CCCC1,training,0.0
O=[N+]([O-])c1cc2nc(Cc3ccc(OCC)cc3)n(CCN(CC)CC)c2cc1,training,0.0
O([C@H](C(C[C@@H](NC)C)(c1ccccc1)c1ccccc1)CC)C(=O)C,training,0.0
O=C(OC1(c2ccccc2)CCN(C)CC1)CC,training,0.0
Fc1ccc(N(C(=O)CC)C2CCN(CCc3ccccc3)CC2)cc1,training,0.0
O=C(N([C@H]1[C@@H](C)CN(CCc2ccccc2)CC1)c1ccccc1)CC,training,0.0
O=C(N(c1ccccc1)C1CCN(Cc2ccccc2)CC1)CC,training,0.0
O(C)c1c2OCOc2cc(CC(N)C)c1,training,0.0
O=C(N(c1ccccc1)C1C(C)CN(CCc2sccc2)CC1)CC,training,0.0
O=C(N(c1ccccc1)C1CCN(Cc2sccc2)CC1)CC,training,0.0
O=C(N(c1ccccc1)C1CCN(CCc2sccc2)CC1)CC,training,0.0
O(C)c1c(C[C@H](N)C)cc(OC)c(C)c1,training,0.0
O(C)c1c(CC(N)C)cc(OC)cc1,training,0.0
ONC(Cc1cc2OCOc2cc1)C,training,0.0
N([C@H](Cc1ccccc1)C)CC,training,0.0
N#CC(CC(N(C)C)C)(c1ccccc1)c1ccccc1,training,0.0
O[C@@H]1[C@@H]2Oc3c(O)ccc4c3[C@@]32[C@H]([C@H](N(C)CC3)C4)C=C1,training,0.0
O=C1C(CCC(C)C)(CC)C(=O)NC(=O)N1,training,0.0
O=C1C(C(CCC)C)(CC=C)C(=O)NC(=O)N1,training,0.0
O=C(N(CC)CC)[C@@H]1C=C2[C@H](N(C)C1)Cc1c3c([nH]c1)cccc23,training,0.0
Brc1c(OC)cc(C[C@H](N)C)c(OC)c1,training,0.0
Oc1cc2[C@@]3(C)[C@@H](C)[C@H](N(CC=C(C)C)CC3)Cc2cc1,training,0.0
O=C(N(c1ccccc1)C1(COC)CCN(CCc2sccc2)CC1)CC,training,0.0
NC1(c2ccccc2)CCCCC1,training,0.0
O(C)c1c2O[C@H]3[C@H](O)CC[C@H]4[C@@H]5N(C)CC[C@]34c2c(cc1)C5,training,0.0
N(C(Cc1cc2OCOc2cc1)C)CC,training,0.0
Oc1cc2c(CCN(C)C)c[nH]c2cc1,training,1.0
N(CCc1c2c([nH]c1)cccc2)(CC)CC,training,1.0
N(CCC)(CCC)CCc1c2c([nH]c1)cccc2,training,0.0
O=C1N(C)C(=O)c2n(CCNC(Cc3ccccc3)C)cnc2N1C,training,0.0
O(C)c1cc2c([nH]c3[C@H]4[C@@H]5[C@@H](CC)C[C@@H](CN5CCc23)C4)cc1,training,1.0
P(=O)(Oc1c2c(CCN(C)C)c[nH]c2ccc1)(O)O,training,0.0
O(C)[C@]12[C@@H]([C@](O)(C(C)(C)C)C)C[C@@]3([C@@H]4N(CC5CC5)CC[C@@]53[C@H]1Oc1c(O)ccc(c51)C4)CC2,training,1.0
Clc1c(Oc2cc(C(=O)[O-])c([N+](=O)[O-])cc2)ccc(C(F)(F)F)c1,training,0.0
S(C(=O)C)C[C@H](C(=O)N1[C@H](C(=O)N[C@H](C(=O)O)Cc2ccccc2)CCC1)C,training,0.0
O=C([C@@H](N)C12CC3(O)CC(C1)CC(C3)C2)N1[C@H](C#N)C[C@H]2[C@@H]1C2,training,0.0
O=C(Nc1c(O)c2C(=O)C3=C(O)[C@]4(O)C(=O)C(C(=O)N)=C(O)[C@@H](N(C)C)[C@@H]4C[C@@H]3Cc2c(N(C)C)c1)CNC(C)(C)C,training,0.0
O=C(OCC1=C(C(=O)OCOC(=O)C(C)(C)C)N2C(=O)[C@@H](NC(=O)/C(=C\CC)/c3nc(N)sc3)[C@H]2SC1)N,training,0.0
O=C(OCOC(=O)C1=C(C)CS[C@@H]2[C@H](NC(=O)/C(=N/OC)/c3nc(N)sc3)C(=O)N12)C(C)(C)C,training,0.0
S(C[C@@H](N)C(=O)O)CC(=O)N[C@]1(OC)C(=O)N2C(C(=O)O)=C(CSc3n(C)nnn3)CS[C@H]12,training,0.0
O=C(N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3c4n(N=CC=C4)cc3)CS[C@H]12)/C(=N/OC)/c1nc(N)sn1,training,0.0
Clc1c(C2=NCc3n(c(C)nn3)-c3sc(CC)cc23)cccc1,training,0.0
O=C(O[C@@H]1C(C)(C)[C@H]2[C@@]3([C@]4([C@H]([C@@]5(C)[C@@](C)([C@@H]([C@@H](CCC=C(C)C)C)CC5)CC4)CC2)C3)CC1)/C=C/c1cc(OC)c(O)cc1,training,0.0
Clc1cc(Nc2c(C(=O)O)cccc2)c(C(=O)O)cc1,training,1.0
P(=O)(OCC(O)CO)([O-])[O-],training,0.0
O=C(Nc1c2OC(c3[nH]nnn3)=CC(=O)c2ccc1)c1ccc(OCCCCc2ccccc2)cc1,training,0.0
S(=O)(=O)([O-])[C@@H](C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)[O-])C(C)(C)S[C@H]12)c1ccccc1,training,0.0
O(CCCOc1ccc(C(=N)N)cc1)c1ccc(C(=N)N)cc1,training,0.0
S(=O)(=O)(N)c1ccc(OP(=S)(OC)OC)cc1,training,0.0
S(=O)(=O)(Nc1nnc(OCC)cc1)c1ccc(N)cc1,training,0.0
Clc1cc(OCC(O)CNC(CNc2ccc(C=3C(C)CC(=O)NN=3)cc2)(C)C)c(C#N)cc1,training,0.0
Oc1cc(C)c2O[C@@](CCC[C@@H](CCC[C@@H](CCCC(C)C)C)C)(C)CCc2c1,training,0.0
Ic1c2C(=O)N(C)Cc3c(C(=O)OCC)ncn3-c2ccc1,training,0.0
O=C(CCC1CCN(Cc2ccccc2)CC1)c1cc2NCCCCc2cc1,training,0.0
IC#CCCCCCCCCC(=O)Oc1ccccc1,training,0.0
Clc1cc2C(O)CCCN(C(=O)c3c(C)cc(NC(=O)c4c(C)cccc4)cc3)c2cc1,training,0.0
C([N+]1(C)CCCCC1)C1OC(c2ccccc2)(c2ccccc2)OC1,training,0.0
Ic1c(NC(=O)COCCOCCOCC(=O)Nc2c(I)c(C(=O)O)c(I)cc2I)c(I)cc(I)c1C(=O)O,training,0.0
O=C(O)Cc1cc(-c2c(O[C@@H]3[C@@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O3)ccc(CCCCCCc3cc(c(O[C@@H]4[C@@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O4)cc3)-c3cc(CC(=O)O)ccc3)c2)ccc1,training,0.0
Fc1c(C2=N[C@H](NC(=O)c3[nH]c4c(c3)cccc4)C(=O)N3c4c2cccc4CC3)cccc1,training,0.0
Fc1c(C2=N[C@@H](NC(=O)c3[nH]c4c(c3)cccc4)C(=O)N3c4c2cccc4CC3)cccc1,training,0.0
S(=O)(=O)([O-])c1c2-c(c(CC)c1)cccc(C(C)C)c2,training,0.0
S(C(=O)c1ccccc1)CC(=O)NCC(=O)NCC(=O)NCC(=O)O,training,0.0
O=C(NC(=O)C(CC)c1ccccc1)NC(=O)C,training,0.0
Fc1ccc(-c2c3c(nc(N4CCN(CC)CC4)c2)CCCCCC3)cc1,training,0.0
O=C1N(C2O[C@@H](CO)OC2)C=CC(N)=N1,training,0.0
O=C(NC1=NC(=O)N(C2OC(COC(=O)c3ccccc3)OC2)C=C1)C,training,0.0
S(C(=O)OCC)/C(=C(\N(C=O)Cc1c(N)nc(C)nc1)/C)/CCOC(=O)OCC,training,0.0
Clc1ccc(CC(NC(=O)OCC)(C)C)cc1,training,0.0
O=C(O)C(C)c1ccc(/C=C\2/C(=O)CCCC/2)cc1,training,0.0
O(CCCCC)c1c(OCC)cc(C2C(=O)NC(=O)S2)cc1,training,0.0
S=C1N(/N=C/c2ccc(C)cc2)C(c2ccccc2)=CS1,training,0.0
O(C/C=C\CNC=1C(=O)C(=O)C=1N)c1nccc(CN2CCCCC2)c1,training,0.0
O=C(NC1C[C@@H]2N(C)[C@H](C1)CC2)N1C(=O)Nc2c1cccc2,training,0.0
S(C(=O)C)CC(C(=O)O)CC(=O)c1ccc(C)cc1,training,0.0
O=C(NCCCOc1cc(CN2CCCCC2)ccc1)NCC,training,0.0
Clc1cc2N(C(=O)c3c(C)cccc3)CC/C(=N\OS(=O)(=O)[O-])/c2cc1,training,0.0
N(N)C(C)c1ccccc1,training,0.0
Clc1c([C@@H](O)CNC(C)(C)C)ccc(O)c1,training,0.0
Clc1c(Cl)cccc1C1C(C(=O)OC(C)C)=C(COC(=O)N)NC(C)=C1C(=O)OC,training,1.0
O=C1C=C2[C@@H]([C@@H]3[C@H]([C@H]4[C@@](C)([C@@H](O)[C@@H](CC)C4)CC3)CC2)CC1,training,0.0
S(=O)(=O)(N)c1c(C(F)(F)F)cc2NC(CCCCC)NS(=O)(=O)c2c1,training,0.0
S(=O)(=O)(Nc1nc(C)nc(OC)c1)c1ccc(N)cc1,training,0.0
S=C(Oc1cc2c(cc1)CCC2)N(C)c1cc(C)ccc1,training,0.0
Clc1c(NC(=O)COC(=O)C)cc(C#N)cc1NC(=O)COC(=O)C,training,0.0
Oc1c(O)ccc2[C@@H](c3cc(O)c(O)cc3)CNCc12,training,0.0
O=C(N[C@@H]1C(=O)N2C(C(=O)O)=C(Cn3nc(C)nn3)CS[C@H]12)/C(=N/OC)/c1nc(N)sc1,training,0.0
Clc1ccc(S(=O)(=O)NC(=O)NN2CCCC2)cc1,training,0.0
