smiles,group,SkinSen
O=C(OCC(=O)C1(O)C2(C)C(C3C(C4(C)C(=CC(=O)C=C4)CC3)=CC2)CC1C)C,training,0.0
Brc1c(C(=O)c2c(O)cc(OC)cc2)cc(OCCC)cc1,training,0.0
O=CC(=CC)C,training,0.0
P(c1ccccc1)(c1ccccc1)(c1ccccc1)=C1C(=O)N(c2ccccc2)CC1,training,0.0
S(CC(=O)OC1C2(C)C(C)CCC3(C(C)C(O)C(C=C)(C)C1)C2C(=O)CC3)C1CC2N(C)C(C1)CC2,training,0.0
O(CC)Cc1cc(OC)c(B(O)O)c(OC)c1,training,0.0
O=C(CC(=O)c1ccc(CCCC)cc1)c1c(C)c(C)c(C)c(C)c1,training,0.0
NN1NC=CC=C1,training,0.0
O=C(C(C)(C)C)CC(=O)c1cc(OC)c(OC)c(OC)c1,training,0.0
S(=O)(=O)(C)c1ccc(CC(=O)c2ccc(OCC)cc2)cc1,training,0.0
FC1CN(C(OC(C)(C)C)=O)C(C(=O)O)C1,training,0.0
O=C(OC(C)(C)C)NC(Cc1ccc(OCc2nc(C)sc2)cc1)C1OC1,training,0.0
Fc1ccc(C(C(NC(=O)OC(C)(C)C)C(=O)N2C(C#N)CC(F)C2)c2ccc(F)cc2)cc1,training,0.0
S=C1NC(=O)C2=C(N1)CCC2,training,0.0
O=C(CC(=O)c1c(C)ccc(C)c1)c1c(C)ccc(C)c1,training,0.0
O=C1N(C)C(C)C(c2ccccc2)N1,training,0.0
O=C(C=Cc1c(C(=O)c2c(OCc3ccccc3)cc(OC)cc2)cc(OCCC)cc1)N1C(=O)N(C)C(C)C1c1ccccc1,training,0.0
O(C)c1c(OC2CCCC2)cc(C2(C#N)CCC(=O)CC2)cc1,training,0.0
FC(F)(F)c1cc(C(F)(F)F)cc(C(NC)C)c1,training,0.0
Fc1ccc(Cc2oc(C(=O)C)cc2)cc1,training,0.0
NC(CC)c1ccccc1,training,0.0
S(=O)(=O)(C)c1ccc(-c2c(-c3ccc(OCC)cc3)nn3N=CC=Cc23)cc1,training,0.0
O=C(CCCN1C(=O)c2c(C1=O)cccc2)C,training,0.0
S(=O)(=O)(N(CC(O)C(NC(=O)OC1C2C(OC1)OCC2)Cc1ccc(OCc2nc(C)sc2)cc1)CC(C)C)c1cc2OCOc2cc1,training,0.0
O=C(N(C(C)C)c1ccccc1)CN1C(=O)C(=NOCc2ccccc2)C(=O)N(c2ccccc2)c2c1cccc2,training,0.0
Nc1cc2nn(C)c(C)c2cc1,training,0.0
FC(F)(F)c1cc(Oc2c(OC)cc(N)c3nc(OC)cc(C)c23)ccc1,training,0.0
O=C(O)C(=NOCc1ccccc1)C(=O)O,training,0.0
O=C(C)C1C(=O)CCCC1,training,0.0
S(=O)(=O)(CCN)C,training,0.0
Brc1c(C(=O)O)cc(OCCC)cc1,training,0.0
